Violent ^jj+atrb+++=VIOLENT
Death ^nn++++=DEATH
Was ^vbd+bedz+vrb++=WAS
no ^at++++=no
novelty ^nn++++=novelty
to ^in++++=to
Sgt ^np+++??+=Sgt.
. ^zz++++=EXTRAWORD
James ^np++++=James
Peyton ^np+++??+=Peyton.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
far ^rb+pl+++=far
worse ^jjr++++=worse
than ^in++++=than
a ^at++++=a
brunette ^nn++++=brunette
with ^in++++=with
a ^at++++=a
bruise ^vb++++=bruise
on ^rp++++=on
her ^pp3o+pp3+++=her
forehead ^nn++++=forehead
and ^cc++++=and
a ^at++++=a
slit ^jj+atrb++xvbn+=slit
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
touched ^vprf+++xvbnx+=touched
a ^at++++=a
live ^jj+atrb+++=live
wire ^nn++++=wire.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wide ^jj++++=wide-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
the ^ati++++=the
older ^jjr+atrb+++=older
detective ^nn++++=detective.
. ^zz++++=EXTRAWORD
" ^zz++++="Dad--"
dad ^npt++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lt ^npt++++=Lt.
. ^zz++++=EXTRAWORD
Lawrence ^np+nom+++=Lawrence
Peyton ^np+++??+=Peyton
raised ^vbd+++xvbn+=raised
a ^at++++=a
cautionary ^jj+atrb+++=cautionary
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Please,
please ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
dropped ^vbd+++xvbn+=dropped.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
told ^vprf++tht0+xvbnx+=told
you ^pp2+pp2+++=you
about ^rb++++=about
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
Mo ^np++++=MO--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sh.
sh ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
husband ^nn++++=husband
hears ^vbz+vprv+++=hears
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
spreads ^vbz++++=spreads
the ^ati++++=the
rumor ^nn++++=rumor
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
back.. ^nn+++??+=back....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="
He ^pp3a+pp3+++=He
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
the ^ati++++=the
bedroom ^nn++++=bedroom
door ^nn++++=door
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
expected ^vbd+vprv+tht0+xvbnx+=expected
something ^pn++++=something
to ^to++++=to
enter ^vbi++++=enter
and ^cc+phrs+++=and
devour ^vb++++=devour
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Lucy ^np++++=Lucy
Welch ^np++++=Welch's
's ^$++++=EXTRAWORD
long ^rb++++=long
hair ^nn++++=hair
spread ^vbd+++xvbn+=spread
out ^rp+pl+++=out
like ^in++++=like
a ^at++++=a
nun ^nn++++=nun's
's ^$++++=EXTRAWORD
veil ^nn++++=veil
on ^in++++=on
the ^ati++++=the
gray ^np++++=gray
carpet ^nn++++=carpet
beneath ^in+pl+++=beneath
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
brown ^jj+atrb+++=brown
eyes ^nns++++=eyes
stared ^vbd+++xvbn+=stared
up ^rp++++=up
at ^rb++++=at
Jimmy ^np++++=Jimmy.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
a ^at++++=a
red ^jj+atrb+++=red
tube ^nn++++=tube
top ^jjb++++=top
and ^cc+phrs+++=and
tight ^jj+atrb+++=tight,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
designer ^nn+nom+++=designer
jeans ^nns++++=jeans.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
perfectly ^rb+cnj+++=perfectly,
, ^zz++++=EXTRAWORD
colorwise ^rb+cnj+++=colorwise,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
top ^jjb++++=top
and ^cc++++=and
lipstick ^nn++++=lipstick
coordinated ^jj++++=coordinated
with ^in++++=with
her ^pp$+pp3+++=her
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
Jimmy ^nn++++=Jimmy
hoped ^vbd+vprv+tht0+xvbn+=hoped
his ^pp$+pp3+++=his
necrophilic ^jj+atrb+++=necrophilic
fantasies ^nns++++=fantasies
were ^vbd+bed+vrb++=weren't
n't ^xnot++not++0=EXTRAWORD
too ^rb++++=too
obvious ^jj++++=obvious.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
mention ^nn+nom+++=mention
that ^tht+vcmp+++=that
to ^in++++=to
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Larsen ^np++++=Larsen
tomorrow ^nr+tm+++=tomorrow.
. ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
Peyton ^np+++??+=Peyton
was ^vbd+bedz+vrb++=was
a ^at++++=a
fat ^nn++++=fat
little ^ap++++=little
boy ^nn++++=boy
in ^in++++=in
a ^at++++=a
blond ^jj++++=blond,
, ^zz++++=EXTRAWORD
blue ^jj++++=blue-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
hunk ^nn+++??+=hunk
