As ^ql++++=As
I ^pp1a+pp1+++=I
stepped ^vbd+++xvbnx+=stepped
into ^in++++=into
the ^ati++++=the
Slumgullion ^np+++??+=Slumgullion
stage ^nn++++=stage
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
dark ^jj+atrb+++=dark
night ^nn++++=night,
, ^zz++++=EXTRAWORD
a ^at++++=a
lonely ^jj+atrb+++=lonely
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
passenger ^nn+nom+++=passenger.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
assure ^vb++++=assure
the ^ati++++=the
reader ^nn++++=reader
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
ulterior ^jj+atrb+++=ulterior
design ^nn++++=design
in ^in++++=in
making ^xvbg+++xvbg+=making
this ^dt+dem+++=this
assertion ^nn+nom+++=assertion.
. ^zz++++=EXTRAWORD
A ^at++++=A
long ^rb++++=long
course ^nn++++=course
of ^in++++=of
light ^nn++++=light
reading ^vwbg+++xvbg+=reading
has ^vbz+hvz+aux++=has
forewarned ^vprf+++xvbnx+=forewarned
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
every ^at++++=every
experienced ^jj+atrb++xvbn+=experienced
intelligence ^nn+nom+++=intelligence
must ^md+nec+++=must
confidently ^rb++splt++=confidently
look ^vb++++=look
for ^in++++=for
from ^in++++=from
such ^abl++++=such
a ^at++++=a
statement ^nn+nom+++=statement.
. ^zz++++=EXTRAWORD
The ^ati++++=The
storyteller ^jjr++++=storyteller
who ^whp+who+++=who
willfully ^jj+atrb+++=willfully
tempts ^nns+++??+=tempts
Fate ^nn++++=Fate
by ^in++++=by
such ^abl++++=such
obvious ^jj+atrb+++=obvious
beginnings ^nns++++=beginnings;
; ^zz++++=EXTRAWORD
who ^whp+who+whq++=who
is ^vbz+bez+aux++=is
to ^in++++=to
the ^ati++++=the
expectant ^jj+atrb+++=expectant
reader ^nn++++=reader
in ^in++++=in
danger ^nn++++=danger
of ^in++++=of
being ^nn+nn+aux++=being
robbed ^vbd+++xvbn+=robbed
or ^cc++++=or
half ^abn++++=half-murdered,
- ^zz++++=EXTRAWORD
murdered ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
frightened ^vpsv++by+xvbn+=frightened
by ^in++++=by
an ^at++++=an
escaped ^jj+++xvbn+=escaped
lunatic ^jj++++=lunatic,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
introduced ^vpsv++agls+xvbn+=introduced
to ^in++++=to
his ^pp$+pp3+++=his
ladylove ^nn+++??+=ladylove
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time,
, ^zz++++=EXTRAWORD
deserves ^vbz++++=deserves
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
detected ^vpsv++agls+xvbnx+=detected.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
relieved ^jj++agls+xvbnx+=relieved
to ^to+jcmp+++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
none ^pn++++=none
of ^in++++=of
these ^dt+dem+++=these
things ^nns++++=things
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road
from ^in++++=from
Wingdam ^np+++??+=Wingdam
to ^in++++=to
Slumgullion ^np+++??+=Slumgullion
knew ^vbd+vprv++xvbn+=knew
no ^at++++=no
other ^ap++++=other
banditti ^&fw++++=banditti
than ^in++++=than
the ^ati++++=the
regularly ^rb++++=regularly
licensed ^jj+atrb+++=licensed
hotelkeepers ^nns+nom+++=hotelkeepers;
; ^zz++++=EXTRAWORD
lunatics ^nns++++=lunatics
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
reached ^vprf+++xvbn+=reached
such ^abl++++=such
depth ^nn++++=depth
of ^in++++=of
imbecility ^nn+nom+++=imbecility
as ^in++++=as
to ^in++++=to
ride ^nn++++=ride
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
free ^jj++++=free
will ^md+prd+++=will
in ^in++++=in
California ^np++++=California
stages ^nns++++=stages;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
Laura ^np++++=Laura,
, ^zz++++=EXTRAWORD
amiable ^jj++++=amiable
and ^cc+phrs+++=and
long ^jj++++=long-suffering
- ^zz++++=EXTRAWORD
suffering ^vbg+++xvbg+=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
always ^rb++++=always
is ^vbz+bez+aux++=is,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fear ^vb++++=fear,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
borne ^vprf+++xvbnx+=borne
up ^in+cmpx+++=up
against ^in"++++=against
these ^dt+dem+++=these
depressing ^jj+atrb++xvbg+=depressing
circumstances ^nns+nom+++=circumstances
long ^rb++++=long
enough ^qlp++++=enough
to ^in++++=to
have ^vbi+vbi+aux++=have
made ^vprf+++xvbnx+=made
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
impression ^nn++++=impression
on ^in++++=on
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
with ^in++++=with
my ^pp$+pp1+++=my
shawl ^nn++++=shawl
and ^cc++++=and
carpetbag ^nn+++??+=carpetbag
in ^in++++=in
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
gazing ^vbg+++xvbg+=gazing
doubtingly ^rb++++=doubtingly
on ^in++++=on
the ^ati++++=the
vehicle ^nn++++=vehicle.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness
the ^ati++++=the
red ^jj+atrb+++=red
dust ^nn++++=dust
of ^in++++=of
Wingdam ^np+++??+=Wingdam
was ^vbd+bedz+vrb++=was
visible ^jj+pred+++=visible
on ^in++++=on
its ^pp$+it+++=its
roof ^nn++++=roof
and ^cc++++=and
sides ^nns++++=sides,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
red ^jj+atrb+++=red
slime ^nn++++=slime
of ^in++++=of
Slumgullion ^np+++??+=Slumgullion
clung ^vbd+++xvbn+=clung
tenaciously ^jj++++=tenaciously
to ^in++++=to
its ^pp$+it+++=its
wheels ^nns++++=wheels.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door;
; ^zz++++=EXTRAWORD
the ^ati++++=the
stage ^nn++++=stage
creaked ^vbd+++xvbn+=creaked
easily ^rb+cnj+++=easily,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
gloomy ^jj+atrb+++=gloomy
abyss ^nn++++=abyss
the ^ati++++=the
swaying ^jj+atrb++xvbg+=swaying
straps ^nns++++=straps
beckoned ^vbd+++xvbn+=beckoned
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
like ^in++++=like
ghostly ^jj+atrb+++=ghostly
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
to ^to++++=to
come ^vbi++++=come
in ^in++++=in
now ^rn+tm+++=now
and ^cc++++=and
have ^vb+hv+vrb++=have
my ^pp$+pp1+++=my
sufferings ^nns++++=sufferings
out ^rp+pl+++=out
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
not ^xnot++not++=not
omit ^vb++++=omit
to ^to++++=to
mention ^nn+nom+++=mention
the ^ati++++=the
occurrence ^nn+nom+++=occurrence
of ^in++++=of
a ^at++++=a
circumstance ^nn+nom+++=circumstance
which ^whp+rel+subj++=which
struck ^vbd+++xvbn+=struck
me ^pp1o+pp1+++=me
as ^in++++=as
appalling ^jj++++=appalling
and ^cc+phrs+++=and
mysterious ^jj++++=mysterious.
. ^zz++++=EXTRAWORD
A ^at++++=A
lounger ^nn++++=lounger
on ^in++++=on
the ^ati++++=the
steps ^nns++++=steps
of ^in++++=of
the ^ati++++=the
hotel ^nn++++=hotel,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
reason ^nn++++=reason
to ^to++++=to
suppose ^vbi+vprv+++=suppose
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
in ^in++++=in
any ^dti++++=any
way ^nn++++=way
connected ^vbd+++xvbn+=connected
with ^in++++=with
the ^ati++++=the
stage ^nn++++=stage
company ^nn++++=company,
, ^zz++++=EXTRAWORD
gravely ^rb++++=gravely
descended ^vbd+++xvbn+=descended,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walking ^nvbg+++xvbg+=walking
toward ^in++++=toward
the ^ati++++=the
conveyance ^nn+nom+++=conveyance,
, ^zz++++=EXTRAWORD
tried ^j+++xvbn+=tried
the ^ati++++=the
handle ^nn++++=handle
of ^in++++=of
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
expectorated ^j+++xvbn+=expectorated
in ^in++++=in
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vpsv++agls+xvbn+=returned
to ^in++++=to
the ^ati++++=the
hotel ^nn++++=hotel
with ^in++++=with
a ^at++++=a
serious ^jj+atrb+++=serious
demeanor ^nn++++=demeanor.
. ^zz++++=EXTRAWORD
Hardly ^rb+down+++=Hardly
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
resumed ^vbd+++xvbnx+=resumed
his ^pp$+pp3+++=his
position ^nn+nom+++=position
when ^wrb+who+++=when
another ^dt++++=another
individual ^jj++++=individual,
, ^zz++++=EXTRAWORD
equally ^rb++++=equally
disinterested ^jj++++=disinterested,
, ^zz++++=EXTRAWORD
impassively ^jj++++=impassively
walked ^jj+++xvbn+=walked
down ^rp++++=down
the ^ati++++=the
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
proceeded ^j+++xvbn+=proceeded
to ^in++++=to
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
lifted ^j+++xvbn+=lifted
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
expectorated ^j+++xvbn+=expectorated
carefully ^rb++++=carefully
on ^in++++=on
the ^ati++++=the
axle ^nn++++=axle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vbd+++xvbn+=returned
slowly ^rb++++=slowly
and ^cc++++=and
pensively ^jj++++=pensively
to ^in++++=to
the ^ati++++=the
hotel ^nn++++=hotel.
. ^zz++++=EXTRAWORD
A ^at++++=A
third ^nn++++=third
spectator ^nn++++=spectator
wearily ^rb++++=wearily
disengaged ^vbd+++xvbn+=disengaged
himself ^ppl+pp3+++=himself
from ^in++++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Ionic ^jj+atrb+++=Ionic
columns ^nns++++=columns
of ^in++++=of
the ^ati++++=the
portico ^nn+++??+=portico
and ^cc++++=and
walked ^vpsv++agls+xvbn+=walked
to ^in++++=to
the ^ati++++=the
box ^nn++++=box,
, ^zz++++=EXTRAWORD
remained ^j+++xvbn+=remained
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
in ^in++++=in
serious ^jj+atrb+++=serious
and ^cc+phrs+++=and
expectorative ^jj+atrb+++=expectorative
contemplation ^nn+nom+++=contemplation
of ^in++++=of
the ^ati++++=the
boot ^nn++++=boot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
returned ^vbd+++xvbn+=returned
to ^in++++=to
his ^pp$+pp3+++=his
column ^nn++++=column.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
something ^pn++++=something
so ^rb+emph+++=so
weird ^jj++++=weird
in ^in++++=in
this ^dt+dem+++=this
baptism ^nn+nom+++=baptism
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
grew ^vbd+++xvbnx+=grew
quite ^rb++++=quite
nervous ^jj++++=nervous.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
spirits ^nns++++=spirits.
. ^zz++++=EXTRAWORD
A ^at++++=A
number ^nn++++=number
of ^in++++=of
infinitesimal ^jj+atrb+++=infinitesimal
