Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
somewhat ^rb+down+++=somewhat
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way
of ^in++++=of
thinking ^xvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
in ^in++++=in
regard ^in"++++=regard
to ^in++++=to
names ^nns++++=names,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+dem+++=that
profound ^jj+atrb+++=profound
philosopher ^nn+nom+++=philosopher,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Shandy ^np++++=Shandy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
elder ^jjr++++=elder,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
maintained ^vprf+++xvbn+=maintained
that ^tht+vcmp+++=that
some ^dti++++=some
inspired ^jj+++xvbn+=inspired
high ^np++++=high
thoughts ^nns++++=thoughts
and ^cc++++=and
heroic ^jj+atrb+++=heroic
aims ^nns++++=aims,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
others ^aps++++=others
entailed ^jj+atrb++xvbn+=entailed
irretrievable ^jj+atrb+++=irretrievable
meanness ^nns+nom+++=meanness
and ^cc++++=and
vulgarity ^nn+nom+++=vulgarity;
; ^zz++++=EXTRAWORD
insomuch ^nn+++??+=insomuch
that ^tht+rel+obj++=that
a ^at++++=a
man ^nn++++=man
might ^md+pos+++=might
sink ^vb++++=sink
under ^in++++=under
the ^ati++++=the
insignificance ^nn+nom+++=insignificance
of ^in++++=of
his ^pp$+pp3+++=his
name ^nn++++=name,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
absolutely ^rb+amp+++=absolutely
" ^zz++++="Nicodemused
nicodemused ^jj+++xvbn+=EXTRAWORD
into ^in++++=into
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
it ^pp3+it+++=it
a ^at++++=a
great ^jj+atrb+++=great
hardship ^nn+nom+++=hardship
for ^in++++=for
a ^at++++=a
man ^nn++++=man
to ^to++++=to
be ^vbi+vbi+aux++=be
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
struggle ^vb++++=struggle
through ^in++++=through
life ^nn++++=life
with ^in++++=with
some ^dti++++=some
ridiculous ^jj++++=ridiculous
or ^cc+phrs+++=or
ignoble ^jj+atrb+++=ignoble
Christian ^jj+atrb+++=Christian
name ^nn++++=name,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
too ^ql++++=too
often ^rb++++=often
falsely ^rb++++=falsely
called ^jj+++xvbn+=called,
, ^zz++++=EXTRAWORD
inflicted ^j+++xvbn+=inflicted
on ^rp++++=on
him ^pp3o+pp3+++=him
in ^in++++=in
infancy ^nn++++=infancy,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
choose ^vb++++=choose
for ^in++++=for
himself ^ppl+pp3+++=himself;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
give ^vb++++=give
him ^pp3o+pp3+++=him
free ^jj+atrb+++=free
liberty ^nn++++=liberty
to ^in++++=to
change ^nn++++=change
it ^pp3+it+++=it
for ^in++++=for
one ^cd1++++=one
more ^rbr++++=more
to ^in++++=to
his ^pp$+pp3+++=his
taste ^nn++++=taste,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived
at ^rb++++=at
years ^nns++++=years
of ^in++++=of
discretion ^nn+nom+++=discretion.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
the ^ati++++=the
same ^ap++++=same
notion ^nn++++=notion
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
local ^jj+atrb+++=local
names ^nns++++=names.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
at ^rb++++=at
once ^rb"+tm+++=once
prepossess ^nns+nom+++=prepossess
us ^pp1o+pp1+++=us
in ^in++++=in
favor ^in"++++=favor
of ^in"++++=of
a ^at++++=a
place ^nn++++=place;
; ^zz++++=EXTRAWORD
others ^aps++++=others
repel ^vb++++=repel
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
by ^in++++=by
unlucky ^jj+atrb+++=unlucky
associations ^nns+nom+++=associations
of ^in++++=of
the ^ati++++=the
mind ^nn++++=mind;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
scenes ^nns++++=scenes
worthy ^jj++++=worthy
of ^in++++=of
being ^xvbg+++xvbg+=being
the ^ati++++=the
very ^ap+amp+++=very
haunt ^nn++++=haunt
of ^in++++=of
poetry ^nn++++=poetry
and ^cc++++=and
romance ^nn+nom+++=romance,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
doomed ^jj+++xvbn+=doomed
to ^in+jcmp+++=to
irretrievable ^jj+atrb+++=irretrievable
vulgarity ^nn+nom+++=vulgarity,
, ^zz++++=EXTRAWORD
by ^in++++=by
some ^dti++++=some
ill ^jj++++=ill-chosen
- ^zz++++=EXTRAWORD
chosen ^jj+atrb++xvbn+=EXTRAWORD
name ^nn++++=name,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
not ^xnot++not++=not
even ^rb++++=even
the ^ati++++=the
magic ^jj+atrb+++=magic
numbers ^nns+nom+++=numbers
of ^in++++=of
a ^at++++=a
Halleck ^np+++??+=Halleck
or ^cc++++=or
a ^at++++=a
Bryant ^np+++??+=Bryant
could ^md+pos+++=could
elevate ^nn+nom+++=elevate
into ^in++++=into
poetical ^jj+atrb+++=poetical
acceptation ^nn+nom+++=acceptation.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
an ^at++++=an
evil ^nn++++=evil
unfortunately ^rb++++=unfortunately
too ^rb++++=too
prevalent ^jj++++=prevalent
throughout ^rb++++=throughout
our ^pp$+pp1+++=our
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Nature ^nn++++=Nature
has ^vbz+hvz+aux++=has
stamped ^vprf+++xvbnx+=stamped
the ^ati++++=the
land ^nn++++=land
with ^in++++=with
features ^nns++++=features
of ^in++++=of
sublimity ^nn+nom+++=sublimity
and ^cc++++=and
beauty ^nn++++=beauty;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
some ^dti++++=some
of ^in++++=of
our ^pp$+pp1+++=our
noblest ^jjt++++=noblest
mountains ^npl++++=mountains
and ^cc++++=and
loveliest ^jjt+atrb+++=loveliest
streams ^nns++++=streams
are ^vb+ber+vrb++=are
in ^in++++=in
danger ^nn++++=danger
of ^in++++=of
remaining ^xvbg+++xvbg+=remaining
for ^rb++++=for
ever ^rb"++++=ever
unhonored ^jj+++xvbn+=unhonored
and ^cc++++=and
unsung ^nn+++??+=unsung,
, ^zz++++=EXTRAWORD
from ^in++++=from
bearing ^xvbg+++xvbg+=bearing
appellations ^nns+nom+++=appellations
totally ^rb+amp+++=totally
abhorrent ^jj++++=abhorrent
to ^in++++=to
the ^ati++++=the
Muse ^nn++++=Muse.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^od++++=first
place ^nn++++=place,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
country ^nn++++=country
is ^vbz+bez+aux++=is
deluged ^vpsv++agls+xvbnx+=deluged
with ^in++++=with
names ^nns++++=names
taken ^vwbn+++xvbn+=taken
from ^in++++=from
places ^nns++++=places
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
applied ^vpsv++agls+xvbn+=applied
to ^in++++=to
places ^nns++++=places
having ^vwbg+hvg++xvbg+=having
no ^at++++=no
possible ^jj+atrb+++=possible
affinity ^nn+nom+++=affinity
or ^cc++++=or
resemblance ^nn+nom+++=resemblance
to ^in++++=to
their ^pp$+pp3+++=their
namesakes ^nns+++??+=namesakes.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
betokens ^vbz+++??+=betokens
a ^at++++=a
forlorn ^jj+atrb+++=forlorn
poverty ^nn++++=poverty
of ^in++++=of
invention ^nn+nom+++=invention,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
second ^od++++=second-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
content ^jj++++=content
to ^to+jcmp+++=to
cover ^vbi++++=cover
its ^pp$+it+++=its
nakedness ^nns+nom+++=nakedness
with ^in++++=with
borrowed ^vbd+++xvbn+=borrowed
or ^cc+phrs+++=or
cast ^vbd+++xvbn+=cast-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
clothes ^nns++++=clothes
of ^in++++=of
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
a ^at++++=a
shallow ^jj+atrb+++=shallow
affectation ^nn+nom+++=affectation
of ^in++++=of
scholarship ^nn+nom+++=scholarship:
: ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
catalogue ^nn++++=catalogue
of ^in++++=of
ancient ^jj+atrb+++=ancient
worthies ^nns++++=worthies
is ^vbz+bez+aux++=is
shaken ^vpsv++agls+xvbnx+=shaken
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
Lempriere ^np++++=Lempriere's
's ^$++++=EXTRAWORD
Classical ^jj+atrb+++=Classical
Dictionary ^nn+nom+++=Dictionary,
