Two ^cd++++=Two
former ^ap++++=former
classmates ^nns+nom+++=classmates
from ^in++++=from
Oxford ^np++++=Oxford
meet ^vb++++=meet
by ^in++++=by
chance ^nn++++=chance
in ^in++++=in
Paris ^np++++=Paris
and ^cc++++=and
discuss ^vb++++=discuss
the ^ati++++=the
mystery ^nn+nom+++=mystery
of ^in++++=of
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
woman ^nn++++=woman
that ^tht+rel+++=that
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
has ^vbz+hvz+aux++=has
known ^vprf+++xvbnx+=known.
. ^zz++++=EXTRAWORD
The ^ati++++=The
story ^nn++++=story
contains ^vbz++++=contains
some ^dti++++=some
unusual ^jj+atrb+++=unusual
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
for ^in++++=for
your ^pp$+pp2+++=your
reading ^nvbg+++xvbg+=reading
convenience ^nn+nom+++=convenience
I ^pp1a+pp1+++=I
will ^md+prd+++=will
define ^vb++++=define
them ^pp3o+pp3+++=them
here ^rn+pl+++=here
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
One ^cd1++++=One
afternoon ^nn++++=afternoon
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
outside ^jjb++++=outside
the ^ati++++=the
Cafe ^nn++++=Cafe
de ^&fw++++=de
la ^&fw++++=la
Paix ^np+++??+=Paix,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
the ^ati++++=the
splendour ^nn++++=splendour
and ^cc++++=and
shabbiness ^nns+nom+++=shabbiness
of ^in++++=of
Parisian ^jj+atrb+++=Parisian
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wondering ^vbg+++xvbg+=wondering
over ^in++++=over
my ^pp$+pp1+++=my
vermouth ^nn++++=vermouth
at ^rb++++=at
the ^ati++++=the
strange ^jj+atrb+++=strange
panorama ^nn++++=panorama
of ^in++++=of
pride ^nn++++=pride
and ^cc++++=and
poverty ^nn++++=poverty
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
passing ^vbg+++xvbgx+=passing
before ^in++++=before
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
some ^dti++++=some
one ^cd1++++=one
call ^vb++++=call
my ^pp$+pp1+++=my
name ^nn++++=name.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
Lord ^npt++++=Lord
Murchison ^np+++??+=Murchison.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+aux++=had
not ^xnot++not++=not
met ^vbd+++xvbn+=met
since ^cs+sub+++=since
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
college ^npl++++=college
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
nearly ^rb+down+++=nearly
ten ^cd++++=ten
years ^nns++++=years
before ^in+strn+++=before,
