From ^in++++=From
Southwater ^np+nom++??+=Southwater,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
the ^ati++++=the
train ^nn++++=train,
, ^zz++++=EXTRAWORD
the ^ati++++=the
road ^npl++++=road
led ^vbd+++xvbn+=led
due ^jj+atrb+++=due
west ^np+pl+++=west.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
rest ^nn++++=rest
he ^pp3a+pp3+++=he
trusted ^vbd+++xvbnx+=trusted
to ^to+vcmp+++=to
luck ^vb++++=luck,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
born ^xvbn+++xvbn+=born
walkers ^nns+nom+++=walkers
who ^whp+rel+obj++=who
dislike ^nn++++=dislike
asking ^vwbg+vsua++xvbg+=asking
the ^ati++++=the
way ^nn++++=way.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
that ^dt+dem+++=that
instinct ^nn++++=instinct,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
a ^at++++=a
rule ^nn++++=rule
it ^pp3+it+++=it
served ^vbd+++xvbn+=served
him ^pp3o+pp3+++=him
well ^rb++++=well.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
mile ^nn++++=mile
or ^cc++++=or
so ^rb+emph+++=so
due ^jj+atrb+++=due
west ^np+pl+++=west
along ^in++++=along
the ^ati++++=the
sandy ^np++++=sandy
road ^npl++++=road
till ^cs+sub+++=till
you ^pp2+pp2+++=you
come ^vb++++=come
to ^in++++=to
a ^at++++=a
stile ^nn++++=stile
on ^in++++=on
the ^ati++++=the
right ^nn++++=right;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
across ^in+pl+++=across
the ^ati++++=the
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
the ^ati++++=the
red ^jj+atrb+++=red
house ^npl++++=house
straight ^rb++++=straight
before ^in++++=before
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
