Horrible ^jj++++=Horrible
beyond ^in++++=beyond
conception ^nn+nom+++=conception
was ^vbd+bedz+vrb++=was
the ^ati++++=the
change ^nn++++=change
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
place ^nn++++=place
in ^in++++=in
my ^pp$+pp1+++=my
best ^jjt+atrb+++=best
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
Crawford ^np+++??+=Crawford
Tillinghast ^np+++??+=Tillinghast.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
seen ^vprf+++xvbn+=seen
him ^pp3o+pp3+++=him
since ^in++++=since
that ^dt+dem+++=that
day ^nn++++=day,
, ^zz++++=EXTRAWORD
two ^cd++++=two
months ^nns++++=months
and ^cc++++=and
a ^at++++=a
half ^abn++++=half
before ^in++++=before,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
toward ^in++++=toward
what ^wdt+who+++=what
goal ^nn++++=goal
his ^pp$+pp3+++=his
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
metaphysical ^jj+atrb+++=metaphysical
researches ^nns++++=researches
were ^vbd+bed+aux++=were
leading ^vbg+++xvbgx+=leading;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
answered ^vprf+++xvbnx+=answered
my ^pp$+pp1+++=my
awed ^jj+++xvbn+=awed
and ^cc++++=and
almost ^rb+hdg+++=almost
frightened ^jj+atrb++xvbn+=frightened
remonstrances ^nns+nom++??+=remonstrances
by ^in++++=by
driving ^xvbg+++xvbg+=driving
me ^pp1o+pp1+++=me
from ^in++++=from
his ^pp$+pp3+++=his
laboratory ^nn++++=laboratory
and ^cc++++=and
his ^pp$+pp3+++=his
house ^nn++++=house
in ^in++++=in
a ^at++++=a
