A ^at++++=A
room ^nn++++=room
in ^in++++=in
the ^ati++++=the
down ^rp++++=down-stairs
- ^zz++++=EXTRAWORD
stairs ^nns++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
summer ^nn++++=summer
cottage ^nn+nom+++=cottage.
. ^zz++++=EXTRAWORD
High ^jj++++=High
around ^rp++++=around
the ^ati++++=the
wall ^nn++++=wall
runs ^vbz++++=runs
an ^at++++=an
art ^nn++++=art
frieze ^nn+++??+=frieze
of ^in++++=of
a ^at++++=a
fisherman ^nn+nom+++=fisherman
with ^in++++=with
a ^at++++=a
pile ^nn++++=pile
of ^in++++=of
nets ^nns++++=nets
at ^in++++=at
his ^pp$+pp3+++=his
feet ^nns++++=feet
and ^cc++++=and
a ^at++++=a
ship ^nn++++=ship
on ^in++++=on
a ^at++++=a
crimson ^nn+++??+=crimson
ocean ^nn++++=ocean,
, ^zz++++=EXTRAWORD
a ^at++++=a
fisherman ^nn+nom+++=fisherman
with ^in++++=with
a ^at++++=a
pile ^nn++++=pile
of ^in++++=of
nets ^nns++++=nets
at ^in++++=at
his ^pp$+pp3+++=his
feet ^nns++++=feet
and ^cc++++=and
a ^at++++=a
ship ^nn++++=ship
on ^in++++=on
a ^at++++=a
crimson ^nn+++??+=crimson
ocean ^nn++++=ocean,
, ^zz++++=EXTRAWORD
a ^at++++=a
fisherman ^nn+nom+++=fisherman
with ^in++++=with
a ^at++++=a
pile ^nn++++=pile
of ^in++++=of
nets ^nns++++=nets
at ^in++++=at
his ^pp$+pp3+++=his
feet ^nns++++=feet
and ^rb++++=and
so ^rb"++++=so
on ^rb"++++=on.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
place ^nn++++=place
on ^in++++=on
the ^ati++++=the
frieze ^nn+++??+=frieze
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
overlapping ^jj+++xvbg+=overlapping
here ^rn+pl+++=here
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
half ^rb++++=half
a ^at++++=a
fisherman ^nn+nom+++=fisherman
with ^in++++=with
half ^nn++++=half
a ^at++++=a
pile ^nn++++=pile
of ^in++++=of
nets ^nns++++=nets
at ^in++++=at
his ^pp$+pp3+++=his
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
crowded ^j+++xvbn+=crowded
damply ^rb++++=damply
against ^in++++=against
half ^nn++++=half
a ^at++++=a
ship ^nn++++=ship
on ^in++++=on
half ^abn++++=half
a ^at++++=a
crimson ^nn+++??+=crimson
ocean ^nn++++=ocean.
. ^zz++++=EXTRAWORD
The ^ati++++=The
frieze ^nn+++??+=frieze
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
plot ^nn++++=plot,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
frankly ^rb++++=frankly
it ^pp3+it+++=it
fascinates ^nns+nom+++=fascinates
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
continue ^vb++++=continue
indefinitely ^rb+cnj+++=indefinitely,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
distracted ^vpsv++by+xvbnx+=distracted
by ^in++++=by
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
objects ^nns++++=objects
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
a ^at++++=a
blue ^jj+atrb+++=blue
porcelain ^nn++++=porcelain
bath ^nn++++=bath-tub.
- ^zz++++=EXTRAWORD
tub ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
bath ^nn++++=bath-tub.
- ^zz++++=EXTRAWORD
tub ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
racing ^jj+atrb++xvbg+=racing
bodies ^nns++++=bodies,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
is ^vbz+bez+vrb++=is
small ^jj+pred+++=small
with ^in++++=with
a ^at++++=a
high ^jj+atrb+++=high
tonneau ^nn+++??+=tonneau
and ^cc++++=and
looks ^vbz++++=looks
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
jump ^vb++++=jump;
; ^zz++++=EXTRAWORD
discouraged ^xvbn+++xvbn+=discouraged,
