Those ^dt+dem+++=Those
marks ^nns++++=marks
on ^in++++=on
my ^pp$+pp1+++=my
arm ^nn++++=arm?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
them ^pp3o+pp3+++0='em
playin ^nn+++??+=playin'
' ^zz++++=EXTRAWORD
horse ^nn++++=horse-thief.
- ^zz++++=EXTRAWORD
thief ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
playin ^nn+++??+=playin'.
'. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
real ^jj+atrb+++=real
one ^pn++++=one,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know--Well,
-- ^--+clp+++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
s ^zz++++=s'pose
'pose ^nn+++??+=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
a ^at++++=a
queer ^jj+atrb+++=queer
game ^nn++++=game.
. ^zz++++=EXTRAWORD
Came ^j+++xvbn+=Came
near ^in+pl+++=near
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
last ^rb++++=last
too ^ql++++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
Black ^jj+atrb+++=Black
Hawk ^np+++??+=Hawk
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
the ^ati++++=the
best ^jjt+atrb+++=best
horse ^nn++++=horse
in ^in++++=in
Texas ^np++++=Texas
the ^ati++++=the
old ^jj+atrb+++=old
Colonel ^nn++++=Colonel
would ^md+prd+++=would've
've ^vb+hv+aux++0=EXTRAWORD
killed ^vprf+++xvbnx+=killed
me ^pp1o+pp1+++=me
sure ^jj++++=sure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
chased ^vbd+++xvbnx+=chased
me ^pp1o+pp1+++=me
six ^cd++++=six
miles ^nns++++=miles
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was--me
-- ^--+clp+++=EXTRAWORD
me ^pp1o+pp1+++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
arm ^nn++++=arm
full ^jj++++=full
of ^in++++=of
his ^pp$+pp3+++=his
buckshot ^nn+++??+=buckshot
and ^cc++++=and
anxious ^jj++++=anxious
to ^to+jcmp+++=to
explain ^vbi+vpub+++=explain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
him ^pp3o+pp3+++=him
strainin ^nn+++??+=strainin'
' ^zz++++=EXTRAWORD
to ^to++++=to
get ^vbi++++=get
in ^rb+phrv+++=in
range ^nn++++=range
again ^rb+tm+++=again
and ^cc++++=and
not ^xnot++not++=not
wishin ^nn+++??+=wishin'
' ^zz++++=EXTRAWORD
any ^dti++++=any
further ^jjb+atrb+++=further
particulars ^nns++++=particulars.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see
five ^cd++++=five
of ^in++++=of
us ^pp1o+pp1+++=us
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
over ^in++++=over
into ^in++++=into
the ^ati++++=the
Crow ^nn++++=Crow
Nation ^nn++++=Nation
to ^in++++=to
race ^nn++++=race
horses ^nns++++=horses
with ^in++++=with
the ^ati++++=the
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
way ^nn++++=way
back ^jjb++++=back
that ^cs+sub+++=that
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
and ^cc++++=and
the ^ati++++=the
bullet ^nn++++=bullet
holes ^nns++++=holes
figger ^jjr++++=figger
in ^in++++=in
the ^ati++++=the
story ^nn++++=story.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
beginnin ^nn+++??+=beginnin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Jim ^np++++=Jim
Barrett ^np++++=Barrett's
's ^$++++=EXTRAWORD
plan ^vb++++=plan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
jest ^rb++++=jest
enough ^qlp++++=enough
risk ^vb++++=risk
and ^cc++++=and
devilment ^nn+nom+++=devilment
in ^in++++=in
it ^pp3+it+++=it
to ^to++++=to
suit ^vbi++++=suit
a ^at++++=a
harum ^nn+++??+=harum-scarum
- ^zz++++=EXTRAWORD
scarum ^nn+++??+=EXTRAWORD
young ^jj+atrb+++=young
feller ^nn++++=feller
like ^in++++=like
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
five ^cd++++=five
of ^in++++=of
the ^ati++++=the
boys ^nns++++=boys
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
good ^jj+atrb+++=good
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
lumped ^xvbn+++xvbn+=lumped
together ^nn+nom+++=together
all ^rb++++=all
of ^in++++=of
our ^pp$+pp1+++=our
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rode ^vbd+++xvbn+=rode
out ^rp+pl+++=out
to ^to++++=to
invade ^vbi++++=invade
the ^ati++++=the
reservation ^nn+nom+++=reservation.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
an ^at++++=an
Indian ^nn++++=Indian
loves ^vbz++++=loves
to ^to++++=to
run ^vbi++++=run
horses ^nns++++=horses?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Crows ^np+++??+=Crows
had ^vb+hv+vrb++=had
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
money ^nn++++=money
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
scheme ^nn++++=scheme
was ^vbd+bedz+aux++=was
to ^to++++=to
go ^vbi++++=go
over ^in++++=over
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
get ^vb++++=get
up ^rp++++=up
a ^at++++=a
big ^jj+atrb+++=big
race ^nn++++=race,
, ^zz++++=EXTRAWORD
back ^jjb++++=back
our ^pp$+pp1+++=our
horses ^nns++++=horses
with ^in++++=with
all ^abn++++=all
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
take ^vb++++=take
down ^rb+phrv+++=down
the ^ati++++=the
wealth ^nn++++=wealth.
