Towards ^in++++=Towards
the ^ati++++=the
wind ^nn++++=wind-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Cherokee ^np+nom+++=Cherokee
Strip ^nn++++=Strip
Cattle ^nns++++=Cattle
Association ^nn+nom+++=Association
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
hard ^jj++++=hard
to ^to+jcmp+++=to
ride ^vbi++++=ride
a ^at++++=a
chuck ^nn++++=chuck-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
in ^in++++=in
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
cattle ^nns++++=cattle
companies ^nns++++=companies
on ^in++++=on
the ^ati++++=the
range ^nn++++=range,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
headquarters ^nns+nom+++=headquarters
were ^vbd+bed+aux++=were
far ^rb+pl+splt++=far
removed ^vpsv++agls+xvbnx+=removed
from ^in++++=from
the ^ati++++=the
scene ^nn++++=scene
of ^in++++=of
active ^jj+atrb+++=active
operations ^nns+nom+++=operations,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
fit ^jj++++=fit
to ^to+jcmp+++=to
give ^vbi++++=give
orders ^vb++++=orders
that ^tht+vcmp+obj++=that
the ^ati++++=the
common ^jj+atrb+++=common
custom ^nn++++=custom
of ^in++++=of
feeding ^xvbg+++xvbg+=feeding
all ^abn++++=all
comers ^nns++++=comers
and ^cc++++=and
letting ^nvbg+++xvbg+=letting
them ^pp3o+pp3+++=them
wear ^vb++++=wear
their ^pp$+pp3+++=their
own ^ap++++=own
welcome ^nn++++=welcome
out ^rp+pl+++=out
must ^md+nec+++=must
be ^vb+be+aux++=be
stopped ^vpsv++agls+xvbnx+=stopped.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
hard ^jj+pred+++=hard
on ^in++++=on
those ^dt+dem+++=those
that ^cs+sub+++=that
kept ^vprf+++xvbn+=kept
open ^jj+atrb+++=open
house ^npl++++=house
the ^ati++++=the
year ^nn++++=year
round ^nn++++=round.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
always ^rb++++=always
a ^at++++=a
surplus ^nn++++=surplus
of ^in++++=of
men ^nns++++=men
on ^in++++=on
the ^ati++++=the
range ^nn++++=range
in ^in++++=in
the ^ati++++=the
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
there ^ex+pex+++=there
might ^md+pos+++=might
be ^vb+be+vrb++=be
ten ^cd++++=ten
men ^nns++++=men
at ^in++++=at
a ^at++++=a
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
two ^cd++++=two
on ^in++++=on
the ^ati++++=the
pay ^vb++++=pay-roll.
- ^zz++++=EXTRAWORD
roll ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
extra ^jj+atrb+++=extra
men ^nns++++=men
were ^vbd+bed+aux++=were
called ^vpsv++agls+xvbnx+=called
" ^zz++++="chuck-line
chuck ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
riders ^nns++++=riders."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Probably ^rb++++=Probably
eight ^cd++++=eight
months ^nns++++=months
in ^in++++=in
the ^ati++++=the
year ^nn++++=year
they ^pp3a+pp3+++=they
all ^abn++++=all
had ^vb+hv+vrb++=had
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
At ^rb++++=At
many ^ap++++=many
camps ^nns++++=camps
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
welcome ^jj+pred+++=welcome,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
would ^md+prd+++=would
turn ^vb++++=turn
to ^to++++=to
and ^cc++++=and
help ^nn++++=help
do ^vb+do+vrb++=do
anything ^pn++++=anything
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
wanted ^vpsv++agls+xvbnx+=wanted
done ^vbd+++xvbn+=done.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
a ^at++++=a
hard ^jj+atrb+++=hard
freeze ^nn++++=freeze
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
cut ^vbi++++=cut
the ^ati++++=the
ice ^nn++++=ice,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
cattle ^nns++++=cattle
could ^md+pos+++=could
water ^vb++++=water.
. ^zz++++=EXTRAWORD
A ^at++++=A
reasonable ^jj+atrb+++=reasonable
number ^nn++++=number
of ^in++++=of
guests ^nns++++=guests
were ^vbd+bed+vrb++=were
no ^at++++=no
drawback ^nn++++=drawback
at ^in++++=at
a ^at++++=a
time ^nn++++=time
like ^in++++=like
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
chuck ^nn++++=chuck-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
men ^nns++++=men
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
most ^ql+emph+++=most
active ^jj++++=active
in ^in++++=in
opening ^xvbg+++xvbg+=opening
the ^ati++++=the
ice ^nn++++=ice
with ^in++++=with
axes ^nns++++=axes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cattle ^nns++++=cattle
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
kept ^vbd+++xvbn+=kept
open ^jj+atrb+++=open
house ^npl++++=house
never ^rb++++=never
got ^vbd+++xvbn+=got
so ^ql++++=so
far ^rb+pl+++=far
away ^rp+pl+++=away
that ^cs+sub+++=that
some ^dti++++=some
one ^cd1++++=one
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
recognize ^vb+vprv+++=recognize
the ^ati++++=the
brand ^nn++++=brand
and ^cc++++=and
turn ^nn++++=turn
them ^pp3o+pp3+++=them
back ^jjb++++=back
towards ^in++++=towards
their ^pp$+pp3+++=their
own ^ap++++=own
pasture ^nn++++=pasture.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
cast ^vbi++++=cast
bread ^nn++++=bread
upon ^in++++=upon
the ^ati++++=the
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
even ^rb++++=even
on ^in++++=on
the ^ati++++=the
range ^nn++++=range.
. ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj++++=new
order ^to++++=order
of ^in++++=of
things ^nns++++=things
was ^vbd+bedz+aux++=was
received ^vpsv++agls+xvbnx+=received
with ^in++++=with
many ^ap++++=many
protests ^nns++++=protests.
. ^zz++++=EXTRAWORD
Late ^jj++++=Late
in ^in++++=in
the ^ati++++=the
fall ^nn++++=fall
three ^cd++++=three
worthies ^nns++++=worthies
of ^in++++=of
the ^ati++++=the
range ^nn++++=range
formed ^vbd+++xvbn+=formed
a ^at++++=a
combine ^nn++++=combine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
careful ^jj+atrb+++=careful
plans ^nns++++=plans
of ^in++++=of
action ^nn++++=action,
, ^zz++++=EXTRAWORD
in ^in++++=in
case ^nn++++=case
they ^pp3a+pp3+++=they
should ^md+nec+++=should
get ^vb++++=get
let ^vb+++xvbn+=let
out ^rb+phrv+++=out
of ^in++++=of
a ^at++++=a
winter ^nn++++=winter's
's ^$++++=EXTRAWORD
job ^nn++++=job.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
the ^ati++++=the
