Any ^dti++++=Any
one ^cd1++++=one
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
ever ^rb++splt++=ever
written ^vprf+++xvbnx+=written
for ^in++++=for
the ^ati++++=the
magazines ^nns++++=magazines
( ^zz++++=(nobody
nobody ^pn++++=EXTRAWORD
could ^md+pos+++=could
devise ^vb++++=devise
a ^at++++=a
more ^ql++++=more
sweeping ^jj+atrb++xvbg+=sweeping
opening ^nvbg+++xvbg+=opening;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
includes ^vb++++=includes
the ^ati++++=the
iceman ^nn++++=iceman
who ^whp+rel+subj++=who
does ^vbz+doz+vrb++=does
a ^at++++=a
humorous ^jj+atrb+++=humorous
article ^nn++++=article
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
his ^pp$+pp3+++=his
troubles ^nns++++=troubles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
neglected ^jj+atrb++xvbn+=neglected
wife ^nn++++=wife
next ^ap++++=next
door ^nn++++=door,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
journalizes ^vbz++++=journalizes)
) ^zz++++=EXTRAWORD
knows ^vbz+vprv+++=knows
that ^tht+vcmp+++=that
a ^at++++=a
story ^nn++++=story
the ^ati++++=the
scene ^nn++++=scene
of ^in++++=of
which ^whp+rel+pied++=which
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
New ^jj+atrb+++=New
York ^np++++=York
is ^vbz+bez+vrb++=is
merely ^rb+down+++=merely
junk ^nn++++=junk.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
Fifth ^od++++=Fifth
Avenue ^npl++++=Avenue
as ^ql++++=as
a ^at++++=a
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
pad ^nn++++=pad
it ^pp3+it+++=it
out ^rp+pl+++=out
to ^to++++=to
five ^cd++++=five
thousand ^cd++++=thousand
words ^nns++++=words,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
the ^ati++++=the
ideal ^jj+atrb+++=ideal
short ^jj+atrb+++=short
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
a ^at++++=a
certain ^jj+atrb+++=certain
timidity ^nn+nom+++=timidity
in ^in++++=in
confessing ^vb+++xvbg+=confessing
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
Fifth ^od++++=Fifth
Avenue ^npl++++=Avenue
from ^in++++=from
Hester ^np+++??+=Hester
Street ^nn++++=Street
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
from ^in++++=from
the ^ati++++=the
latter ^ap++++=latter
to ^in++++=to
the ^ati++++=the
former ^ap++++=former
is ^vbz+bez+vrb++=is
a ^at++++=a
ten ^cd++++=ten-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
from ^in++++=from
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
gathered ^vprf+++xvbnx+=gathered
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
lie ^vb++++=lie
some ^dti++++=some
miles ^nns++++=miles
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
Forty ^cd++++=Forty-second
- ^zz++++=EXTRAWORD
second ^od++++=EXTRAWORD
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
musical ^jj+atrb+++=musical
comedians ^nns++++=comedians
carol ^nn++++=carol,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
not ^xnot++not++=not
if ^cs+cnd+++=if
it ^pp3+it+++=it
be ^vb+be+vrb++=be
a ^at++++=a
fashionable ^jj+atrb+++=fashionable
shopping ^jj+atrb++xvbg+=shopping
thoroughfare ^nn++++=thoroughfare
or ^cc++++=or
a ^at++++=a
factory ^nn++++=factory
district ^nn++++=district.
. ^zz++++=EXTRAWORD
A ^at++++=A
confession ^nn++++=confession
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
only ^rb+down+++=only
good ^jj++++=good
for ^in++++=for
the ^ati++++=the
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
the ^ati++++=the
editor ^nn++++=editor.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
saves ^nns++++=saves
him ^pp3o+pp3+++=him
the ^ati++++=the
trouble ^nn++++=trouble
of ^in++++=of
turning ^xvbg+++xvbg+=turning
to ^in++++=to
page ^nn++++=page
two ^cd++++=two.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
story ^nn++++=story
of ^in++++=of
Chicago ^np++++=Chicago,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
first ^od++++=first
cousin ^nn++++=cousin
of ^in++++=of
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
two ^cd++++=two
are ^vb+ber+vrb++=are
not ^xnot++not++=not
on ^in++++=on
chummy ^jj+atrb+++=chummy
terms ^nns++++=terms.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
story ^nn++++=story
of ^in++++=of
that ^dt+dem+++=that
part ^nn++++=part
of ^in++++=of
Chicago ^np++++=Chicago
which ^whp+rel+subj++=which
lies ^vbz++++=lies
east ^np+pl+++=east
of ^in++++=of
Dearborn ^np+++??+=Dearborn
Avenue ^nn++++=Avenue
and ^cc++++=and
south ^np+pl+++=south
of ^in++++=of
Division ^nn++++=Division
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
Nottingham ^np++++=Nottingham
curtain ^nn++++=curtain
district ^nn++++=district.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Nottingham ^np++++=Nottingham
curtain ^nn++++=curtain
district ^nn++++=district
every ^at++++=every
front ^jjb+atrb+++=front
parlor ^nn++++=parlor
window ^nn++++=window
is ^vbz+bez+aux++=is
embellished ^vpsv++agls+xvbnx+=embellished
with ^in++++=with
a ^at++++=a
" ^zz++++="Rooms
rooms ^nns++++=EXTRAWORD
With ^in++++=With
or ^cc++++=or
Without ^in++++=Without
Board ^nn++++=Board"
" ^zz++++=EXTRAWORD
sign ^vb++++=sign.
. ^zz++++=EXTRAWORD
The ^ati++++=The
curtains ^nns++++=curtains
themselves ^ppls+pp3+++=themselves
have ^vb+hv+vrb++=have
mellowed ^jj++++=mellowed
from ^in++++=from
their ^pp$+pp3+++=their
original ^jj+atrb+++=original
department ^nn+nom+++=department-store-basement-white
- ^zz++++=EXTRAWORD
store ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
basement ^nn+nom+++=EXTRAWORD
- ^zz++++=EXTRAWORD
white ^jj++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
rich ^jj+atrb+++=rich,
, ^zz++++=EXTRAWORD
deep ^jj+atrb+++=deep
tone ^nn++++=tone
of ^in++++=of
Chicago ^np++++=Chicago
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
the ^ati++++=the
notorious ^jj+atrb+++=notorious
London ^np++++=London
variety ^nn++++=variety
beaten ^vwbn+++xvbn+=beaten
by ^in++++=by
several ^ap++++=several
shades ^nns++++=shades.
. ^zz++++=EXTRAWORD
Block ^nn++++=Block
after ^in++++=after
block ^nn++++=block
the ^ati++++=the
two ^cd++++=two-story-and-basement
- ^zz++++=EXTRAWORD
story ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
basement ^nn+nom+++=EXTRAWORD
houses ^nns++++=houses
stretch ^nn++++=stretch,
, ^zz++++=EXTRAWORD
all ^abn++++=all
grimy ^jj++++=grimy
and ^cc+phrs+++=and
gritty ^jj++++=gritty
and ^cc+phrs+++=and
looking ^jj+++xvbg+=looking
sadly ^rb++++=sadly
down ^rp++++=down
upon ^in++++=upon
the ^ati++++=the
five ^cd++++=five
square ^jj+atrb+++=square
feet ^nns++++=feet
of ^in++++=of
mangy ^nn+++??+=mangy
grass ^nn++++=grass
forming ^vwbg+++xvbg+=forming
the ^ati++++=the
pitiful ^jj+atrb+++=pitiful
front ^jjb+atrb+++=front
yard ^nn++++=yard
of ^in++++=of
each ^dt++++=each.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
and ^cc+phrs+++=and
then ^rn+tm+++=then
the ^ati++++=the
monotonous ^jj+atrb+++=monotonous
line ^nn++++=line
of ^in++++=of
front ^jjb+atrb+++=front
stoops ^nns+++??+=stoops
is ^vbz+bez+aux++=is
broken ^vpsv++by+xvbnx+=broken
by ^in++++=by
an ^at++++=an
outjutting ^jj+atrb++xvbg+=outjutting
basement ^nn+nom+++=basement
delicatessen ^vbd+++xvbn+=delicatessen
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
not ^xnot++not++=not
often ^rb++++=often.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Nottingham ^np++++=Nottingham
curtain ^nn++++=curtain
district ^nn++++=district
does ^vbz+doz+aux++=does
not ^xnot++not++=not
run ^vb+++xvbn+=run
heavily ^rb++++=heavily
to ^in++++=to
delicacies ^nns+nom+++=delicacies.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
stronger ^jjr+pred+++=stronger
on ^in++++=on
creamed ^vbd+++xvbn+=creamed
cabbage ^nn+nom+++=cabbage
and ^cc++++=and
bread ^nn++++=bread
pudding ^nn++++=pudding.
. ^zz++++=EXTRAWORD
Up ^rp++++=Up
in ^in++++=in
the ^ati++++=the
third ^nn++++=third
floor ^nn++++=floor
back ^jjb++++=back
at ^in++++=at
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Buck ^np++++=Buck's
's ^$++++=EXTRAWORD
( ^zz++++=(elegant
elegant ^jj+atrb+++=EXTRAWORD
rooms ^nns++++=rooms
$ ^zz++++=$2.50
2.50 ^cd++++=EXTRAWORD
and ^cc++++=and
up ^rp++++=up
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
Gents ^np+++??+=Gents
preferred ^vbd+++xvbn+=preferred)
) ^zz++++=EXTRAWORD
Gertie ^np+++??+=Gertie
