One ^cd1++++=One
winter ^nn++++=winter
evening ^nn++++=evening
an ^at++++=an
old ^jj+atrb+++=old
knight ^nn++++=knight
in ^in++++=in
rusted ^jj+atrb++xvbn+=rusted
chain ^nn++++=chain-armour
- ^zz++++=EXTRAWORD
armour ^nn++++=EXTRAWORD
rode ^vbd+++xvbn+=rode
slowly ^rb++++=slowly
along ^in++++=along
the ^ati++++=the
woody ^nn+++??+=woody
southern ^jj+atrb+++=southern
slope ^nn++++=slope
of ^in++++=of
Ben ^np++++=Ben
Bulben ^np+++??+=Bulben,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
the ^ati++++=the
sun ^nn++++=sun
go ^vb++++=go
down ^rp++++=down
in ^in++++=in
crimson ^nn+++??+=crimson
clouds ^nns++++=clouds
over ^in++++=over
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
horse ^nn++++=horse
was ^vbd+bedz+aux++=was
tired ^vpsv++agls+xvbnx+=tired,
, ^zz++++=EXTRAWORD
as ^ql++++=as
after ^in++++=after
a ^at++++=a
long ^jj+atrb+++=long
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
upon ^in++++=upon
his ^pp$+pp3+++=his
helmet ^nn++++=helmet
the ^ati++++=the
crest ^nn++++=crest
of ^in++++=of
no ^at++++=no
neighbouring ^jj+atrb+++=neighbouring
lord ^npt++++=lord
or ^cc++++=or
king ^nn++++=king,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
small ^nn++++=small
rose ^vbd+++xvbn+=rose
made ^vbd+++xvbn+=made
of ^in++++=of
rubies ^nns++++=rubies
that ^tht+rel+subj++=that
glimmered ^vbd+++xvbn+=glimmered
every ^at++++=every
moment ^nn++++=moment
to ^in++++=to
a ^at++++=a
deeper ^jjr+atrb+++=deeper
crimson ^nn+++??+=crimson.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
white ^jj+atrb+++=white
hair ^nn++++=hair
fell ^vbd+++xvbn+=fell
in ^in++++=in
thin ^jj+atrb+++=thin
curls ^nns++++=curls
upon ^in++++=upon
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
disorder ^nn+nom+++=disorder
added ^vbd+vpub++xvbn+=added
to ^in++++=to
the ^ati++++=the
melancholy ^nn++++=melancholy
of ^in++++=of
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
