Kenelm ^np+++??+=Kenelm
Jerton ^np+++??+=Jerton
entered ^vbd+++xvbn+=entered
the ^ati++++=the
dining ^jj+++xvbg+=dining-hall
- ^zz++++=EXTRAWORD
hall ^npl++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Golden ^jj+atrb+++=Golden
Galleon ^np++++=Galleon
Hotel ^nn++++=Hotel
in ^in++++=in
the ^ati++++=the
full ^nn++++=full
crush ^vb++++=crush
of ^in++++=of
the ^ati++++=the
luncheon ^nn++++=luncheon
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Nearly ^rb+down+++=Nearly
every ^at++++=every
seat ^nn++++=seat
was ^vbd+bedz+aux++=was
occupied ^vpsv++agls+xvbnx+=occupied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
small ^jj+atrb+++=small
additional ^jj+atrb+++=additional
tables ^nns++++=tables
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
brought ^vpsv++agls+xvbnx+=brought
in ^rb+cnj+++=in,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
floor ^nn++++=floor
space ^nn++++=space
permitted ^vbd+++xvbn+=permitted,
, ^zz++++=EXTRAWORD
to ^to++++=to
accommodate ^nn+nom+++=accommodate
latecomers ^nns+nom+++=latecomers,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
result ^nn++++=result
that ^tht+ncmp+++=that
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
tables ^nns++++=tables
were ^vbd+bed+aux++=were
almost ^rb+hdg+splt++=almost
touching ^vbg+++xvbgx+=touching
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Jerton ^np+++??+=Jerton
was ^vbd+bedz+aux++=was
beckoned ^vpsv++by+xvbnx+=beckoned
by ^in++++=by
a ^at++++=a
waiter ^vb++++=waiter
to ^to+vcmp+++=to
the ^ati++++=the
only ^rb+down+++=only
vacant ^jj+atrb+++=vacant
table ^nn++++=table
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
discernible ^jj+pred+++=discernible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
seat ^nn++++=seat
with ^in++++=with
the ^ati++++=the
uncomfortable ^jj++++=uncomfortable
and ^cc++++=and
wholly ^rb++++=wholly
groundless ^jj+atrb+++=groundless
idea ^nn++++=idea
that ^tht+ncmp+++=that
nearly ^rb+down+++=nearly
every ^at++++=every
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
was ^vbd+bedz+aux++=was
staring ^vbg+++xvbgx+=staring
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
youngish ^jj+atrb+++=youngish
man ^nn++++=man
of ^in++++=of
ordinary ^jj+atrb+++=ordinary
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
quiet ^nn++++=quiet
of ^in++++=of
dress ^nn++++=dress
and ^cc++++=and
unobtrusive ^jj++++=unobtrusive
of ^in++++=of
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
could ^md+pos+++=could
never ^rb++splt++=never
wholly ^rb++++=wholly
rid ^vb+++xvbn+=rid
himself ^ppl+pp3+++=himself
of ^in++++=of
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
a ^at++++=a
fierce ^jj+atrb+++=fierce
light ^nn++++=light
of ^in++++=of
public ^jj+atrb+++=public
scrutiny ^nn++++=scrutiny
beat ^vbd+++xvbn+=beat
on ^rp++++=on
him ^pp3o+pp3+++=him
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
notability ^nn+nom+++=notability
or ^cc++++=or
a ^at++++=a
super ^jj++++=super-nut.
- ^zz++++=EXTRAWORD
nut ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
ordered ^vprf++tht0+xvbnx+=ordered
his ^pp$+pp3+++=his
lunch ^vb++++=lunch
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
the ^ati++++=the
unavoidable ^jj+atrb+++=unavoidable
interval ^nn+nom+++=interval
of ^in++++=of
waiting ^xvbg+++xvbg+=waiting,
, ^zz++++=EXTRAWORD
with ^in++++=with
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
but ^cc++++=but
to ^to++++=to
stare ^vbi++++=stare
at ^in++++=at
the ^ati++++=the
flowervase ^nn+++??+=flowervase
on ^in++++=on
his ^pp$+pp3+++=his
table ^nn++++=table
and ^cc++++=and
to ^to++++=to
be ^vbi+vbi+aux++=be
stared ^vpsv++agls+xvbnx+=stared
at ^in++++=at
( ^zz++++=(in
in ^in++++=EXTRAWORD
imagination ^nn+nom+++=imagination)
) ^zz++++=EXTRAWORD
by ^in++++=by
several ^ap++++=several
flappers ^nns+nom+++=flappers,
, ^zz++++=EXTRAWORD
some ^dti++++=some
maturer ^jjr+atrb+++=maturer
beings ^nns++++=beings
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
satirical ^jj++++=satirical-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
Jew ^nn++++=Jew.
. ^zz++++=EXTRAWORD
In ^to++++=In
order ^vb++++=order
to ^to+vcmp+++=to
carry ^vb++++=carry
off ^rb+phrv+++=off
the ^ati++++=the
situation ^nn+nom+++=situation
with ^in++++=with
some ^dti++++=some
appearance ^nn+nom+++=appearance
of ^in++++=of
unconcern ^jj+++xvbn+=unconcern
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
spuriously ^rb++++=spuriously
interested ^jj++++=interested
in ^in++++=in
the ^ati++++=the
contents ^nns++++=contents
of ^in++++=of
the ^ati++++=the
flower ^nn++++=flower-vase.
- ^zz++++=EXTRAWORD
vase ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
these ^dt+dem+++=these
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
d ^zz++++=d'you
'you ^nn+++??+=EXTRAWORD
know ^vb+vprv+++=know?"
? ^zz++++=EXTRAWORD
