One ^cd1++++=One
midsummer ^nn+nom+++=midsummer
night ^nn++++=night
a ^at++++=a
farmer ^nn++++=farmer's
's ^$++++=EXTRAWORD
boy ^nn++++=boy
living ^vwbg+++xvbg+=living
about ^in++++=about
ten ^cd++++=ten
miles ^nns++++=miles
from ^in++++=from
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Cincinnati ^np+++??+=Cincinnati
was ^vbd+bedz+aux++=was
following ^vbg+++xvbgx+=following
a ^at++++=a
bridle ^nn++++=bridle
path ^nn++++=path
through ^in++++=through
a ^at++++=a
dense ^jj+atrb+++=dense
and ^cc+phrs+++=and
dark ^jj+atrb+++=dark
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
himself ^ppl+pp3+++=himself
while ^cs+sub+++=while
searching ^vbg+++xvbg+=searching
for ^in++++=for
some ^dti++++=some
missing ^jj+atrb++xvbg+=missing
cows ^nns++++=cows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
near ^in+pl+++=near
midnight ^nn++++=midnight
was ^vbd+bedz+vrb++=was
a ^at++++=a
long ^jj+atrb+++=long
way ^nn++++=way
from ^in++++=from
home ^nr++++=home,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
unfamiliar ^jj+pred+++=unfamiliar.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
stout ^jj++++=stout-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
lad ^nn++++=lad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knowing ^vbg+vprv++xvbg+=knowing
his ^pp$+pp3+++=his
general ^jj+atrb+++=general
direction ^nn+nom+++=direction
from ^in++++=from
his ^pp$+pp3+++=his
home ^nr++++=home,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
plunged ^vbd+++xvbnx+=plunged
into ^in++++=into
the ^ati++++=the
forest ^nn++++=forest
without ^in++++=without
hesitation ^nn+nom+++=hesitation,
, ^zz++++=EXTRAWORD
guided ^xvbn+++xvbn+=guided
by ^in++++=by
the ^ati++++=the
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
Coming ^vbg+++xvbg+=Coming
into ^in+ppvb+++=into
the ^ati++++=the
bridle ^nn++++=bridle
path ^nn++++=path,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
observing ^vbg+vprv++xvbg+=observing
that ^tht+vcmp+++=that
it ^pp3+it+++=it
ran ^vbd+++xvbn+=ran
in ^in++++=in
the ^ati++++=the
right ^jj+atrb+++=right
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
followed ^vbd+vprv+tht0+xvbnx+=followed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
exceedingly ^rb++++=exceedingly
dark ^jj+pred+++=dark.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
by ^in++++=by
the ^ati++++=the
sense ^nn++++=sense
of ^in++++=of
touch ^nn++++=touch
than ^in++++=than
by ^in++++=by
that ^dt+dem+++=that
of ^in++++=of
sight ^nn++++=sight
that ^tht+rel+obj++=that
the ^ati++++=the
lad ^nn++++=lad
kept ^vbd+++xvbn+=kept
the ^ati++++=the
path ^nn++++=path.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
easily ^rb++++=easily
go ^vb++++=go
astray ^rb++++=astray;
; ^zz++++=EXTRAWORD
the ^ati++++=the
undergrowth ^nn++++=undergrowth
on ^in++++=on
both ^abx++++=both
sides ^nns++++=sides
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
thick ^jj++++=thick
as ^in++++=as
to ^to++++=to
be ^vbi++vrb++=be
almost ^rb+hdg+++=almost
impenetrable ^jj+pred+++=impenetrable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
into ^in++++=into
the ^ati++++=the
forest ^nn++++=forest
a ^at++++=a
mile ^nn++++=mile
or ^cc++++=or
more ^ql++++=more
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
surprised ^jj++agls+xvbnx+=surprised
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
a ^at++++=a
feeble ^jj+atrb+++=feeble
gleam ^nn++++=gleam
of ^in++++=of
light ^nn++++=light
shining ^vwbg+++xvbg+=shining
through ^in++++=through
the ^ati++++=the
foliage ^nn+nom+++=foliage
skirting ^vwbg+++xvbg+=skirting
the ^ati++++=the
path ^nn++++=path
on ^in++++=on
his ^pp$+pp3+++=his
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sight ^nn++++=sight
of ^in++++=of
it ^pp3+it+++=it
startled ^vbd+++xvbn+=startled
him ^pp3o+pp3+++=him
and ^cc++++=and
set ^vb+++xvbn+=set
his ^pp$+pp3+++=his
heart ^nn++++=heart
beating ^vwbg+++xvbg+=beating
audibly ^jj++++=audibly.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
old ^jj+atrb+++=old
Breede ^np+++??+=Breede
house ^nn++++=house
is ^vbz+bez+vrb++=is
somewhere ^rb++++=somewhere
about ^in++++=about
here ^rn+pl+++=here,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
path ^nn++++=path
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
reach ^vb++++=reach
it ^pp3+it+++=it
by ^in++++=by
from ^in++++=from
our ^pp$+pp1+++=our
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Ugh ^uh++++=Ugh!
! ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
should ^md+nec+++=should
a ^at++++=a
light ^nn++++=light
be ^vb+be+aux++=be
doing ^vbg+++xvbgx+=doing
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pushed ^vbd+++xvbnx+=pushed
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
emerged ^vprf+++xvbnx+=emerged
from ^in++++=from
the ^ati++++=the
forest ^nn++++=forest
into ^in++++=into
a ^at++++=a
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
open ^jj+atrb+++=open
space ^nn++++=space,
, ^zz++++=EXTRAWORD
mostly ^rb++++=mostly
upgrown ^jj+++xvbn+=upgrown
to ^in++++=to
brambles ^nns++++=brambles.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
remnants ^nns+nom+++=remnants
of ^in++++=of
a ^at++++=a
rotting ^jj+atrb+++=rotting
fence ^nn++++=fence.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
yards ^nns++++=yards
from ^in++++=from
the ^ati++++=the
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
" ^zz++++="clearing,"
clearing ^nvbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
house ^nn++++=house
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
light ^nn++++=light
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
through ^in++++=through
an ^at++++=an
unglazed ^jj+atrb+++=unglazed
window ^nn++++=window.
. ^zz++++=EXTRAWORD
The ^ati++++=The
window ^nn++++=window
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
contained ^vprf+++xvbnx+=contained
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
and ^cc++++=and
its ^pp$+it+++=its
supporting ^vbg+++xvbg+=supporting
frame ^nn++++=frame
had ^vb+hv+aux++=had
long ^rb++splt++=long
ago ^rb++++=ago
yielded ^vbd+++xvbn+=yielded
to ^in++++=to
missiles ^nns++++=missiles
flung ^vwbn+++xvbn+=flung
by ^in++++=by
hands ^nns++++=hands
of ^in++++=of
venturesome ^jj+atrb+++=venturesome
boys ^nns++++=boys
to ^to++++=to
attest ^vbi++++=attest
alike ^rb++++=alike
their ^pp$+pp3+++=their
courage ^nn+nom+++=courage
and ^cc++++=and
their ^pp$+pp3+++=their
hostility ^nn+nom+++=hostility
to ^in++++=to
the ^ati++++=the
supernatural ^jj++++=supernatural;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
Breede ^np+++??+=Breede
house ^npl++++=house
bore ^vbd+++xvbn+=bore
the ^ati++++=the
evil ^jj+atrb+++=evil
reputation ^nn+nom+++=reputation
of ^in++++=of
being ^nn+nn+aux++=being
haunted ^vbd+++xvbn+=haunted.
. ^zz++++=EXTRAWORD
Possibly ^rb++++=Possibly
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
the ^ati++++=the
hardiest ^jjt+atrb+++=hardiest
sceptic ^nn++++=sceptic
could ^md+pos+++=could
not ^xnot++not++=not
deny ^vb+vpub+++=deny
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
deserted ^vpsv++agls+xvbnx+=deserted--which
-- ^--+clp+++=EXTRAWORD
which ^whp+who+++=EXTRAWORD
in ^in++++=in
rural ^jj+atrb+++=rural
regions ^nns++++=regions
is ^vbz+bez+vrb++=is
much ^ap++++=much
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
at ^rb++++=at
the ^ati++++=the
mysterious ^jj++++=mysterious
dim ^jj++++=dim
light ^jj++++=light
shining ^jj+++xvbg+=shining
from ^in++++=from
the ^ati++++=the
ruined ^jj+atrb++xvbn+=ruined
window ^nn++++=window
the ^ati++++=the
boy ^nn++++=boy
remembered ^vwbn+vprv++xvbn+=remembered
with ^in++++=with
apprehension ^nn++++=apprehension
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
own ^ap++++=own
hand ^nn++++=hand
had ^vbd+hvd+aux++=had
assisted ^vprf+++xvbnx+=assisted
at ^rb++++=at
the ^ati++++=the
destruction ^nn+nom+++=destruction.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
penitence ^nn+nom+++=penitence
was ^vbd+bedz+vrb++=was
of ^in+emph+++=of
course ^nn+emph"+++=course
poignant ^jj++++=poignant
in ^in++++=in
proportion ^nn+nom+++=proportion
to ^in++++=to
its ^pp$+it+++=its
tardiness ^nns+nom+++=tardiness
and ^cc++++=and
inefficacy ^nn+nom+++=inefficacy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
half ^abn++++=half
expected ^vb+++xvbn+=expected
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
set ^vpsv++agls+xvbnx+=set
upon ^in++++=upon
by ^in++++=by
all ^abn++++=all
the ^ati++++=the
unworldly ^jj+atrb+++=unworldly
and ^cc+phrs+++=and
bodiless ^jj+atrb+++=bodiless
malevolences ^nns+nom+++=malevolences
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
outraged ^vprf+++xvbnx+=outraged
by ^in++++=by
assisting ^vb+++xvbg+=assisting
to ^to+vcmp+++=to
break ^vbi++++=break
alike ^rb++++=alike
their ^pp$+pp3+++=their
windows ^nns++++=windows
and ^cc++++=and
their ^pp$+pp3+++=their
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
this ^dt+dem+++=this
stubborn ^jj+atrb+++=stubborn
lad ^nn++++=lad,
, ^zz++++=EXTRAWORD
shaking ^jj+++xvbg+=shaking
in ^in++++=in
every ^at++++=every
limb ^nn++++=limb,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
not ^xnot++not++=not
retreat ^nn++++=retreat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blood ^nn++++=blood
in ^in++++=in
his ^pp$+pp3+++=his
veins ^nns++++=veins
was ^vbd+bedz+vrb++=was
strong ^jj+pred+++=strong
and ^cc+phrs+++=and
rich ^jj++++=rich
with ^in++++=with
the ^ati++++=the
iron ^nn++++=iron
of ^in++++=of
the ^ati++++=the
frontiersman ^nn+nom+++=frontiersman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
but ^cc++++=but
two ^cd++++=two
removes ^vbz++++=removes
from ^in++++=from
the ^ati++++=the
generation ^nn+nom+++=generation
that ^tht+rel+subj++=that
had ^vb+hv+vrb++=had
subdued ^jj++++=subdued
the ^ati++++=the
Indian ^nn++++=Indian.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
started ^vbd+++xvbnx+=started
to ^to++++=to
pass ^vbi++++=pass
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
by ^in++++=by
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
in ^in++++=in
at ^in++++=at
the ^ati++++=the
blank ^jj+atrb+++=blank
window ^nn++++=window
space ^nn++++=space
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
strange ^jj+atrb+++=strange
and ^cc+phrs+++=and
terrifying ^jj+atrb+++=terrifying
sight, ^nn+++??+=sight,--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
figure ^nn++++=figure
of ^in++++=of
a ^at++++=a
man ^nn++++=man
seated ^vbd+++xvbn+=seated
in ^in++++=in
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
table ^nn++++=table
upon ^in++++=upon
which ^whp+rel+pied++=which
lay ^jjb+++xvbn+=lay
some ^dti++++=some
loose ^jj+atrb+++=loose
sheets ^nns++++=sheets
of ^in++++=of
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
elbows ^nns++++=elbows
rested ^vbd+++xvbn+=rested
on ^in++++=on
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hands ^nns++++=hands
supporting ^vwbg+++xvbg+=supporting
the ^ati++++=the
head ^nn++++=head,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
uncovered ^vpsv++agls+xvbnx+=uncovered.
