It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
natural ^jj+pred+++=natural
that ^tht+jcmp+++=that
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+vrb++=be
quiet ^nn++++=quiet
for ^in++++=for
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Cairnes ^np++++=Cairnes
in ^in++++=in
her ^pp$+pp3+++=her
empty ^jj+atrb+++=empty
house ^npl++++=house.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
such ^abl++++=such
a ^at++++=a
family ^nn++++=family
of ^in++++=of
brothers ^nns+nom+++=brothers
and ^cc++++=and
sisters ^nns+nom+++=sisters
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
one ^pn++++=one
by ^in++++=by
one ^cd1++++=one
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
married ^vprf+++xvbnx+=married,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
any ^dti++++=any
rate ^nn++++=rate
had ^vbd+hvd+aux++=had
drifted ^vprf+++xvbnx+=drifted
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
alone ^rb++++=alone
with ^in++++=with
her ^pp$+pp3+++=her
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
memories ^nns++++=memories,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
echoes ^nns++++=echoes
in ^in++++=in
her ^pp$+pp3+++=her
vacant ^jj+atrb+++=vacant
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
work ^nn++++=work;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
memories ^nns++++=memories
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
pleasant ^jj++++=pleasant;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
echoes ^nns++++=echoes
were ^vbd+bed+vrb++=were
no ^at++++=no
pleasanter ^nn++++=pleasanter.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
house ^npl++++=house
was ^vbd+bedz+vrb++=was
as ^ql++++=as
comfortable ^jj++++=comfortable
otherwise ^rb+cnj+++=otherwise
as ^ql++++=as
one ^cd1++++=one
could ^md+pos+++=could
wish ^vb+vprv+++=wish;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
very ^ql+amp+++=very
centre ^jjb++++=centre
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
go ^vb++++=go
to ^in++++=to
church ^nn++++=church,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^in++++=to
shop ^nn++++=shop,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^to++++=to
call ^vbi++++=call,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Cairnes ^np++++=Cairnes
was ^vbd+bedz+vrb++=was
aware ^jj+pred+++=aware
of ^in++++=of
the ^ati++++=the
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
chose ^vbd+++xvbnx+=chose;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
only ^ap+down+++=only
thing ^nn++++=thing
that ^tht+rel+subj++=that
protected ^vbd+++xvbn+=protected
the ^ati++++=the
neighbors ^nns++++=neighbors
from ^in++++=from
this ^dt+dem+++=this
supervision ^nn++++=supervision
was ^vbd+bedz+vrb++=was
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Cairnes ^np++++=Cairnes's
's ^$++++=EXTRAWORD
mortal ^nn++++=mortal
dread ^nn++++=dread
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun
on ^rp++++=on
her ^pp3o+pp3+++=her
carpet ^nn++++=carpet;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
sun ^nn++++=sun
lay ^vbd+++xvbn+=lay
in ^cs+sub+++=in
that ^cs"++++=that
bay ^npl++++=bay-windowed
- ^zz++++=EXTRAWORD
windowed ^vbd+++xvbn+=EXTRAWORD
corner ^npl++++=corner
nearly ^rb+down+++=nearly
all ^rb++++=all
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^cs+sub+++=even
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
filled ^vbd+++xvbnx+=filled
the ^ati++++=the
window ^nn++++=window
full ^jj++++=full
of ^in++++=of
geraniums ^nns++++=geraniums
and ^cc++++=and
vines ^nns++++=vines
and ^cc++++=and
calla ^nn+++??+=calla-lilies
- ^zz++++=EXTRAWORD
lilies ^nns++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
quite ^abl++++=quite
shut ^vbd+++xvbn+=shut
it ^pp3+it+++=it
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
she ^pp3a+pp3+++=she
resorted ^vbd+++xvbnx+=resorted
to ^to++++=to
sweeping ^vbg+++xvbg+=sweeping
inner ^jjb+atrb+++=inner
curtains ^nns++++=curtains.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Cairnes ^np++++=Cairnes
did ^vbd+dod+vrb++=did
her ^pp$+pp3+++=her
own ^ap++++=own
work ^nn++++=work,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
refused ^vprf+++xvbnx+=refused
the ^ati++++=the
company ^nn++++=company
of ^in++++=of
various ^jj+atrb+++=various
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
them ^pp3o+pp3+++=them
house ^nn++++=house-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
for ^in++++=for
the ^ati++++=the
same ^ap++++=same
reason ^nn++++=reason
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
refused ^vprf+++xvbnx+=refused
several ^ap++++=several
offers ^nns++++=offers
of ^in++++=of
marriage ^nn+nom+++=marriage;
; ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
only ^ap+down+++=only
reason ^nn++++=reason
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
gave ^vbd+++xvbnx+=gave
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
quite ^abl++++=quite
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
any ^dti++++=any
boots ^nns++++=boots
bringing ^vwbg+++xvbg+=bringing
in ^in++++=in
mud ^nn++++=mud
for ^in++++=for
her ^pp$+pp3+++=her
to ^to++++=to
wipe ^vbi++++=wipe
up ^rb+phrv+++=up.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
fact ^nn++++=fact
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
Captain ^npt++++=Captain
Cairnes ^np+++??+=Cairnes
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
mistake ^nn++++=mistake;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
relict[pg ^nn+++??+=relict[Pg
1638 ^cd+date+++=1638]
] ^zz++++=EXTRAWORD
never ^rb++++=never
allowed ^vbd+++xvbn+=allowed
herself ^ppl+pp3+++=herself
to ^to++++=to
dwell ^vbi++++=dwell
upon ^in++++=upon
the ^ati++++=the
fact ^nn++++=fact
of ^in++++=of
her ^pp$+pp3+++=her
loss ^nn++++=loss,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
felt ^vbd+vprv+tht0+xvbnx+=felt
herself ^ppl+pp3+++=herself
obliged ^jj+++xvbn+=obliged
to ^to+jcmp+++=to
say ^vbi+vpub+++=say
with ^in++++=with
too ^ql++++=too
much ^ap++++=much
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
all ^abn++++=all
was ^vbd+bedz+vrb++=was
for ^in++++=for
the ^ati++++=the
best ^jjt++++=best;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
dared ^vbd+++??+=dared
not ^xnot++not++=not
risk ^vb++++=risk
the ^ati++++=the
experiment ^nn+nom+++=experiment
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Cairnes ^np++++=Cairnes,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
