Henry ^np++++=Henry
Floyd ^np+++??+=Floyd
was ^vbd+bedz+vrb++=was
a ^at++++=a
crank ^nn++++=crank,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
so ^rb++++=so
many ^ap++++=many
people ^nns++++=people
said ^vbd+vpub++xvbn+=said;
; ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
thought ^nn+++xvbn+=thought
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
person ^nn++++=person:
: ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
mostly ^rb++++=mostly
children ^nns++++=children,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
people ^nns++++=people
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
directory ^nn++++=directory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
persons ^nns++++=persons
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
directory ^nn++++=directory
do ^vb+do+aux++=do
not ^xnot++not++=not
count ^vb++++=count
for ^in++++=for
much ^rb++++=much.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
fact ^nn++++=fact
a ^at++++=a
singular ^jj++++=singular
fellow ^jjb++++=fellow.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
all ^abn++++=all
natural ^jj++++=natural
enough ^dt++++=enough
to ^in++++=to
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
like ^in++++=like
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
believed ^vbd+vprv+tht0+xvbnx+=believed
his ^pp$+pp3+++=his
father ^nn++++=father
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
father ^nn++++=father
of ^in++++=of
whom ^whp+rel+pied++=whom
his ^pp$+pp3+++=his
mother ^npt++++=mother
used ^md"++pmd"++=used
to ^to++++=to
tell ^vb++++=tell
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whom ^wpor+who+whcl++=whom
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
so ^ql++++=so
vaguely ^rb++++=vaguely
except ^in++++=except
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
suddenly ^rb++splt++=suddenly
loomed ^vprf+++xvbnx+=loomed
up ^rp++++=up
in ^in++++=in
his ^pp$+pp3+++=his
uniform ^nn++++=uniform
at ^rb++++=at
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
his ^pp$+pp3+++=his
company ^nn++++=company,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
away ^rp+pl+++=away
on ^in++++=on
that ^dt+dem+++=that
march ^nr++++=march
from ^in++++=from
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
returned ^vprf+++xvbnx+=returned.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
be ^vbi++vrb++=be
like ^in++++=like
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
all ^abn++++=all
that ^dt+dem+++=that
his ^pp$+pp3+++=his
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
him ^pp3o+pp3+++=him
of ^in++++=of
his ^pp$+pp3+++=his
gentleness ^nns+nom+++=gentleness,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
high ^jj+atrb+++=high
courtesy ^nn++++=courtesy,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
faithfulness ^nns+nom+++=faithfulness,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
devotion ^nn+nom+++=devotion
to ^in++++=to
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
unselfishness ^nns+nom+++=unselfishness.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
natural ^jj++++=natural
enough ^dt++++=enough
to ^in++++=to
Floyd ^np+++??+=Floyd
to ^to++++=to
be ^vbi++vrb++=be
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
man ^nn++++=man
can ^md+pos+++=can
no ^at++++=no
more ^ql++++=more
tell ^vb++++=tell
whether ^cs+who+++=whether
or ^cc++++=or
not ^xnot++not++=not
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
a ^at++++=a
crank ^nn++++=crank
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
can ^md+pos+++=can
tell ^vb++++=tell
how ^wrb+who+++=how
old ^jj++++=old
he ^pp3a+pp3+++=he
looks ^nns++++=looks.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
without ^in++++=without
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
different ^jj++++=different
in ^in++++=in
certain ^jj+atrb+++=certain
ways ^nns++++=ways
from ^in++++=from
most ^ql+emph+++=most
people ^nns++++=people.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
his ^pp$+pp3+++=his
friends ^nns++++=friends
admitted ^vwbn+vpub++xvbn+=admitted.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
old ^jj+pred+++=old-fashioned;
- ^zz++++=EXTRAWORD
fashioned ^vwbn+++xvbn+=EXTRAWORD
; ^zz++++=EXTRAWORD
some ^dti++++=some
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
" ^zz++++="old-timey";
old ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
timey ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
some ^dti++++=some
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
unpractical ^jj+pred+++=unpractical,
, ^zz++++=EXTRAWORD
the ^ati++++=the
shades ^nns++++=shades
of ^in++++=of
criticism ^nn+nom+++=criticism
ranging ^vwbg+++xvbg+=ranging
up ^in+cmpx+++=up
to ^in"++++=to
those ^dt+dem+++=those
saying ^jj+++xvbg+=saying
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
fool ^nn++++=fool.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
did ^vbd+dod+aux++=did
not ^xnot++not++=not
mean ^vb+vprv+++=mean
intellectually ^rb+cnj+++=intellectually,
, ^zz++++=EXTRAWORD
for ^in++++=for
none ^pn++++=none
denied ^vbd+vpub++xvbn+=denied
his ^pp$+pp3+++=his
intellect ^nn++++=intellect.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drove ^vbd+++xvbnx+=drove
a ^at++++=a
virile ^jj+atrb+++=virile
pen ^nn++++=pen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
an ^at++++=an
epigrammatic ^jj+atrb+++=epigrammatic
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
a ^at++++=a
hard ^jj+atrb+++=hard
time ^nn++++=time.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
borne ^vprf+++xvbnx+=borne
the ^ati++++=the
yoke ^nn++++=yoke
in ^in++++=in
his ^pp$+pp3+++=his
youth ^nn++++=youth.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
strong ^jj+atrb+++=strong
authority ^nn+nom+++=authority
for ^in++++=for
saying ^xvbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
for ^in++++=for
a ^at++++=a
man ^nn++++=man;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
leaves ^vbz++++=leaves
its ^pp$+it+++=its
mark ^nn++++=mark
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
