As ^ql++++=As
I ^pp1a+pp1+++=I
sit ^vb++++=sit
writing ^nvbg+++xvbg+=writing
in ^in++++=in
my ^pp$+pp1+++=my
study ^nn++++=study,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
hear ^vb+vprv+tht0++=hear
our ^pp$+pp1+++=our
Jane ^np++++=Jane
bumping ^vwbg+++xvbg+=bumping
her ^pp$+pp3+++=her
way ^nn++++=way
downstairs ^jjb++++=downstairs
with ^in++++=with
a ^at++++=a
brush ^nn++++=brush
and ^cc++++=and
dust ^nn++++=dust-pan.
- ^zz++++=EXTRAWORD
pan ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
used ^vbd+++xvbnx+=used
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
days ^nns++++=days
to ^to++++=to
sing ^vbi++++=sing
hymn ^nn++++=hymn
tunes ^nns++++=tunes,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
British ^jj+atrb+++=British
national ^jj+atrb+++=national
song ^nn++++=song
for ^in++++=for
the ^ati++++=the
time ^nn++++=time
being ^vwbg+beg++xvbg+=being,
, ^zz++++=EXTRAWORD
to ^in++++=to
these ^dt+dem+++=these
instruments ^nns+nom+++=instruments,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
latterly ^rb++++=latterly
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
silent ^jj++++=silent
and ^cc++++=and
even ^rb++++=even
careful ^jj++++=careful
over ^rp++++=over
her ^pp3o+pp3+++=her
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Time ^nn++++=Time
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
prayed ^vbd+vsua++xvbnx+=prayed
with ^in++++=with
fervour ^nn++++=fervour
for ^in++++=for
such ^abl++++=such
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
wife ^nn++++=wife
with ^in++++=with
sighs ^nns++++=sighs
for ^in++++=for
such ^abl++++=such
