Hans ^np++++=Hans
Christian ^jj+atrb+++=Christian
Anderson ^np++++=Anderson,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
Blago ^np+++??+=Blago
Kirof ^np+++??+=Kirof,
, ^zz++++=EXTRAWORD
published ^j+++xvbn+=published
this ^dt+dem+++=this
Danish ^jj+atrb+++=Danish
tale ^nn++++=tale
in ^in++++=in
1858 ^cd+date+++=1858.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
offers ^vbz++++=offers
quite ^rb++++=quite
a ^at++++=a
sad ^jj+atrb+++=sad
message ^nn+nom+++=message-never
- ^zz++++=EXTRAWORD
never ^rb++++=EXTRAWORD
covet ^vb++++=covet
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
nightcap ^nn+++??+=nightcap
that ^tht+rel+obj++=that
may ^md+pos+++=may
contain ^vb++++=contain
valuable ^jj+atrb+++=valuable
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
dreams ^nns++++=dreams
( ^zz++++=(or
or ^cc++++=EXTRAWORD
pearls ^nns++++=pearls).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
yield ^vb++++=yield
quite ^rb++++=quite
disturbing ^vbg+++xvbg+=disturbing
results ^nns++++=results.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
street ^nn++++=street
in ^in++++=in
Copenhagen ^np++++=Copenhagen
with ^in++++=with
a ^at++++=a
very ^ql+amp+++=very
strange ^jj+atrb+++=strange
name ^nn++++=name.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
" ^zz++++="Hysken"
hysken ^vb+++xvbn+=EXTRAWORD
" ^zz++++=EXTRAWORD
street ^nn++++=street.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
the ^ati++++=the
name ^nn++++=name
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
it ^pp3+it+++=it
means ^in++++=means
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
uncertain ^jj++++=uncertain.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
be ^vbi++vrb++=be
German ^jj+pred+++=German,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
is ^vbz+bez+vrb++=is
unjust ^jj+pred+++=unjust
to ^in++++=to
the ^ati++++=the
Germans ^nns+nom+++=Germans,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
would ^md+prd+++=would
then ^rn+tm+++=then
be ^vb+be+aux++=be
called ^vpsv++agls+xvbnx+=called
" ^zz++++="Hauschen,"
hauschen ^vb+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
not ^xnot++not++=not
" ^zz++++="Hysken."
hysken ^vb+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hauschen,"
hauschen ^vb+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
means ^nns++++=means
a ^rb++++=a
little ^rb"++++=little
house ^nn++++=house;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
many ^ap++++=many
years ^nns++++=years
it ^pp3+it+++=it
consisted ^vbd+++xvbn+=consisted
only ^rb+down+++=only
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
small ^jj+atrb+++=small
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
scarcely ^rb+down+++=scarcely
larger ^jjr+pred+++=larger
than ^in++++=than
the ^ati++++=the
wooden ^jj+atrb+++=wooden
booths ^nns++++=booths
we ^pp1a+pp1+++=we
see ^vb+vprv+++=see
in ^in++++=in
the ^ati++++=the
market ^nn++++=market-places
- ^zz++++=EXTRAWORD
places ^nns++++=EXTRAWORD
at ^rb++++=at
fair ^jj+atrb+++=fair
time ^nn++++=time.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
perhaps ^rb++++=perhaps
a ^rb++++=a
little ^rb"++++=little
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
