Old ^jj+atrb+++=OLD
Jack ^np++++=JACK
raked ^vprf+++xvbn+=raked
the ^ati++++=the
cinders ^nns+nom+++=cinders
together ^nn+nom+++=together
with ^in++++=with
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
cardboard ^nn++++=cardboard
and ^cc++++=and
spread ^nn+++xvbn+=spread
them ^pp3o+pp3+++=them
judiciously ^jj++++=judiciously
over ^in++++=over
the ^ati++++=the
whitening ^jj+atrb++xvbg+=whitening
dome ^nn++++=dome
of ^in++++=of
coals ^nns++++=coals.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
dome ^nn++++=dome
was ^vbd+bedz+aux++=was
thinly ^rb++splt++=thinly
covered ^vpsv++agls+xvbnx+=covered
his ^pp$+pp3+++=his
face ^vb++++=face
lapsed ^vbd+++xvbn+=lapsed
into ^in++++=into
darkness ^nns+nom+++=darkness
but ^cc++++=but,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
set ^vbd+++xvbnx+=set
himself ^ppl+pp3+++=himself
to ^in++++=to
fan ^nn++++=fan
the ^ati++++=the
fire ^nn++++=fire
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
crouching ^vbg+++xvbg+=crouching
shadow ^nn++++=shadow
ascended ^vbd+++xvbn+=ascended
the ^ati++++=the
opposite ^jj+atrb+++=opposite
wall ^nn++++=wall
and ^cc++++=and
his ^pp$+pp3+++=his
face ^nn++++=face
slowly ^rb++++=slowly
reemerged ^jj+++xvbn+=reemerged
into ^in++++=into
light ^nn++++=light.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
bony ^jj++++=bony
and ^cc+phrs+++=and
hairy ^jj++++=hairy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moist ^jj+atrb+++=moist
blue ^nn++++=blue
eyes ^nns++++=eyes
blinked ^vbd+++xvbn+=blinked
at ^in++++=at
the ^ati++++=the
fire ^nn++++=fire
and ^cc++++=and
the ^ati++++=the
moist ^jj+atrb+++=moist
mouth ^nn++++=mouth
fell ^vbd+++xvbn+=fell
open ^jj++++=open
at ^rb++++=at
times ^nns++++=times,
, ^zz++++=EXTRAWORD
munching ^vbg+++xvbg+=munching
once ^rb+tm+++=once
or ^cc+phrs+++=or
twice ^rb++++=twice
mechanically ^rb++++=mechanically
when ^wrb+who+++=when
it ^pp3+it+++=it
closed ^vbd+++xvbn+=closed.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
cinders ^nns+nom+++=cinders
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught
he ^pp3a+pp3+++=he
laid ^vbd+++xvbnx+=laid
the ^ati++++=the
piece ^nn++++=piece
of ^in++++=of
cardboard ^nn++++=cardboard
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
sighed ^j+++xvbn+=sighed
and ^cc+phrs+++=and
said ^j+++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
better ^jjr++++=better
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor."
'connor." ^nn+++??+=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor,
'connor, ^nn+++??+=EXTRAWORD
a ^at++++=a
grey ^jj++++=grey-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
face ^nn++++=face
was ^vbd+bedz+aux++=was
disfigured ^vpsv++by+xvbnx+=disfigured
by ^in++++=by
many ^ap++++=many
blotches ^nns++++=blotches
and ^cc++++=and
pimples ^nns+++??+=pimples,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
brought ^vprf+++xvbnx+=brought
the ^ati++++=the
tobacco ^nn++++=tobacco
for ^in++++=for
a ^at++++=a
cigarette ^nn+nom+++=cigarette
into ^in++++=into
a ^at++++=a
shapely ^jj+atrb+++=shapely
cylinder ^nn+nom+++=cylinder
but ^cc+cls+++=but
when ^wrb+who+++=when
spoken ^vprf+++xvbn+=spoken
to ^in++++=to
he ^pp3a+pp3+++=he
undid ^vbd+++xvbnx+=undid
his ^pp$+pp3+++=his
handiwork ^nn++++=handiwork
meditatively ^rb++++=meditatively.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
roll ^vbi++++=roll
the ^ati++++=the
tobacco ^nn++++=tobacco
again ^rb+tm+++=again
meditatively ^rb++++=meditatively
and ^cc++++=and
after ^cs+sub+++=after
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
thought ^vbd+++xvbn+=thought
decided ^vprf+++xvbn+=decided
to ^to+vcmp+++=to
lick ^vbi++++=lick
the ^ati++++=the
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Tierney ^np++++=Tierney
say ^vb+vpub+++=say
when ^wrb+who+whcl++=when
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
be ^vb+be+vrb++=be
back ^jjb+pred+++=back?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
in ^rb+phrv+++=in
a ^at++++=a
sky ^nn++++=sky
falsetto ^nn++++=falsetto.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor
'connor ^nn+++??+=EXTRAWORD
put ^vbd+++xvbn+=put
his ^pp$+pp3+++=his
cigarette ^nn+nom+++=cigarette
into ^in++++=into
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
and ^cc++++=and
began ^vbd+++xvbn+=began
search ^nn++++=search
his ^pp$+pp3+++=his
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
out ^rp+pl+++=out
a ^at++++=a
pack ^nn++++=pack
of ^in++++=of
thin ^jj+atrb+++=thin
pasteboard ^nn+++??+=pasteboard
cards ^nns++++=cards.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
you ^pp2+pp2+++=you
a ^at++++=a
match ^nn++++=match,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Never
never ^rb++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
O ^zz++++=O'Connor.
'connor. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
selected ^vbd+++xvbnx+=selected
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
cards ^nns++++=cards
and ^cc++++=and
read ^vb+vprv++xvbn+=read
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
printed ^vpsv++agls+xvbnx+=printed
on ^in++++=on
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
Municipal ^jj+atrb+++=MUNICIPAL
Elections ^nns+nom+++=ELECTIONS
-- ^--+clp+++=---------ROYAL
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
royal ^jj+atrb+++=EXTRAWORD
Exchange ^nn++++=EXCHANGE
Ward ^nn++++=WARD
-- ^--+clp+++=---------Mr.
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Richard ^np++++=Richard
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Tierney ^np+++??+=Tierney,
, ^zz++++=EXTRAWORD
P.l.g ^np+++??+=P.L.G.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
