When ^wrb+who+++=When
one ^cd1++++=one
loves ^nns++++=loves
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
Art ^nn++++=Art
no ^at++++=no
service ^nn++++=service
seems ^vbz+seem+++=seems
too ^ql++++=too
hard ^jj++++=hard.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
premise ^nn++++=premise.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
story ^nn++++=story
shall ^md+prd+++=shall
draw ^vb++++=draw
a ^at++++=a
conclusion ^nn++++=conclusion
from ^in++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
show ^vb+vprv+++=show
at ^rb++++=at
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time
that ^tht+rel+obj++=that
the ^ati++++=the
premise ^nn++++=premise
is ^vbz+bez+vrb++=is
incorrect ^jj+pred+++=incorrect.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
will ^md+prd+++=will
be ^vb+be+vrb++=be
a ^at++++=a
new ^jj+atrb+++=new
thing ^nn++++=thing
in ^in++++=in
logic ^nn++++=logic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
feat ^nn++++=feat
in ^in++++=in
story ^nn++++=story-telling
- ^zz++++=EXTRAWORD
telling ^vbg+nom++xvbg+=EXTRAWORD
somewhat ^rb+down+++=somewhat
older ^jjr++++=older
than ^in++++=than
the ^ati++++=the
great ^jj+atrb+++=great
wall ^nn++++=wall
of ^in++++=of
China ^np++++=China.
. ^zz++++=EXTRAWORD
Joe ^np++++=Joe
Larrabee ^np+nom++??+=Larrabee
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
post ^nn++++=post-oak
- ^zz++++=EXTRAWORD
oak ^nn++++=EXTRAWORD
flats ^nns++++=flats
of ^in++++=of
the ^ati++++=the
Middle ^jjb++++=Middle
West ^np+pl+++=West
pulsing ^vwbg+++xvbg+=pulsing
with ^in++++=with
a ^at++++=a
genius ^nn++++=genius
for ^in++++=for
pictorial ^jj+atrb+++=pictorial
art ^nn++++=art.
. ^zz++++=EXTRAWORD
At ^rb++++=At
six ^cd++++=six
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
a ^at++++=a
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
pump ^nn++++=pump
with ^in++++=with
a ^at++++=a
prominent ^jj+atrb+++=prominent
citizen ^nn++++=citizen
passing ^vwbg+++xvbg+=passing
it ^pp3+it+++=it
hastily ^rb++++=hastily.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
effort ^nn++++=effort
was ^vbd+bedz+aux++=was
framed ^vpsv++agls+xvbnx+=framed
and ^cc+phrs+++=and
hung ^vpsv++agls+xvbn+=hung
in ^in++++=in
the ^ati++++=the
drug ^nn++++=drug
store ^nn++++=store
window ^nn++++=window
by ^in++++=by
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
ear ^nn++++=ear
of ^in++++=of
corn ^nn++++=corn
with ^in++++=with
an ^at++++=an
uneven ^jj+atrb+++=uneven
number ^nn++++=number
of ^in++++=of
rows ^nns++++=rows.
. ^zz++++=EXTRAWORD
At ^rb++++=At
twenty ^cd++++=twenty
he ^pp3a+pp3+++=he
left ^vbd+++xvbnx+=left
for ^in++++=for
New ^jj+atrb+++=New
York ^np++++=York
with ^in++++=with
a ^at++++=a
flowing ^jj+atrb++xvbg+=flowing
necktie ^nn+++??+=necktie
and ^cc++++=and
a ^at++++=a
capital ^nn++++=capital
tied ^vbd+++xvbn+=tied
up ^rp++++=up
somewhat ^rb+down+++=somewhat
closer ^rbr++++=closer.
. ^zz++++=EXTRAWORD
Delia ^np+++??+=Delia
Caruthers ^nns+nom++??+=Caruthers
did ^vbd+dod+vrb++=did
things ^nns++++=things
in ^in++++=in
six ^cd++++=six
octaves ^nns++++=octaves
so ^rb++++=so
promisingly ^rb++++=promisingly
in ^in++++=in
a ^at++++=a
