I ^pp1a+pp1+++=I
When ^wrb+who+++=WHEN
Miss ^npt++++=Miss
Emily ^np++++=Emily
Grierson ^np+++??+=Grierson
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
whole ^jj+atrb+++=whole
town ^nn++++=town
went ^vbd+++xvbn+=went
to ^in++++=to
her ^pp$+pp3+++=her
funeral ^nn++++=funeral:
: ^zz++++=EXTRAWORD
the ^ati++++=the
men ^nns++++=men
through ^in++++=through
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
respectful ^jj+atrb+++=respectful
affection ^nn+nom+++=affection
for ^in++++=for
a ^at++++=a
fallen ^vprf+++xvbn+=fallen
monument ^nn+nom+++=monument,
, ^zz++++=EXTRAWORD
the ^ati++++=the
women ^nns++++=women
mostly ^rb++++=mostly
out ^rp+pl+++=out
of ^in++++=of
curiosity ^nn+nom+++=curiosity
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
inside ^nn++++=inside
of ^in++++=of
her ^pp3o+pp3+++=her
house ^npl++++=house,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
no ^at++++=no
one ^pn++++=one
save ^in++++=save
an ^at++++=an
old ^jj+atrb+++=old
man-servant ^nn+nom+++=man-servant--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
combined ^jj+atrb++xvbn+=combined
gardener ^nn+nom+++=gardener
and ^cc++++=and
cook ^nn++++=cook--had
-- ^--+clp+++=EXTRAWORD
had ^vbd+hvd+aux++=EXTRAWORD
seen ^vprf+++xvbnx+=seen
in ^in++++=in
at ^rb++++=at
least ^rb"++++=least
ten ^cd++++=ten
years ^nns++++=years.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
big ^jj+atrb+++=big,
, ^zz++++=EXTRAWORD
squarish ^jj+atrb+++=squarish
frame ^nn++++=frame
house ^npl++++=house
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
white ^jj++++=white,
, ^zz++++=EXTRAWORD
decorated ^j+++xvbn+=decorated
with ^in++++=with
cupolas ^nns+++??+=cupolas
and ^cc++++=and
spires ^nns++++=spires
and ^cc++++=and
scrolled ^jj+atrb++xvbn+=scrolled
balconies ^nns++++=balconies
in ^in++++=in
the ^ati++++=the
heavily ^rb++++=heavily
lightsome ^jj+atrb++??+=lightsome
style ^nn++++=style
of ^in++++=of
the ^ati++++=the
seventies ^cds++++=seventies,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
on ^in++++=on
what ^wdt+who+++=what
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
our ^pp$+pp1+++=our
most ^ql+emph+++=most
select ^vb++++=select
street ^nn++++=street.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
garages ^nns+nom+++=garages
and ^cc++++=and
cotton ^np++++=cotton
gins ^nns+++??+=gins
had ^vbd+hvd+aux++=had
encroached ^vprf+++xvbnx+=encroached
and ^cc+phrs+++=and
obliterated ^vbd+++xvbn+=obliterated
even ^rb++++=even
the ^ati++++=the
august ^nr++++=august
names ^nns++++=names
of ^in++++=of
that ^dt+dem+++=that
neighborhood ^nn+nom+++=neighborhood;
; ^zz++++=EXTRAWORD
only ^rb+down+++=only
Miss ^npt++++=Miss
Emily ^np++++=Emily's
's ^$++++=EXTRAWORD
house ^npl++++=house
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left,
, ^zz++++=EXTRAWORD
lifting ^nvbg+++xvbg+=lifting
its ^pp$+it+++=its
stubborn ^jj+atrb+++=stubborn
and ^cc+phrs+++=and
coquettish ^jj+atrb+++=coquettish
decay ^nn++++=decay
above ^jjb++++=above
the ^ati++++=the
cotton ^nn++++=cotton
wagons ^nns++++=wagons
and ^cc++++=and
the ^ati++++=the
gasoline ^nn+++??+=gasoline
pumps ^nns++++=pumps-an
- ^zz++++=EXTRAWORD
an ^at++++=EXTRAWORD
eyesore ^nn+++??+=eyesore
among ^in++++=among
eyesores ^nns+++??+=eyesores.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
Miss ^npt++++=Miss
Emily ^np++++=Emily
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^to++++=to
join ^vbi++++=join
the ^ati++++=the
representatives ^nns++++=representatives
of ^in++++=of
those ^dt+dem+++=those
august ^nr++++=august
names ^nns++++=names
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
lay ^vbd+++xvbnx+=lay
in ^in++++=in
the ^ati++++=the
cedar ^nn++++=cedar-bemused
- ^zz++++=EXTRAWORD
bemused ^xvbn+++xvbn+=EXTRAWORD
cemetery ^nn+nom+++=cemetery
among ^in++++=among
the ^ati++++=the
ranked ^jj+atrb++xvbn+=ranked
and ^cc+phrs+++=and
anonymous ^jj+atrb+++=anonymous
graves ^nns++++=graves
of ^in++++=of
Union ^nn++++=Union
and ^cc++++=and
Confederate ^nn+nom+++=Confederate
soldiers ^nns+nom+++=soldiers
who ^whp+rel+subj++=who
fell ^vbd+++xvbn+=fell
at ^rb++++=at
the ^ati++++=the
battle ^nn++++=battle
of ^in++++=of
Jefferson ^np++++=Jefferson.
. ^zz++++=EXTRAWORD
Alive ^jj++++=Alive,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Emily ^np++++=Emily
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
tradition ^nn+nom+++=tradition,
, ^zz++++=EXTRAWORD
a ^at++++=a
duty ^nn++++=duty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
care ^nn++++=care;
; ^zz++++=EXTRAWORD
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
hereditary ^jj+atrb+++=hereditary
obligation ^nn+nom+++=obligation
upon ^in++++=upon
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
dating ^vbg+++xvbg+=dating
from ^in++++=from
that ^dt+dem+++=that
day ^nn++++=day
in ^in++++=in
1894 ^cd+date+++=1894
when ^wrb+who+++=when
Colonel ^npt++++=Colonel
Sartoris ^np+++??+=Sartoris,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mayor ^npt++++=mayor--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
who ^whp+who+++=who
fathered ^vbd+++xvbn+=fathered
the ^ati++++=the
edict ^nn+++??+=edict
that ^tht+rel+obj++=that
no ^at++++=no
Negro ^nn++++=Negro
woman ^nn++++=woman
should ^md+nec+++=should
appear ^vb+seem+++=appear
on ^in++++=on
the ^ati++++=the
streets ^nns++++=streets
without ^in++++=without
an ^at++++=an
apron ^nn++++=apron-remitted
- ^zz++++=EXTRAWORD
remitted ^jj+++xvbn+=EXTRAWORD
her ^pp3o+pp3+++=her
taxes ^nns++++=taxes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dispensation ^nn+nom+++=dispensation
dating ^vwbg+++xvbg+=dating
from ^in++++=from
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
her ^pp3o+pp3+++=her
father ^npt++++=father
on ^in++++=on
into ^in++++=into
perpetuity ^nn+nom+++=perpetuity.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
Miss ^npt++++=Miss
Emily ^np++++=Emily
would ^md+prd+++=would
have ^vb+hv+aux++=have
accepted ^vprf+++xvbnx+=accepted
charity ^nn+nom+++=charity.
. ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Sartoris ^np+++??+=Sartoris
invented ^vbd+++xvbn+=invented
an ^at++++=an
involved ^jj+atrb++xvbn+=involved
tale ^nn++++=tale
to ^in++++=to
the ^ati++++=the
effect ^nn++++=effect
that ^tht+rel+obj++=that
Miss ^npt++++=Miss
Emily ^np++++=Emily's
's ^$++++=EXTRAWORD
father ^nn++++=father
had ^vbd+hvd+aux++=had
