[ ^zz++++=[The
the ^ati++++=EXTRAWORD
events ^nns++++=events
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
narrated ^vpsv++agls+xvbnx+=narrated
happened ^vprf+++xvbn+=happened
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring
of ^in++++=of
1803 ^cd+date+++=1803,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
before ^in++++=before
the ^ati++++=the
rupture ^nn++++=rupture
of ^in++++=of
the ^ati++++=the
Peace ^nn++++=Peace
of ^in++++=of
Amiens ^np+++??+=Amiens
between ^in++++=between
our ^pp$+pp1+++=our
country ^nn++++=country
and ^cc++++=and
France ^np++++=France;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
were ^vbd+bed+aux++=were
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
in ^in++++=in
1841 ^cd+date+++=1841
by ^in++++=by
one ^cd1++++=one
Yann ^np+++??+=Yann,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Jean ^np++++=Jean,
, ^zz++++=EXTRAWORD
Riel ^np+++??+=Riel,
, ^zz++++=EXTRAWORD
a ^at++++=a
Breton ^jj++++=Breton
" ^zz++++="merchant,"
merchant ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
alias ^rb++++=alias
smuggler ^nn+nom+++=smuggler--whether
-- ^--+clp+++=EXTRAWORD
whether ^cs+who+++=EXTRAWORD
or ^cc++++=or
not ^xnot++not++=not
a ^at++++=a
descendant ^nn+nom+++=descendant
of ^in++++=of
the ^ati++++=the
famous ^jj+atrb+++=famous
Herve ^np+++??+=Herve
of ^in++++=of
that ^dt+dem+++=that
name ^nn++++=name,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
chanced ^vbd+++xvbnx+=chanced
to ^to++++=to
fall ^vbi++++=fall
ill ^jj++++=ill
while ^cs+sub+++=while
visiting ^vbg+++xvbg+=visiting
some ^dti++++=some
friends ^nns++++=friends
in ^in++++=in
the ^ati++++=the
small ^jj++++=small
Cornish ^jj++++=Cornish
fishing ^jj+++xvbg+=fishing-town,
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
