B.c ^rb++++=B.C.
. ^zz++++=EXTRAWORD
249 ^cd++++=249
The ^ati++++=The
first ^od++++=first
wars ^nns++++=wars
that ^tht+rel+obj++=that
the ^ati++++=the
Romans ^nn++++=Romans
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
beyond ^in++++=beyond
the ^ati++++=the
bounds ^nns++++=bounds
of ^in++++=of
Italy ^np++++=Italy,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
with ^in++++=with
the ^ati++++=the
Carthaginians ^np+++??+=Carthaginians.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
race ^nn++++=race
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
Tyre ^np+++??+=Tyre
and ^cc++++=and
Zidon ^np+++??+=Zidon;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+aux++=were
descended ^vpsv++agls+xvbnx+=descended
from ^in++++=from
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
Phoenicians ^nn++++=Phoenicians,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Zidonians ^np+++??+=Zidonians,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
such ^abl++++=such
dangerous ^jj+atrb+++=dangerous
foes ^nns++++=foes,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
more ^rbr++++=more
dangerous ^jj+atrb+++=dangerous
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
Israelites ^np+++??+=Israelites.
. ^zz++++=EXTRAWORD
Carthage ^np+nom++??+=Carthage
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
as ^ql++++=as
some ^dti++++=some
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
been ^j+j+aux+xvbn+=been
first ^od++++=first
founded ^vpsv++by+xvbn+=founded
by ^in++++=by
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
Canaanites ^np+++??+=Canaanites
who ^whp+rel+subj++=who
fled ^vbd+++xvbn+=fled
when ^wrb+who+++=when
Joshua ^np++++=Joshua
conquered ^vbd+++xvbn+=conquered
the ^ati++++=the
Promised ^jj+atrb++xvbn+=Promised
Land ^nn++++=Land;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whether ^cs+who+++=whether
this ^dt+pdem+++=this
were ^vbd+bed+vrb++=were
so ^ql++++=so
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
were ^vbd+bed+vrb++=were
in ^in++++=in
all ^abn++++=all
their ^pp$+pp3+++=their
ways ^nns++++=ways
the ^ati++++=the
same ^ap++++=same
as ^in++++=as
the ^ati++++=the
Tyrians ^np+++??+=Tyrians
and ^cc++++=and
Zidonians ^np+++??+=Zidonians,
, ^zz++++=EXTRAWORD
of ^in++++=of
whom ^whp+rel+pied++=whom
so ^ql++++=so
much ^ap++++=much
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
in ^in++++=in
the ^ati++++=the
prophecies ^nns++++=prophecies
of ^in++++=of
Isaiah ^np++++=Isaiah
and ^cc++++=and
Ezekiel ^np+++??+=Ezekiel.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
worshipped ^vbd+++xvbnx+=worshipped
Baal ^np+++??+=Baal
and ^cc++++=and
Ashtoreth ^np+++??+=Ashtoreth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
frightful ^jj+atrb+++=frightful
Moloch ^np+++??+=Moloch,
, ^zz++++=EXTRAWORD
with ^in++++=with
foul ^nn++++=foul
and ^cc++++=and
cruel ^jj+atrb+++=cruel
rites ^nns++++=rites;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
like ^in++++=like
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
