In ^in++++=IN
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
city ^nn++++=city
of ^in++++=of
London ^np++++=London
lies ^vbz++++=lies
a ^at++++=a
small ^jj+atrb+++=small
neighborhood ^nn+nom+++=neighborhood,
, ^zz++++=EXTRAWORD
consisting ^vbg+++xvbg+=consisting
of ^in++++=of
a ^at++++=a
cluster ^nn+nom+++=cluster
of ^in++++=of
narrow ^jj+atrb+++=narrow
streets ^nns++++=streets
and ^cc++++=and
courts ^nns++++=courts,
, ^zz++++=EXTRAWORD
of ^in++++=of
very ^ql+amp+++=very
venerable ^jj+atrb+++=venerable
and ^cc+phrs+++=and
debilitated ^jj+atrb++xvbn+=debilitated
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
goes ^vbz++++=goes
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Little ^jj+atrb+++=Little
Britain ^np++++=Britain.
. ^zz++++=EXTRAWORD
Christ ^np++++=Christ
Church ^npl++++=Church
School ^nn++++=School
and ^cc++++=and
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Bartholomew ^np++++=Bartholomew's
's ^$++++=EXTRAWORD
Hospital ^npl+nom+++=Hospital
bound ^vwbn+++xvbn+=bound
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
west ^np+pl+++=west;
; ^zz++++=EXTRAWORD
Smithfield ^np++++=Smithfield
and ^cc++++=and
Long ^rb++++=Long
Lane ^nn++++=Lane
on ^in++++=on
the ^ati++++=the
north ^np+pl+++=north;
; ^zz++++=EXTRAWORD
Aldersgate ^np+nom++??+=Aldersgate
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
like ^in++++=like
an ^at++++=an
arm ^nn++++=arm
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
divides ^vbz++++=divides
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
eastern ^jj+atrb+++=eastern
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
city ^nn++++=city;
; ^zz++++=EXTRAWORD
whilst ^cs+sub+++=whilst
the ^ati++++=the
yawning ^jj+atrb++xvbg+=yawning
gulf ^nn++++=gulf
of ^in++++=of
Bull ^nn++++=Bull-and-Mouth
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
mouth ^nn++++=EXTRAWORD
Street ^nn++++=Street
separates ^nns+nom+++=separates
it ^pp3+it+++=it
from ^in++++=from
Butcher ^nn++++=Butcher
Lane ^nn++++=Lane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
regions ^nns++++=regions
of ^in++++=of
Newgate ^np+nom++??+=Newgate.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
this ^dt+dem+++=this
little ^jj+atrb+++=little
territory ^nn++++=territory,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
bounded ^vbd+++xvbn+=bounded
and ^cc+phrs+++=and
designated ^vbd+++xvbn+=designated,
, ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
dome ^nn++++=dome
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Paul ^np++++=Paul's,
's, ^nn+++??+=EXTRAWORD
swelling ^nn+nom+++=swelling
above ^in+pl+++=above
the ^ati++++=the
intervening ^jj+atrb++xvbg+=intervening
houses ^nns++++=houses
of ^in++++=of
Paternoster ^np+nom++??+=Paternoster
Row ^nn++++=Row,
, ^zz++++=EXTRAWORD
Amen ^uh++++=Amen
Corner ^npl++++=Corner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ave ^np+++??+=Ave
Maria ^&fw++++=Maria
Lane ^nn++++=Lane,
, ^zz++++=EXTRAWORD
looks ^nns++++=looks
down ^rp++++=down
with ^in++++=with
an ^at++++=an
air ^nn++++=air
of ^in++++=of
motherly ^jj+atrb+++=motherly
protection ^nn+nom+++=protection.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
quarter ^nn++++=quarter
derives ^vbz++++=derives
its ^pp$+it+++=its
appellation ^nn+nom+++=appellation
from ^in++++=from
having ^nn+nn+aux++=having
been ^vprf+ben+vrb+xvbn+=been,
, ^zz++++=EXTRAWORD
in ^in++++=in
ancient ^jj+atrb+++=ancient
times ^nns++++=times,
, ^zz++++=EXTRAWORD
the ^ati++++=the
residence ^nn+nom+++=residence
of ^in++++=of
the ^ati++++=the
Dukes ^np+++??+=Dukes
of ^in++++=of
Brittany ^np++++=Brittany.
. ^zz++++=EXTRAWORD
As ^ql++++=As
London ^np++++=London
increased ^vbd+++xvbn+=increased,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
rank ^nn++++=rank
and ^cc++++=and
fashion ^nn++++=fashion
rolled ^vbd+++xvbn+=rolled
off ^in+pl+++=off
to ^in++++=to
the ^ati++++=the
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=creeping
on ^in++++=on
at ^rb++++=at
their ^pp$+pp3+++=their
heels ^nns++++=heels,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
possession ^nn++++=possession
of ^in++++=of
their ^pp$+pp3+++=their
deserted ^xvbn+++xvbn+=deserted
abodes ^nns+++??+=abodes.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
time ^nn++++=time
Little ^jj+atrb+++=Little
Britain ^np++++=Britain
became ^vbd+++xvbn+=became
the ^ati++++=the
great ^jj+atrb+++=great
mart ^np++++=mart
of ^in++++=of
