Did ^vbd+dod+aux++=Did
you ^pp2+pp2+++=you
ever ^rb++++=ever
wonder ^vb++++=wonder
at ^rb++++=at
the ^ati++++=the
lonely ^jj+atrb+++=lonely
life ^nn++++=life
the ^ati++++=the
bird ^nn++++=bird
in ^in++++=in
a ^at++++=a
cuckoo ^nn++++=cuckoo
clock ^nn++++=clock
has ^md"++pmd"++=has
to ^md+nec+++=to
lead ^vb++++=lead
that ^cs+sub+++=that
it ^pp3+it+++=it
might ^md+pos+++=might
possibly ^rb++++=possibly
love ^nn++++=love
and ^cc++++=and
hate ^nn++++=hate
just ^rb+emph+++=just
as ^in++++=as
easily ^rb++++=easily
as ^in++++=as
a ^at++++=a
real ^jj+atrb+++=real
animal ^nn++++=animal
of ^in++++=of
flesh ^nn++++=flesh
and ^cc++++=and
blood ^nn++++=blood?
? ^zz++++=EXTRAWORD
Philip ^np++++=Philip
Dick ^np++++=Dick
used ^vwbn+++xvbn+=used
that ^dt+dem+++=that
idea ^nn++++=idea
for ^in++++=for
this ^dt+dem+++=this
brief ^jj+atrb+++=brief
fantasy ^nn++++=fantasy
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We're
're ^vb+ber+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that
after ^cs+sub+++=after
reading ^xvbg+++xvbg+=reading
it ^pp3+it+++=it
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
cuckoo ^nn++++=cuckoo
clocks ^nns++++=clocks
more ^rbr++++=more
respect ^nn++++=respect.
. ^zz++++=EXTRAWORD
beyond ^in++++=beyond
the ^ati++++=the
door ^nn++++=door
by ^in+strn+++=by
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Philip ^np++++=Philip
K ^zz++++=K.
. ^zz++++=EXTRAWORD
Dick ^np++++=Dick
That ^tht+rel+++=That
night ^nn++++=night
at ^in++++=at
the ^ati++++=the
dinner ^nn++++=dinner
table ^nn++++=table
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
it ^pp3+it+++=it
out ^rp+pl+++=out
and ^cc++++=and
set ^nn+++xvbn+=set
it ^pp3+it+++=it
down ^rp++++=down
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
Doris ^np++++=Doris
stared ^vbd+++xvbn+=stared
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hand ^nn++++=hand
to ^in++++=to
her ^pp$+pp3+++=her
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
God ^nn++++=God,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
at ^in++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
bright ^jj++++=bright-eyed.
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
open ^jj++++=open
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
