Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes
was ^vbd+bedz+vrb++=was
sick ^jj+pred+++=sick
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
away ^rb+phrv+++=away
from ^in+ppvb+++=from
his ^pp$+pp3+++=his
unhappy ^jj+atrb+++=unhappy
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
sick ^jj++++=sick
not ^xnot++not++=not
only ^rb+down+++=only
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
existence ^nn+nom+++=existence
but ^cc++++=but
of ^in++++=of
everybody ^pn++++=everybody
else ^rb+cnj+++=else's,
's, ^vb+++??+=EXTRAWORD
turned ^vbd+++xvbn+=turned
aside ^rp++++=aside
down ^in++++=down
Gaswork ^np+++??+=Gaswork
Lane ^nn++++=Lane
to ^to++++=to
avoid ^vbi++++=avoid
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
crossing ^vbg+++xvbg+=crossing
the ^ati++++=the
wooden ^jj+atrb+++=wooden
bridge ^npl++++=bridge
that ^tht+rel+subj++=that
goes ^vbz++++=goes
over ^in++++=over
the ^ati++++=the
canal ^nn++++=canal
to ^in++++=to
Starling ^np+nom+++=Starling's
's ^$++++=EXTRAWORD
Cottages ^nns+nom+++=Cottages,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
presently ^rb+tm+++=presently
alone ^jj+pred+++=alone
in ^in++++=in
the ^ati++++=the
damp ^jj+atrb+++=damp
pine ^nn++++=pine
woods ^nns++++=woods
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
and ^cc++++=and
sound ^nn++++=sound
of ^in++++=of
human ^jj+atrb+++=human
habitation ^nn+nom+++=habitation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
stand ^vb++++=stand
it ^pp3+it+++=it
no ^at++++=no
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
repeated ^vbd+++xvbnx+=repeated
aloud ^rb++++=aloud
with ^in++++=with
blasphemies ^nns++++=blasphemies
unusual ^jj++++=unusual
to ^in++++=to
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
stand ^vb++++=stand
it ^pp3+it+++=it
no ^at++++=no
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
pale ^jj++++=pale-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
little ^ap++++=little
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes
and ^cc++++=and
a ^at++++=a
fine ^jj++++=fine
and ^cc++++=and
very ^ql+amp+++=very
black ^np++++=black
moustache ^nn++++=moustache.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
very ^ql+amp+++=very
stiff ^jj+atrb+++=stiff,
, ^zz++++=EXTRAWORD
upright ^jj+atrb+++=upright
collar ^nn++++=collar
slightly ^rb+down+++=slightly
frayed ^jj++++=frayed,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
an ^at++++=an
illusory ^jj+atrb+++=illusory
double ^jj+atrb+++=double
chin ^nn++++=chin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
overcoat ^nn++++=overcoat
( ^zz++++=(albeit
albeit ^cs+sub+++=EXTRAWORD
shabby ^jj++++=shabby)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
trimmed ^vpsv++agls+xvbnx+=trimmed
with ^in++++=with
astrachan ^nn+nom+++=astrachan.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
gloves ^nns++++=gloves
were ^vbd+bed+vrb++=were
a ^at++++=a
bright ^jj++++=bright
brown ^jj++++=brown
with ^in++++=with
black ^jj+atrb+++=black
stripes ^nns++++=stripes
over ^in++++=over
the ^ati++++=the
knuckles ^nns++++=knuckles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
split ^vbd+++xvbn+=split
at ^rb++++=at
the ^ati++++=the
finger ^nn++++=finger
ends ^nns++++=ends.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
once ^rb+tm+++=once
in ^in++++=in
the ^ati++++=the
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
dead ^jj+atrb+++=dead
days ^nns++++=days
beyond ^in++++=beyond
recall ^vb+vprv+++=recall--before
-- ^--+clp+++=EXTRAWORD
before ^cs+sub+++=EXTRAWORD
he ^pp3a+pp3+++=he
married ^vbd+++xvbnx+=married
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is--was
-- ^--+clp+++=EXTRAWORD
was ^vbd+bedz+vrb++=EXTRAWORD
military ^jj+pred+++=military.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
him ^pp3o+pp3+++=him--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
seems ^vbz+seem+++=seems
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
thing ^nn++++=thing
to ^to++++=to
tell ^vbi++++=tell
of ^in++++=of
between ^in++++=between
husband ^nn++++=husband
and ^cc++++=and
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
him ^pp3o+pp3+++=him
" ^zz++++="a
a ^rb++++=EXTRAWORD
little ^rb"++++=little
grub ^nn++++=grub."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
thing ^nn++++=thing
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
The ^ati++++=The
row ^nn++++=row
had ^vbd+hvd+aux++=had
arisen ^vprf+++xvbn+=arisen
about ^in++++=about
that ^dt+dem+++=that
beastly ^jj+atrb+++=beastly
Jennie ^np+++??+=Jennie
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
by ^in++++=by
no ^at++++=no
invitation ^nn+nom+++=invitation
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
in ^in++++=in
every ^at++++=every
blessed ^jj+atrb++xvbn+=blessed
Sunday ^nr++++=Sunday
to ^in++++=to
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
a ^at++++=a
shindy ^nn+++??+=shindy
all ^abn++++=all
the ^ati++++=the
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
big ^jj+atrb+++=big,
, ^zz++++=EXTRAWORD
noisy ^jj+atrb+++=noisy
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
taste ^nn++++=taste
for ^in++++=for
loud ^jj+atrb+++=loud
colours ^nns++++=colours
and ^cc++++=and
a ^at++++=a
strident ^jj+atrb+++=strident
laugh ^nn++++=laugh;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
Sunday ^nr++++=Sunday
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
outdone ^nn+++??+=outdone
all ^abn++++=all
her ^pp3o+pp3+++=her
previous ^jj+atrb+++=previous
intrusions ^nns+++??+=intrusions
by ^in++++=by
bringing ^nn++++=bringing
in ^in++++=in
a ^at++++=a
fellow ^nn++++=fellow
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
a ^at++++=a
chap ^nn++++=chap
as ^in++++=as
showy ^jj++++=showy
as ^ql++++=as
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Coombes ^np++++=Coombes,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
starchy ^nn+++??+=starchy,
, ^zz++++=EXTRAWORD
clean ^jj+atrb+++=clean
collar ^nn++++=collar
and ^cc++++=and
his ^pp$+pp3+++=his
Sunday ^nr++++=Sunday
frock ^nn++++=frock-coat,
- ^zz++++=EXTRAWORD
coat ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
sat ^vprf+++xvbnx+=sat
dumb ^jj++++=dumb
and ^cc+phrs+++=and
wrathful ^jj++++=wrathful
at ^rb++++=at
his ^pp$+pp3+++=his
own ^ap++++=own
table ^nn++++=table,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
his ^pp$+pp3+++=his
wife ^nn++++=wife
and ^cc++++=and
her ^pp$+pp3+++=her
guests ^nns++++=guests
talked ^vbd+++xvbn+=talked
foolishly ^rb++++=foolishly
and ^cc++++=and
undesirably ^jj++++=undesirably,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laughed ^vbd+++xvbn+=laughed
aloud ^rb++++=aloud.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
dinner ^nn++++=dinner
( ^zz++++=(which,
which ^whp+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="as
as ^ql++++=EXTRAWORD
usual ^jj++++=usual,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
late ^jj+pred+++=late),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
must ^md+nec+++=must
Miss ^vb++++=Miss
Jennie ^np++++=Jennie
do ^vb+do+aux++=do
but ^cc++++=but
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
piano ^nn++++=piano
and ^cc++++=and
play ^nn++++=play
banjo ^nn+++??+=banjo
tunes ^nns++++=tunes,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
week ^nn++++=week-day!
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Flesh ^nn++++=Flesh
and ^cc++++=and
blood ^nn++++=blood
could ^md+pos+++=could
not ^xnot++not++=not
endure ^vb++++=endure
such ^abl++++=such
goings ^nns+++??+=goings
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
hear ^vb+vprv+++=hear
next ^ap++++=next
door ^nn++++=door,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
hear ^vb+vprv+++=hear
in ^in++++=in
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
public ^jj+atrb+++=public
announcement ^nn+nom+++=announcement
of ^in++++=of
their ^pp$+pp3+++=their
disrepute ^nn++++=disrepute.
. ^zz++++=EXTRAWORD
