A ^at++++=A
lad ^nn++++=lad
of ^in++++=of
about ^in++++=about
twenty ^cd++++=twenty
stepped ^vbd+++xvbn+=stepped
ashore ^rb+pl+++=ashore
from ^in++++=from
the ^ati++++=the
schooner ^nn+nom+++=schooner
Jane ^np++++=Jane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
joining ^nvbg+++xvbg+=joining
a ^at++++=a
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
avoiding ^vbg+++xvbgx+=avoiding
for ^in++++=for
some ^dti++++=some
ten ^cd++++=ten
minutes ^nns++++=minutes
the ^ati++++=the
ardent ^jj+atrb+++=ardent
gaze ^nn++++=gaze
of ^in++++=of
the ^ati++++=the
night ^nn++++=night-watchman,
- ^zz++++=EXTRAWORD
watchman ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
off ^in+pl+++=off
arm ^nn++++=arm-in-arm.
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
arm ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
watchman ^nn+nom+++=watchman
rolled ^vbd+++xvbn+=rolled
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
and ^cc++++=and
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^jjb++++=head
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
Nearly ^rb+down+++=Nearly
all ^rb++++=all
his ^pp$+pp3+++=his
money ^nn++++=money
on ^in++++=on
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
back ^jjb+pred+++=back,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
little ^jj+atrb+++=little
bit ^nn++++=bit
' ^zz++++='e's
e ^zz++++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
got ^vbd+++xvbn+=got
over ^in+ppvb+++=over
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
spend ^vb++++=spend
on ^in++++=on
' ^zz++++='er.
er ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
three ^cd++++=three
months ^nns++++=months
arter ^jjr++++=arter
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
married ^vpsv++agls+xvbnx+=married
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
wonder ^vb++++=wonder
wot ^wpr++++=wot
' ^zz++++='e
e ^zz++++=EXTRAWORD
ever ^rb++++=ever
saw ^vbd+vprv++xvbn+=saw
in ^in++++=in
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
man ^nn++++=man
marries ^vbz++++=marries
he ^pp3a+pp3+++=he
wishes ^nns++++=wishes
he ^pp3a+pp3+++=he
' ^zz++++='adn't,
ad ^&fw++++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
marry ^vb++++=marry
he ^pp3a+pp3+++=he
wishes ^nns++++=wishes
he ^pp3a+pp3+++=he
' ^zz++++='ad.
ad ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
at ^rb++++=at
them ^pp3o+pp3+++=them
two ^cd++++=two
young ^jj+atrb+++=young
fools ^nns++++=fools
reminds ^vbz++++=reminds
me ^pp1o+pp1+++=me
of ^in++++=of
a ^at++++=a
nevy ^nn+++??+=nevy
of ^in++++=of
Sam ^np++++=Sam
Small ^jj+atrb+++=Small's;
's; ^nn+++??+=EXTRAWORD
a ^at++++=a
man ^nn++++=man
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
spoke ^vprf+++xvbnx+=spoke
to ^in++++=to
you ^pp2+pp2+++=you
of ^in++++=of
afore ^in+strn+++=afore.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
rule ^nn++++=rule
Sam ^nn++++=Sam
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
talk ^nn++++=talk
much ^ap++++=much
about ^in++++=about
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
relations ^nns+nom+++=relations,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
sister ^nn++++=sister
of ^in++++=of
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
wot ^wpr++++=wot
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
fond ^jj+pred+++=fond
of ^in++++=of
because ^cs+cos+++=because
' ^zz++++='e
e ^zz++++=EXTRAWORD
' ^zz++++='adn't
ad ^&fw++++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
seen ^vbd+vprv++xvbn+=seen
' ^zz++++='er
er ^&fw++++=EXTRAWORD
for ^in++++=for
twenty ^cd++++=twenty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
got ^vbd+++xvbn+=got
a ^at++++=a
boy ^nn++++=boy
wot ^wpr++++=wot
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
just ^rb+emph+++=just
got ^vbd+++xvbn+=got
a ^at++++=a
job ^nn++++=job
in ^in++++=in
London ^np++++=London,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
' ^zz++++='e
e ^zz++++=EXTRAWORD
wrote ^vbd+vprv++xvbn+=wrote
and ^cc+phrs+++=and
told ^vbd+vpub++xvbn+=told
' ^zz++++='er
er ^&fw++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
keeping ^vbg+++xvbgx+=keeping
company ^nn++++=company
with ^in++++=with
the ^ati++++=the
handsomest ^jjt++++=handsomest
and ^cc+phrs+++=and
loveliest ^jjt++++=loveliest
and ^cc+phrs+++=and
best ^jjt++++=best
' ^zz++++='arted
arted ^jj+atrb++xvbn+=EXTRAWORD
gal ^nn++++=gal
in ^in++++=in
the ^ati++++=the
whole ^jj+atrb+++=whole
wide ^jj+atrb+++=wide
world ^nn++++=world,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wrote ^vbd+vprv++xvbnx+=wrote
to ^in++++=to
Sam ^np++++=Sam
about ^in++++=about
it ^pp3+it+++=it
and ^cc++++=and
asked ^vbd+vsua++xvbn+=asked
' ^zz++++='im
