Not ^xnot++not++=Not
many ^ap++++=many
years ^nns++++=years
ago ^rb++++=ago
there ^ex+pex+++=there
lived ^vprf+++xvbn+=lived
on ^in++++=on
a ^at++++=a
stony ^jj++++=stony,
, ^zz++++=EXTRAWORD
barren ^jj+atrb+++=barren
New ^jj+atrb+++=New
England ^np++++=England
farm ^nn++++=farm
a ^at++++=a
man ^nn++++=man
and ^cc++++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
sober ^jj+pred+++=sober,
, ^zz++++=EXTRAWORD
honest ^jj+atrb+++=honest
people ^nns++++=people,
, ^zz++++=EXTRAWORD
working ^jj+++xvbg+=working
hard ^jj++++=hard
from ^in++++=from
early ^jj+atrb+++=early
morning ^nn++++=morning
until ^cs+sub+++=until
dark ^jj++++=dark
to ^to++++=to
enable ^vbi++++=enable
them ^pp3o+pp3+++=them
to ^to++++=to
secure ^vbi++++=secure
a ^at++++=a
scanty ^jj++++=scanty
living ^jj+++xvbg+=living
from ^in++++=from
their ^pp$+pp3+++=their
poor ^jj+atrb+++=poor
land ^nn++++=land.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
house ^nn++++=house,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj++++=small,
, ^zz++++=EXTRAWORD
one ^cd1++++=one-storied
- ^zz++++=EXTRAWORD
storied ^jj+atrb++xvbn+=EXTRAWORD
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
upon ^in++++=upon
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
a ^at++++=a
steep ^jj+atrb+++=steep
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stones ^nns++++=stones
lay ^vbd+++xvbn+=lay
so ^ql++++=so
thickly ^rb++++=thickly
about ^in++++=about
it ^pp3+it+++=it
that ^cs+sub+++=that
scarce ^jj++++=scarce
anything ^pn++++=anything
green ^jj++++=green
could ^md+pos+++=could
grow ^vb++++=grow
from ^in++++=from
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
a ^at++++=a
mile ^nn++++=mile
from ^in++++=from
the ^ati++++=the
house ^nn++++=house
by ^in++++=by
the ^ati++++=the
winding ^jj+atrb++xvbg+=winding
path ^nn++++=path,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
brook ^nn++++=brook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
woman ^nn++++=woman
was ^vbd+bedz+aux++=was
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
go ^vbi++++=go
there ^rn+pl+++=there
for ^in++++=for
water ^nn++++=water
and ^cc++++=and
to ^to++++=to
carry ^vbi++++=carry
it ^pp3+it+++=it
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill
to ^in++++=to
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
tedious ^jj+atrb+++=tedious
task ^nn++++=task,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
hard ^jj+atrb+++=hard
work ^nn++++=work
that ^tht+rel+subj++=that
fell ^vbd+++xvbn+=fell
to ^in++++=to
her ^pp$+pp3+++=her
share ^vb++++=share
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
her ^pp$+pp3+++=her
gaunt ^np++++=gaunt
and ^cc++++=and
bent ^nn+++xvbn+=bent
and ^cc++++=and
lean ^jj++++=lean.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
she ^pp3a+pp3+++=she
never ^rb++++=never
complained ^vbd+vpub++xvbn+=complained,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
meekly ^rb++++=meekly
and ^cc+phrs+++=and
faithfully ^rb++++=faithfully
performed ^vbd+++xvbn+=performed
her ^pp$+pp3+++=her
duties ^nns++++=duties,
, ^zz++++=EXTRAWORD
doing ^vbg+++xvbg+=doing
the ^ati++++=the
housework ^nn+++??+=housework,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
helping ^jj+++xvbg+=helping
her ^pp3o+pp3+++=her
husband ^nn++++=husband
hoe ^vb++++=hoe
the ^ati++++=the
scanty ^jj+atrb+++=scanty
crop ^nn++++=crop
that ^tht+rel+subj++=that
grew ^vbd+++xvbn+=grew
upon ^in++++=upon
the ^ati++++=the
best ^jjt+atrb+++=best
part ^nn++++=part
of ^in++++=of
their ^pp$+pp3+++=their
land ^nn++++=land.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
down ^rp++++=down
the ^ati++++=the
path ^nn++++=path
to ^in++++=to
the ^ati++++=the
brook ^nn++++=brook,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
big ^jj+atrb+++=big
shoes ^nns++++=shoes
scattering ^vwbg+++xvbg+=scattering
the ^ati++++=the
pebbles ^nns++++=pebbles
right ^nn++++=right
and ^cc++++=and
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
noticed ^vbd+vprv++xvbnx+=noticed
a ^at++++=a
large ^jj+atrb+++=large
beetle ^nn++++=beetle
lying ^vwbg+++xvbg+=lying
upon ^in++++=upon
its ^pp$+it+++=its
back ^jjb++++=back
and ^cc+phrs+++=and
struggling ^jj+++xvbg+=struggling
hard ^jj++++=hard
with ^in++++=with
its ^pp$+it+++=its
little ^jj+atrb+++=little
legs ^nns++++=legs
to ^to++++=to
turn ^vbi++++=turn
over ^rb+cnj+++=over,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
its ^pp$+it+++=its
feet ^nns++++=feet
might ^md+pos+++=might
again ^rb+tm+splt++=again
touch ^vb++++=touch
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
it ^pp3+it+++=it
could ^md+pos+++=could
not ^xnot++not++=not
accomplish ^vb++++=accomplish;
; ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
a ^at++++=a
kind ^nn++++=kind
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
reached ^j+++xvbn+=reached
down ^rp++++=down
and ^cc+phrs+++=and
gently ^rb++++=gently
turned ^vbd+++xvbn+=turned
the ^ati++++=the
beetle ^nn++++=beetle
with ^in++++=with
her ^pp$+pp3+++=her
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
At ^rb++++=At
once ^rb"+tm+++=once
it ^pp3+it+++=it
scampered ^vbd+++xvbn+=scampered
from ^in++++=from
the ^ati++++=the
path ^nn++++=path
and ^cc++++=and
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
brook ^nn++++=brook.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
for ^in+ppvb+++=for
water ^nn++++=water,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
surprised ^jj++agls+xvbnx+=surprised
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
beetle ^nn++++=beetle
again ^rb+tm+++=again
lying ^vbg+++xvbg+=lying
upon ^in++++=upon
its ^pp$+it+++=its
back ^jjb++++=back
and ^cc+phrs+++=and
struggling ^jj+++xvbg+=struggling
helplessly ^vb++++=helplessly
