A ^at++++=A
Very ^ql+amp+++=VERY
dark ^jj+atrb+++=dark
night ^nn++++=night
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bitter ^jj++++=bitter
cold ^jj++++=cold;
; ^zz++++=EXTRAWORD
the ^ati++++=the
east ^np+pl+++=east
wind ^nn++++=wind
blowing ^vwbg+++xvbg+=blowing
bleak ^jj++++=bleak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bringing ^jj+++xvbg+=bringing
with ^in++++=with
it ^pp3+it+++=it
stinging ^jj+atrb++xvbg+=stinging
particles ^nns++++=particles
from ^in++++=from
marsh ^nn++++=marsh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moor ^npl++++=moor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fen ^npl++++=fen
from ^in++++=from
the ^ati++++=the
Great ^jj+atrb+++=Great
Desert ^nn++++=Desert
and ^cc++++=and
Old ^jj+atrb+++=Old
Egypt ^np++++=Egypt,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
component ^nn++++=component
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
sharp ^jj++++=sharp-edged
- ^zz++++=EXTRAWORD
edged ^vbd+++xvbn+=EXTRAWORD
vapour ^nn++++=vapour
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
flying ^vbg+++xvbg+=flying
up ^rp++++=up
the ^ati++++=the
Thames ^np++++=Thames
at ^in++++=at
London ^np++++=London
might ^md+pos+++=might
be ^vb+be+vrb++=be
mummy ^npt++++=mummy-dust,
- ^zz++++=EXTRAWORD
dust ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dry ^jj+atrb+++=dry
atoms ^nns++++=atoms
from ^in++++=from
the ^ati++++=the
Temple ^np++++=Temple
at ^rb++++=at
Jerusalem ^np++++=Jerusalem,
, ^zz++++=EXTRAWORD
camels ^nns+++??+=camels'
' ^zz++++=EXTRAWORD
foot ^nn++++=foot-prints,
- ^zz++++=EXTRAWORD
prints ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
crocodiles ^nns++++=crocodiles'
' ^zz++++=EXTRAWORD
hatching ^nn++++=hatching-places,
- ^zz++++=EXTRAWORD
places ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
loosened ^jj+atrb++xvbn+=loosened
grains ^nns++++=grains
of ^in++++=of
expression ^nn++++=expression
from ^in++++=from
the ^ati++++=the
visages ^nns+nom+++=visages
of ^in++++=of
blunt ^jj++++=blunt-nosed
- ^zz++++=EXTRAWORD
nosed ^vbd+++xvbn+=EXTRAWORD
sphynxes ^nns+++??+=sphynxes,
, ^zz++++=EXTRAWORD
waifs ^nns+++??+=waifs
and ^cc++++=and
strays ^nns++++=strays
from ^in++++=from
caravans ^nns+nom+++=caravans
of ^in++++=of
turbaned ^jj+atrb++xvbn+=turbaned
merchants ^nns+nom+++=merchants,
, ^zz++++=EXTRAWORD
vegetation ^nn+nom+++=vegetation
from ^in++++=from
jungles ^nns+++??+=jungles,
, ^zz++++=EXTRAWORD
frozen ^j+++xvbn+=frozen
snow ^np++++=snow
from ^in++++=from
the ^ati++++=the
Himalayas ^np+++??+=Himalayas.
. ^zz++++=EXTRAWORD
O ^zz++++=O!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
very ^ap+amp+++=very,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
dark ^jj++++=dark
upon ^in++++=upon
the ^ati++++=the
Thames ^np++++=Thames,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
