1 ^zz++++=1
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
a ^at++++=a
cent ^nnu"++++=cent,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
announced ^vbn+vpub++xvbn+=announced
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle,
, ^zz++++=EXTRAWORD
blotting ^nn++++=blotting
up ^rp++++=up
the ^ati++++=the
nucleus ^nn++++=nucleus
of ^in++++=of
a ^at++++=a
tear ^nn++++=tear
on ^in++++=on
her ^pp$+pp3+++=her
cheek ^nn++++=cheek
with ^in++++=with
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
her ^pp$+pp3+++=her
gloved ^jj+atrb+++=gloved
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
" ^zz++++="'Not
' ^zz++++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
one ^cd1++++=one
red ^jj+atrb+++=red
cent ^nnu"++++=cent,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
want ^vb++++=want
a ^at++++=a
red ^jj+atrb+++=red
cent ^nnu"++++=cent
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
honey ^nn++++=honey?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle,
, ^zz++++=EXTRAWORD
absently ^rb+cnj+++=absently,
, ^zz++++=EXTRAWORD
from ^in++++=from
out ^rp+pl+++=out
the ^ati++++=the
depths ^nns++++=depths
of ^in++++=of
the ^ati++++=the
sporting ^nn++++=sporting
page ^nn++++=page.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
a ^at++++=a
red ^jj+atrb+++=red
cent ^nnu"++++=cent?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Old
old ^jj+atrb+++=EXTRAWORD
Felix ^np++++=Felix
Winterbottom ^np+++??+=Winterbottom,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
put ^vbd+++xvbn+=put
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
say ^vbi+vpub+tht0++=say
you ^pp2+pp2+++=you
tackled ^vbd+++xvbn+=tackled
old ^jj+atrb+++=old
frosty ^nn+++??+=frosty-face
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
Felix ^np++++=Felix
himself ^ppl+pp3+++=himself?"
