' ^zz++++='Way
way ^nn++++=EXTRAWORD
over ^in++++=over
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village
a ^at++++=a
bell ^nn++++=bell
was ^vbd+bedz+vrb++=was
tolling ^nn+nom+++=tolling.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
people ^nns++++=people
stood ^vbd+++xvbn+=stood
listening ^jj+++xvbg+=listening
in ^in++++=in
the ^ati++++=the
Lambert ^np++++=Lambert
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
yard ^nn++++=yard
was ^vbd+bedz+vrb++=was
broad ^jj+pred+++=broad
and ^cc++++=and
green ^nn++++=green,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
that ^cs+sub+++=that
stretched ^vprf+++xvbn+=stretched
level ^nn++++=level
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
them ^pp3o+pp3+++=them
floated ^vbd+++xvbn+=floated
and ^cc+phrs+++=and
sung ^vbd+++xvbn+=sung
the ^ati++++=the
bell ^nn++++=bell-tones.
- ^zz++++=EXTRAWORD
tones ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
almost ^rb+hdg+++=almost
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
might ^md+pos+++=might
become ^vb++++=become
visible ^jj++++=visible,
, ^zz++++=EXTRAWORD
like ^in++++=like
birds ^nns++++=birds.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
heavy ^jj+atrb+++=heavy
dew ^nn++++=dew.
. ^zz++++=EXTRAWORD
The ^ati++++=The
short ^jj+atrb+++=short,
, ^zz++++=EXTRAWORD
crisp ^jj+atrb+++=crisp
grass ^nn++++=grass
in ^in++++=in
the ^ati++++=the
yard ^nn++++=yard
and ^cc++++=and
fields ^nns++++=fields
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
dewy ^nn+++??+=dewy
cobwebs ^nns++++=cobwebs,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
looked ^vbd+++xvbn+=looked,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
sunlight ^nn++++=sunlight,
, ^zz++++=EXTRAWORD
like ^in++++=like
little ^ap++++=little
wheels ^nns++++=wheels
of ^in++++=of
silver ^nn++++=silver.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
glittered ^vbd+++xvbnx+=glittered
and ^cc+phrs+++=and
shimmered ^vbd+++xvbn+=shimmered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bell ^nn++++=bell
tolled ^vbd+++xvbn+=tolled.
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
people ^nns++++=people
stood ^vbd+++xvbn+=stood
with ^in++++=with
upturned ^jj+atrb+++=upturned
faces ^nns++++=faces.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
count ^vbi++++=count
the ^ati++++=the
strokes ^nns+++??+=strokes.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
young ^jj+atrb+++=young
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
stood ^vbd+++xvbn+=stood
with ^in++++=with
his ^pp$+pp3+++=his
spreading ^jj+atrb++xvbg+=spreading
feet ^nns++++=feet
planted ^vwbn+++xvbn+=planted
squarely ^rb+cnj+++=squarely,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
child ^nn++++=child's;
's; ^nn+++??+=EXTRAWORD
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
held ^vbd+vprv++xvbnx+=held
one ^cd1++++=one
hand ^nn++++=hand
curved ^jj++++=curved
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
ear ^nn++++=ear;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
all ^abn++++=all
simple ^jj+atrb+++=simple
curiosity ^nn+nom+++=curiosity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
held ^vbd+vprv++xvbn+=held
her ^pp$+pp3+++=her
gingham ^nn+++??+=gingham
skirts ^nns++++=skirts
up ^rp++++=up
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
wet ^jj+atrb+++=wet
grass ^nn++++=grass
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
one ^cd1++++=one
ear ^nn++++=ear
toward ^in++++=toward
the ^ati++++=the
sound ^nn++++=sound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kept ^vbd+++xvbn+=kept
an ^at++++=an
eye ^nn++++=eye
on ^in++++=on
the ^ati++++=the
young ^jj+atrb+++=young
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
half ^abn++++=half
heard ^vbd+vprv++xvbn+=heard
in ^cs+sub+++=in
that ^cs"++++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
innocent ^jj++++=innocent,
, ^zz++++=EXTRAWORD
wide ^jj++++=wide-open
- ^zz++++=EXTRAWORD
open ^jj+atrb+++=EXTRAWORD
eyes ^nns++++=eyes
and ^cc++++=and
small ^jj++++=small,
, ^zz++++=EXTRAWORD
round ^in++++=round
face ^nn++++=face,
, ^zz++++=EXTRAWORD
listened ^j+++xvbn+=listened
gravely ^np++++=gravely.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
sober ^jj++++=sober
under ^in++++=under-lip
- ^zz++++=EXTRAWORD
lip ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
drawn ^vpsv++agls+xvbnx+=drawn
down ^rp++++=down
at ^rb++++=at
the ^ati++++=the
corners ^nns+nom+++=corners.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
last ^rb++++=last
note ^nn++++=note
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
certain ^jj+pred+++=certain
that ^tht+jcmp+++=that
no ^at++++=no
other ^ap++++=other
would ^md+prd+++=would
come ^vb++++=come,
, ^zz++++=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl
spoke ^vbd+++xvbn+=spoke
first ^rb++++=first.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
counted ^vbd+++xvbnx+=counted
fifty ^cd++++=fifty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
