All ^abn++++=All
of ^in++++=of
those ^dt+dem+++=those
ladies ^nns++++=ladies
who ^whp+rel+subj++=who
end ^vb++++=end
their ^pp$+pp3+++=their
conversation ^nn+nom+++=conversation
with ^in++++=with
you ^pp2+pp2+++=you
by ^in++++=by
wearily ^rb++++=wearily
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
go ^vb++++=go
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
basement ^nn+nom+++=basement
to ^to++++=to
find ^vbi+vprv+++=find
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
seek ^vb++++=seek,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
receive ^vb++++=receive
a ^at++++=a
meager ^jjr++++=meager
seven ^cd++++=seven
dollars ^nns++++=dollars
a ^at++++=a
week ^nn++++=week
as ^in++++=as
a ^at++++=a
reward ^nn++++=reward
for ^in++++=for
their ^pp$+pp3+++=their
efforts ^nns++++=efforts.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
are ^vb+ber+vrb++=are
they ^pp3a+pp3+++=they
all ^abn++++=all
obliged ^jj+++xvbn+=obliged
to ^to+jcmp+++=to
climb ^vbi++++=climb
five ^cd++++=five
weary ^jj+atrb+++=weary
flights ^nns++++=flights
of ^in++++=of
stairs ^nns++++=stairs
to ^to++++=to
reach ^vbi++++=reach
the ^ati++++=the
dismal ^jj++++=dismal
little ^ap++++=little
court ^nn++++=court
room ^nn++++=room
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
their ^pp$+pp3+++=their
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
several ^ap++++=several
who ^whp+rel+subj++=who
need ^vb++++=need
not ^xnot++not++=not
walk ^nn++++=walk
thirty ^cd++++=thirty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
blocks ^nns++++=blocks
to ^to++++=to
save ^vbi++++=save
carfare ^nn+++??+=carfare,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
to ^to++++=to
spend ^vbi++++=spend
wretched ^jj+atrb+++=wretched
evenings ^nns++++=evenings
washing ^vwbg+++xvbg+=washing
out ^rp+pl+++=out
handkerchiefs ^nns+++??+=handkerchiefs
and ^cc++++=and
stockings ^nns++++=stockings
in ^in++++=in
the ^ati++++=the
cracked ^jj+++xvbn+=cracked
little ^ap++++=little
washbowl ^nn+++??+=washbowl,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
one ^cd1++++=one
ear ^nn++++=ear
is ^vbz+bez+aux++=is
cocked ^vpsv++agls+xvbnx+=cocked
for ^in++++=for
the ^ati++++=the
stealthy ^jj+atrb+++=stealthy
tread ^nn++++=tread
of ^in++++=of
the ^ati++++=the
Lady ^nn++++=Lady
Who ^whp+rel+obj++=Who
Objects ^nns++++=Objects.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earnest ^jj++++=earnest
compiler ^jjr++++=compiler
of ^in++++=of
working ^xvbg+++xvbg+=working
girls ^nns++++=girls'
' ^zz++++=EXTRAWORD
budgets ^nns++++=budgets
would ^md+prd+++=would
pass ^vb++++=pass
Effie ^np+++??+=Effie
Bauer ^np+++??+=Bauer
hurriedly ^rb++++=hurriedly
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
Effie ^np++++=Effie's
's ^$++++=EXTRAWORD
budget ^nn++++=budget
bulged ^vbd+++xvbn+=bulged
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
with ^in++++=with
such ^abl++++=such
pathetic ^jj+atrb+++=pathetic
items ^nns++++=items
as ^in++++=as
hand ^nn++++=hand-embroidered
- ^zz++++=EXTRAWORD
embroidered ^xvbn+++xvbn+=EXTRAWORD
blouses ^nns++++=blouses,
, ^zz++++=EXTRAWORD
thick ^jj+atrb+++=thick
club ^nn++++=club
steaks ^nns++++=steaks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
parquet ^nn+++??+=parquet
tickets ^nns++++=tickets
for ^in++++=for
Maude ^np+++??+=Maude
Adams ^np++++=Adams.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
you ^pp2+pp2+++=you
may ^md+pos+++=may
visualize ^vb++++=visualize
her ^pp$+pp3+++=her
at ^rb++++=at
once ^rb"+tm+++=once
I ^pp1a+pp1+++=I
may ^md+pos+++=may
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
Effie ^np+++??+=Effie
looked ^vbd+++xvbn+=looked
twenty-four ^cd++++=twenty-four--from
-- ^--+clp+++=EXTRAWORD
from ^in++++=EXTRAWORD
the ^ati++++=the
rear ^nn++++=rear
( ^zz++++=(all
all ^abn++++=EXTRAWORD
women ^nns++++=women
do ^vb+do+vrb++=do
