Moistening ^np+++??+=Moistening
the ^ati++++=the
tip ^nn++++=tip
of ^in++++=of
his ^pp$+pp3+++=his
immaculate ^jj+atrb+++=immaculate
handkerchief ^nn++++=handkerchief,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Alphonse ^np++++=Alphonse
Marie ^np++++=Marie
Louis ^np++++=Louis
Camille ^np+++??+=Camille
Pettipon ^np+++??+=Pettipon
deftly ^rb++++=deftly
and ^cc+phrs+++=and
daintily ^rb++++=daintily
rubbed ^vbd+++xvbn+=rubbed
an ^at++++=an
almost ^rb+hdg+++=almost
imperceptible ^jj+atrb+++=imperceptible
speck ^nn++++=speck
of ^in++++=of
dust ^nn++++=dust
from ^in++++=from
the ^ati++++=the
mirror ^nn++++=mirror
in ^in++++=in
Stateroom ^np+++??+=Stateroom
C ^zz++++=C
341 ^cd++++=341
of ^in++++=of
the ^ati++++=the
liner ^nn++++=liner
Voltaire ^np+++??+=Voltaire
of ^in++++=of
the ^ati++++=the
Paris ^np++++=Paris-New
- ^zz++++=EXTRAWORD
new ^jj+atrb+++=EXTRAWORD
York ^np++++=York
Steamship ^np+nom++??+=Steamship
Company ^nn++++=Company,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^rb++++=a
little ^rb"++++=little
sigh ^nn++++=sigh
of ^in++++=of
happiness ^nns+nom+++=happiness
fluttered ^vbd+++xvbn+=fluttered
his ^pp$+pp3+++=his
double ^jj+atrb+++=double
chins ^nns+++??+=chins.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
set ^vbd+++xvbnx+=set
about ^in+ppvb+++=about
his ^pp$+pp3+++=his
task ^nn++++=task
of ^in++++=of
making ^xvbg+++xvbg+=making
up ^rp++++=up
the ^ati++++=the
berths ^nns++++=berths
in ^in++++=in
the ^ati++++=the
stateroom ^nn+++??+=stateroom
with ^in++++=with
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
a ^at++++=a
high ^jj+atrb+++=high
priest ^nn++++=priest
performing ^vwbg+++xvbg+=performing
a ^at++++=a
sacerdotal ^jj++++=sacerdotal
ritual ^jjb++++=ritual.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
big ^jj+atrb+++=big
pink ^jj+atrb+++=pink
hands ^nns++++=hands
gently ^rb++++=gently
smoothed ^vbd+++xvbn+=smoothed
the ^ati++++=the
crinkles ^nns+++??+=crinkles
from ^in++++=from
the ^ati++++=the
linen ^nn++++=linen
pillow ^nn++++=pillow
cases ^nns++++=cases;
; ^zz++++=EXTRAWORD
the ^ati++++=the
woolen ^jj+atrb++xvbn+=woolen
blankets ^nns++++=blankets
he ^pp3a+pp3+++=he
arranged ^vbd+vsua++xvbnx+=arranged
in ^in++++=in
neat ^jj+atrb+++=neat,
, ^zz++++=EXTRAWORD
folded ^jj+atrb++xvbn+=folded
triangles ^nns+++??+=triangles
and ^cc++++=and
stood ^vpsv++agls+xvbn+=stood
off ^in+pl+++=off
to ^in++++=to
survey ^nn++++=survey
the ^ati++++=the
effect ^nn++++=effect
as ^in++++=as
