Sang ^vbd+++xvbn+=Sang
the ^ati++++=the
Poet ^nn++++=Poet
Tching ^np+++??+=Tching-Kou:
- ^zz++++=EXTRAWORD
kou ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
" ^zz++++="Surely
surely ^rb++++=EXTRAWORD
the ^ati++++=the
Peach ^nn++++=Peach-Flowers
- ^zz++++=EXTRAWORD
flowers ^nns+nom+++=EXTRAWORD
blossom ^vb++++=blossom
over ^in++++=over
the ^ati++++=the
tomb ^nn++++=tomb
of ^in++++=of
Si ^&fw++++=Si
- ^zz++++=-Thao."
thao ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
ask ^vb++++=ask
me ^pp1o+pp1+++=me
who ^whp+who+++=who
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beautiful ^jj++++=beautiful
Si ^&fw++++=Si
- ^zz++++=-Thao?
thao ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
thousand ^cd++++=thousand
years ^nns++++=years
and ^cc++++=and
more ^rbr++++=more
the ^ati++++=the
trees ^nns++++=trees
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
whispering ^vbg+++xvbgx+=whispering
above ^jjb++++=above
her ^pp$+pp3+++=her
bed ^nn++++=bed
of ^in++++=of
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
syllables ^nns++++=syllables
of ^in++++=of
her ^pp$+pp3+++=her
name ^nn++++=name
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
listener ^nn+nom+++=listener
with ^in++++=with
the ^ati++++=the
lisping ^jj+++xvbg+=lisping
of ^in++++=of
the ^ati++++=the
leaves ^nns++++=leaves;
; ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
quivering ^jj+++xvbg+=quivering
of ^in++++=of
many ^ap++++=many-fingered
- ^zz++++=EXTRAWORD
fingered ^vbd+++xvbn+=EXTRAWORD
boughs ^nns++++=boughs;
; ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
fluttering ^nn++++=fluttering
of ^in++++=of
lights ^nns++++=lights
and ^cc++++=and
shadows ^nps++++=shadows;
; ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
sweet ^jj++++=sweet
as ^ql++++=as
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
of ^in++++=of
numberless ^jj+atrb+++=numberless
savage ^jj+atrb+++=savage
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
Si ^&fw++++=Si
- ^zz++++=-Thao.
thao ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
saving ^nvbg+++xvbg+=saving
the ^ati++++=the
whispering ^jj+++xvbg+=whispering
of ^in++++=of
her ^pp$+pp3+++=her
name ^nn++++=name,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
the ^ati++++=the
trees ^nns++++=trees
say ^vb+vpub+++=say
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
alone ^rb++++=alone
remember ^nn+nom+++=remember
the ^ati++++=the
years ^nns++++=years
of ^in++++=of
Si ^&fw++++=Si
- ^zz++++=-Thao.
thao ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
about ^in++++=about
her ^pp$+pp3+++=her
you ^pp2+pp2+++=you
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
learn ^vb+vprv+++=learn
from ^in++++=from
any ^dti++++=any
of ^in++++=of
those ^dt+dem+++=those
Kiang ^np+++??+=Kiang-kou-jin,
- ^zz++++=EXTRAWORD
kou ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
jin ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
famous ^jj+atrb+++=famous
Chinese ^nn+nom+++=Chinese
story ^nn++++=story-tellers,
- ^zz++++=EXTRAWORD
tellers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+who+++=who
nightly ^rb++++=nightly
narrate ^nn+nom+++=narrate
to ^to++++=to
listening ^vbg+++xvbg+=listening
crowds ^nns++++=crowds,
, ^zz++++=EXTRAWORD
in ^in++++=in
consideration ^nn+nom+++=consideration
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
