General ^jj+atrb+++=General
Rufus ^np++++=Rufus
Putnam ^np+++??+=Putnam,
, ^zz++++=EXTRAWORD
a ^at++++=a
brave ^jj+atrb+++=brave
officer ^nn++++=officer
of ^in++++=of
the ^ati++++=the
Revolutionary ^jj+atrb+++=Revolutionary
war ^nn++++=war,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
call ^vbi++++=call
the ^ati++++=the
attention ^nn+nom+++=attention
of ^in++++=of
the ^ati++++=the
Eastern ^jj+atrb+++=Eastern
States ^nns++++=States
to ^in++++=to
the ^ati++++=the
rich ^jj+atrb+++=rich
territory ^nn++++=territory
opened ^vbd+++xvbn+=opened
to ^in++++=to
settlement ^nn+nom+++=settlement
west ^np+pl+++=west
of ^in++++=of
the ^ati++++=the
Ohio ^np+++??+=Ohio
by ^in++++=by
the ^ati++++=the
peace ^nn++++=peace
with ^in++++=with
Great ^jj+atrb+++=Great
Britain ^np++++=Britain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
earliest ^jjt+atrb+++=earliest
band ^nn++++=band
of ^in++++=of
pioneers ^nns+nom+++=pioneers
which ^whp+rel+obj++=which
landed ^jj+++xvbn+=landed
on ^in++++=on
the ^ati++++=the
shores ^nns++++=shores
of ^in++++=of
the ^ati++++=the
Muskingum ^np+++??+=Muskingum.
. ^zz++++=EXTRAWORD
In ^in++++=In
1787 ^cd+date+++=1787
Rev ^np++++=Rev.
. ^zz++++=EXTRAWORD
Manasseh ^np+++??+=Manasseh
Cutler ^np+++??+=Cutler
of ^in++++=of
Ipswich ^np++++=Ipswich,
, ^zz++++=EXTRAWORD
Massachusetts ^np+++??+=Massachusetts,
, ^zz++++=EXTRAWORD
published ^j+++xvbn+=published
a ^at++++=a
description ^nn+nom+++=description
of ^in++++=of
the ^ati++++=the
Ohio ^np+++??+=Ohio
country ^nn++++=country,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
left ^jj+++xvbn+=left
little ^ap++++=little
to ^in++++=to
the ^ati++++=the
liveliest ^jjt+atrb+++=liveliest
imagination ^nn+nom+++=imagination.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
anything ^pn++++=anything
was ^vbd+bedz+aux++=was
naturally ^rb++splt++=naturally
lacking ^vbg+++xvbgx+=lacking
for ^in++++=for
the ^ati++++=the
