When ^wrb+who+++=When
friends ^nns++++=friends
observed ^vbd+vprv++xvbn+=observed
his ^pp$+pp3+++=his
occasional ^jj+atrb+++=occasional
limp ^nn++++=limp,
, ^zz++++=EXTRAWORD
Alderman ^nn+nom+++=Alderman
Keats ^np+++??+=Keats
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
air ^nn++++=air
of ^in++++=of
false ^jj+atrb+++=false
casualness ^nns+nom+++=casualness,
, ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
the ^ati++++=the
gout ^nn+++??+=gout."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
after ^in++++=after
a ^at++++=a
year ^nn++++=year
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
the ^ati++++=the
limp ^nn++++=limp
having ^xvbg+++xvbg+=having
increased ^vprf+++xvbn+=increased
in ^in++++=in
frequency ^nn++++=frequency
and ^cc++++=and
become ^vb++++=become
almost ^rb+hdg+++=almost
lameness ^nns+nom+++=lameness,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
gout ^nn+++??+=gout!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
also ^rb++++=also
acquired ^vbd+++xvbn+=acquired
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
word ^nn++++=word
" ^zz++++="twinge."
twinge ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
scowl ^nn++++=scowl
of ^in++++=of
torture ^nn++++=torture
would ^md+prd+++=would
pass ^vb++++=pass
across ^in+pl+++=across
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
murmur ^vb+vpub+++=murmur,
, ^zz++++=EXTRAWORD
" ^zz++++="Twinge."
twinge ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
proud ^jj+pred+++=proud
of ^in++++=of
having ^xvbg+++xvbg+=having
the ^ati++++=the
gout ^nn+++??+=gout,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
rich ^jj+atrb+++=rich
man ^nn++++=man's
's ^$++++=EXTRAWORD
disease ^nn++++=disease."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alderman ^nn+nom+++=Alderman
Keats ^np+++??+=Keats
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
life ^nn++++=life
in ^in++++=in
Hanbridge ^np+++??+=Hanbridge
as ^in++++=as
a ^at++++=a
grocer ^nn++++=grocer's
's ^$++++=EXTRAWORD
assistant ^nn+nom+++=assistant,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
simple ^jj+atrb+++=simple
person ^nn++++=person
indeed ^rb++++=indeed.
. ^zz++++=EXTRAWORD
At ^rb++++=At
forty ^cd++++=forty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
wealthy ^jj+pred+++=wealthy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
alderman ^nn+nom+++=alderman.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
something ^pn++++=something
to ^to++++=to
be ^vbi++vrb++=be
alderman ^nn+nom+++=alderman
of ^in++++=of
a ^at++++=a
town ^nn++++=town
of ^in++++=of
sixty ^cd++++=sixty
thousand ^cd++++=thousand
inhabitants ^nns+nom+++=inhabitants.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
forty ^cd++++=forty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
first ^rb++splt++=first
consulted ^vprf+++xvbnx+=consulted
his ^pp$+pp3+++=his
doctor ^nn++++=doctor
as ^in++++=as
to ^in++++=to
certain ^jj+atrb+++=certain
capricious ^jj+atrb+++=capricious
pains ^nns++++=pains,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
doctor ^nn++++=doctor
had ^vbd+hvd+aux++=had
diagnosed ^vprf+++xvbnx+=diagnosed
as ^ql++++=as
gout ^vb+++??+=gout.
. ^zz++++=EXTRAWORD
The ^ati++++=The
diagnosis ^nn++++=diagnosis
had ^vbd+hvd+aux++=had
enchanted ^vprf+++xvbnx+=enchanted
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
hide ^vbi++++=hide
his ^pp$+pp3+++=his
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
pretending ^vbg+++xvbg+=pretending
to ^to+vcmp+++=to
be ^vbi++vrb++=be
angry ^jj+pred+++=angry
and ^cc+phrs+++=and
depressed ^jj+++xvbn+=depressed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
Alderman ^nn+nom+++=Alderman
Keats ^np+++??+=Keats
a ^at++++=a
mark ^nn++++=mark
of ^in++++=of
distinction ^nn+nom+++=distinction
to ^to++++=to
be ^vbi+vbi+aux++=be
afflicted ^vpsv++agls+xvbnx+=afflicted
with ^in++++=with
the ^ati++++=the
gout ^nn+++??+=gout.
. ^zz++++=EXTRAWORD
Quite ^rb++++=Quite
against ^in++++=against
the ^ati++++=the
doctor ^nn++++=doctor's
's ^$++++=EXTRAWORD
orders ^nns++++=orders
he ^pp3a+pp3+++=he
purchased ^vbd+++xvbnx+=purchased
a ^at++++=a
stock ^nn++++=stock
of ^in++++=of
port ^nn++++=port,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
drink ^vbi++++=drink
it ^pp3+it+++=it
steadily ^rb++++=steadily.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
determined ^vpsv++agls+xvbnx+=determined
that ^tht+vcmp+++=that
there ^ex+pex+++=there
should ^md+nec+++=should
be ^vb+be+vrb++=be
no ^at++++=no
mistake ^nn++++=mistake
about ^in++++=about
his ^pp$+pp3+++=his
gout ^nn+++??+=gout;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
determined ^jj++agls+xvbnx+=determined
to ^to+jcmp+++=to
have ^vbi++vrb++=have
the ^ati++++=the
gout ^nn+++??+=gout
properly ^rb++++=properly
and ^cc+phrs+++=and
fully ^rb+amp+++=fully.
. ^zz++++=EXTRAWORD
Indulgence ^np+nom++??+=Indulgence
in ^in++++=in
port ^npl++++=port
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
somewhat ^rb+down+++=somewhat
rubicund ^jj+++??+=rubicund
and ^cc++++=and
