Sitting ^vbg+++xvbg+=Sitting
at ^rb++++=at
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window
of ^in++++=of
her ^pp$+pp3+++=her
room ^nn++++=room
in ^in++++=in
the ^ati++++=the
upper ^jjb+atrb+++=upper
story ^nn++++=story
of ^in++++=of
the ^ati++++=the
farmhouse ^nn++++=farmhouse,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
Rancho ^np+++??+=Rancho
San ^np++++=San
Gregorio ^np+++??+=Gregorio,
, ^zz++++=EXTRAWORD
Senora ^np+++??+=Senora
Violante ^np+++??+=Violante
Ovando ^np+++??+=Ovando
de ^&fw++++=de
Mcpherson ^np+++??+=McPherson
watched ^vbd+++xvbn+=watched,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
deepest ^jjt+atrb+++=deepest
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
dust ^nn++++=dust
which ^whp+rel+obj++=which
rose ^nn+++xvbn+=rose
in ^in++++=in
the ^ati++++=the
still ^rb++++=still
May ^md+pos+++=May
air ^vb++++=air
far ^rb+pl+++=far
down ^in++++=down
the ^ati++++=the
valley ^nn++++=valley;
; ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that
the ^ati++++=the
color ^nn++++=color
in ^in++++=in
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks
and ^cc++++=and
the ^ati++++=the
sparkle ^nn++++=sparkle
in ^in++++=in
her ^pp$+pp3+++=her
violet ^np++++=violet-black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
eyes ^nns++++=eyes
spoke ^vbd+++xvbn+=spoke
a ^at++++=a
language ^nn+nom+++=language
of ^in++++=of
devotion ^nn+nom+++=devotion
and ^cc++++=and
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
husband ^nn++++=husband
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
him ^pp3o+pp3+++=him
