Apollo ^np++++=Apollo
by ^in++++=by
Chimamanda ^np+++??+=Chimamanda
Ngozi ^np+++??+=Ngozi
Adichie ^np+++??+=Adichie
Twice ^rb++++=Twice
a ^at++++=a
month ^nn++++=month,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
dutiful ^jj+atrb+++=dutiful
son ^nn++++=son,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
visited ^vbd+++xvbnx+=visited
my ^pp$+pp1+++=my
parents ^nns++++=parents
in ^in++++=in
Enugu ^np+++??+=Enugu,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
small ^jj+atrb+++=small
overfurnished ^jj+atrb++xvbn+=overfurnished
flat ^nn++++=flat
that ^tht+rel+subj++=that
grew ^vbd+++xvbn+=grew
dark ^nn++++=dark
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
Retirement ^nn+nom+++=Retirement
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
shrunk ^jj++++=shrunk
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
in ^in++++=in
their ^pp$+pp3+++=their
late ^jj+atrb+++=late
eighties ^nns+++??+=eighties,
, ^zz++++=EXTRAWORD
both ^abx++++=both
small ^jj++++=small
and ^cc++++=and
mahogany ^nn++++=mahogany-skinned,
- ^zz++++=EXTRAWORD
skinned ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
tendency ^nn++++=tendency
to ^to+ncmp+++=to
stoop ^vb+++??+=stoop.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
look ^vbi++++=look
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
alike ^rb+cnj+++=alike,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
all ^rb++++=all
the ^ati++++=the
years ^nns++++=years
together ^nn+nom+++=together
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
