We ^pp1a+pp1+++=We,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
can ^md+pos+++=can
recall ^vb+vprv+++=recall
the ^ati++++=the
consulship ^nn+nom+++=consulship
of ^in++++=of
Plancus ^np+++??+=Plancus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quite ^rb++++=quite
respectable ^jj++++=respectable,
, ^zz++++=EXTRAWORD
old ^jj++++=old-fogyfied
- ^zz++++=EXTRAWORD
fogyfied ^jj+atrb++xvbn+=EXTRAWORD
times ^nns++++=times,
, ^zz++++=EXTRAWORD
remember ^nn+nom+++=remember
amongst ^in++++=amongst
other ^ap++++=other
amusements ^nns+nom+++=amusements
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
as ^ql++++=as
children ^nns++++=children
the ^ati++++=the
pictures ^nns++++=pictures
at ^in++++=at
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
permitted ^vpsv++agls+xvbnx+=permitted
to ^to+vcmp+++=to
look ^vbi++++=look.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
Boydell ^np++++=Boydell's
's ^$++++=EXTRAWORD
Shakspeare ^np+++??+=Shakspeare,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
and ^cc+phrs+++=and
ghastly ^jj+atrb+++=ghastly
gallery ^nn+nom+++=gallery
of ^in++++=of
murky ^jj+atrb+++=murky
Opies ^np+++??+=Opies,
, ^zz++++=EXTRAWORD
glum ^jj+atrb+++=glum
Northcotes ^np+++??+=Northcotes,
, ^zz++++=EXTRAWORD
straddling ^vbg+nom++xvbg+=straddling
Fuselis ^np+++??+=Fuselis!
! ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
Lear ^jj+pred+++=Lear,
, ^zz++++=EXTRAWORD
Oberon ^np+++??+=Oberon,
, ^zz++++=EXTRAWORD
Hamlet ^np++++=Hamlet,
, ^zz++++=EXTRAWORD
with ^in++++=with
starting ^xvbg+++xvbg+=starting
muscles ^nns++++=muscles,
, ^zz++++=EXTRAWORD
rolling ^vbg+nom++xvbg+=rolling
eyeballs ^nns++++=eyeballs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
long ^rb++++=long
pointing ^vbg+++xvbg+=pointing
quivering ^jj+atrb++xvbg+=quivering
fingers ^nns+nom+++=fingers;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
little ^ap++++=little
Prince ^npt++++=Prince
Arthur ^np++++=Arthur
( ^zz++++=(Northcote)
northcote ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
crying ^nvbg+++xvbg+=crying,
, ^zz++++=EXTRAWORD
in ^in++++=in
white ^jj+atrb+++=white
satin ^nn++++=satin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bidding ^nvbg+++xvbg+=bidding
good ^jj+atrb+++=good
Hubert ^np++++=Hubert
not ^xnot++not++=not
put ^vb+++xvbn+=put
out ^rb+phrv+++=out
his ^pp$+pp3+++=his
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
Hubert ^np++++=Hubert
crying ^vwbg+++xvbg+=crying;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
little ^ap++++=little
Rutland ^np++++=Rutland
being ^xvbg+++xvbg+=being
run ^vprf+++xvbn+=run
through ^rb+phrv+++=through
the ^ati++++=the
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
body ^nn++++=body
by ^in++++=by
bloody ^jj+atrb+++=bloody
Clifford ^np++++=Clifford;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
Cardinal ^jjb++++=Cardinal
Beaufort ^np++++=Beaufort
( ^zz++++=(Reynolds)
reynolds ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
gnashing ^nn++++=gnashing
his ^pp$+pp3+++=his
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grinning ^jj+++xvbg+=grinning
and ^cc+phrs+++=and
howling ^jj+++xvbg+=howling
demoniacally ^rb++++=demoniacally
on ^in++++=on
his ^pp$+pp3+++=his
death ^nn++++=death-bed
- ^zz++++=EXTRAWORD
bed ^nn++++=EXTRAWORD
( ^zz++++=(a
a ^at++++=EXTRAWORD
picture ^nn++++=picture
frightful ^jj++++=frightful
to ^in++++=to
the ^ati++++=the
present ^jj+atrb+++=present
day ^nn++++=day);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
Lady ^npt++++=Lady
Hamilton ^np++++=Hamilton
( ^zz++++=(Romney)
romney ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
waving ^vbg+++xvbg+=waving
a ^at++++=a
torch ^nn++++=torch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dancing ^vbg+++xvbg+=dancing
before ^in++++=before
a ^at++++=a
black ^jj+atrb+++=black
background, ^nn+++??+=background,--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
melancholy ^jj+atrb+++=melancholy
museum ^npl++++=museum
indeed ^qlp++++=indeed.
. ^zz++++=EXTRAWORD
Smirke ^np++++=Smirke's
's ^$++++=EXTRAWORD
delightful ^jj++++=delightful
" ^zz++++="Seven
seven ^cd++++=EXTRAWORD
Ages ^nns++++=Ages"
" ^zz++++=EXTRAWORD
only ^rb+down+++=only
fitfully ^jj++++=fitfully
relieved ^jj+++xvbn+=relieved
its ^pp$+it+++=its
general ^jj+atrb+++=general
gloom ^nn++++=gloom.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+aux++=did
not ^xnot++not++=not
like ^vb++++=like
to ^to+vcmp+++=to
inspect ^vbi++++=inspect
it ^pp3+it+++=it
unless ^cs+cnd+++=unless
the ^ati++++=the
elders ^nns++++=elders
were ^vbd+bed+aux++=were
present ^vb++++=present,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
plenty ^nn++++=plenty
of ^in++++=of
lights ^nns++++=lights
and ^cc++++=and
company ^nn++++=company
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Cheerful ^jj+atrb+++=Cheerful
relatives ^nns++++=relatives
used ^md"++pmd"++=used
to ^to++++=to
treat ^vb++++=treat
us ^pp1o+pp1+++=us
to ^in++++=to
Miss ^npt++++=Miss
Linwood ^np++++=Linwood's.
's. ^nn+++??+=EXTRAWORD
Let ^vbd+++xvbn+=Let
the ^ati++++=the
children ^nns++++=children
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
generation ^nn+nom+++=generation
thank ^vb++++=thank
their ^pp$+pp3+++=their
stars ^nns++++=stars
That ^tht+rel+obj++=THAT
tragedy ^nn++++=tragedy
is ^vbz+bez+aux++=is
put ^vpsv++agls+xvbnx+=put
out ^rb+phrv+++=out
of ^in++++=of
their ^pp$+pp3+++=their
way ^nn++++=way.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Linwood ^np++++=Linwood's
's ^$++++=EXTRAWORD
was ^vbd+bedz+aux++=was
worsted ^vpsv++agls+xvbnx+=worsted-work.
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
or ^cc++++=or
grandaunts ^nns+++??+=grandaunts
took ^vbd+++xvbn+=took
you ^pp2+pp2+++=you
there ^rn+pl+++=there
and ^cc++++=and
said ^vbd+vpub+tht0+xvbn+=said
the ^ati++++=the
pictures ^nns++++=pictures
were ^vbd+bed+vrb++=were
admirable ^jj+pred+++=admirable.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
saw ^vbd+vprv++xvbn+=saw
" ^zz++++="the
the ^ati++++=EXTRAWORD
Woodman ^np+++??+=Woodman"
" ^zz++++=EXTRAWORD
in ^in++++=in
worsted ^jj+++xvbn+=worsted,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
axe ^nn++++=axe
and ^cc++++=and
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
trampling ^vbg+nom++xvbg+=trampling
through ^in++++=through
the ^ati++++=the
snow ^nn++++=snow;
; ^zz++++=EXTRAWORD
the ^ati++++=the
snow ^nn++++=snow
bitter ^jj++++=bitter
cold ^jj++++=cold
to ^to++++=to
look ^vbi++++=look
at ^rb+cnj+++=at,
, ^zz++++=EXTRAWORD
the ^ati++++=the
woodman ^jj+atrb+++=woodman's
's ^vbz+bez+vrb++0=EXTRAWORD
pipe ^nn++++=pipe
wonderful ^jj++++=wonderful:
: ^zz++++=EXTRAWORD
a ^at++++=a
gloomy ^jj+atrb+++=gloomy
piece ^nn++++=piece,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
made ^vwbn+++xvbn+=made
you ^pp2+pp2+++=you
shudder ^vb++++=shudder.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
large ^jj+atrb+++=large
dingy ^jj+atrb+++=dingy
pictures ^nns++++=pictures
of ^in++++=of
woollen ^jj+atrb+++=woollen
martyrs ^nns++++=martyrs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scowling ^vbg+nom++xvbg+=scowling
warriors ^nns++++=warriors
with ^in++++=with
limbs ^nns++++=limbs
strongly ^rb+amp+++=strongly
knitted ^vbd+++xvbn+=knitted;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
especially ^rb+cnj+++=especially,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
a ^at++++=a
black ^jj+atrb+++=black
passage ^nn+nom+++=passage,
, ^zz++++=EXTRAWORD
a ^at++++=a
den ^&fw++++=den
of ^in++++=of
lions ^nns++++=lions,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
would ^md+prd+++=would
frighten ^vb++++=frighten
any ^dti++++=any
boy ^nn++++=boy
not ^xnot++not++=not
born ^vbd+++xvbn+=born
in ^in++++=in
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Exeter ^np++++=Exeter
' ^zz++++='Change,
change ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accustomed ^vpsv++agls+xvbn+=accustomed
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
exhibition ^nn+nom+++=exhibition
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
West ^np+pl+++=West's
's ^$++++=EXTRAWORD
Gallery ^nn+nom+++=Gallery,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
