In ^in++++=IN
the ^ati++++=the
afternoon ^nn++++=afternoon
the ^ati++++=the
chairs ^nns++++=chairs
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
a ^at++++=a
whole ^jj+atrb+++=whole
big ^jj+atrb+++=big
cart ^nn++++=cart
full ^jj++++=full
of ^in++++=of
little ^jj+atrb+++=little
gold ^nn++++=gold
ones ^pn++++=ones
with ^in++++=with
their ^pp$+pp3+++=their
legs ^nns++++=legs
in ^in++++=in
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
the ^ati++++=the
flowers ^nns+nom+++=flowers
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
stared ^vbd+++xvbn+=stared
down ^rp++++=down
from ^in++++=from
the ^ati++++=the
balcony ^nn++++=balcony
at ^in++++=at
the ^ati++++=the
people ^nns++++=people
carrying ^vwbg+++xvbg+=carrying
them ^pp3o+pp3+++=them
the ^ati++++=the
flower ^nn++++=flower
pots ^nns++++=pots
looked ^vbd+++xvbn+=looked
like ^in++++=like
funny ^jj++++=funny
awfully ^ql++++=awfully
nice ^jj+atrb+++=nice
hats ^nns++++=hats
nodding ^vwbg+++xvbg+=nodding
up ^rp++++=up
the ^ati++++=the
path ^nn++++=path.
. ^zz++++=EXTRAWORD
Moon ^np++++=Moon
thought ^vbd+++xvbn+=thought
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
hats ^nns++++=hats.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Look.
look ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
man ^nn++++=man
wearing ^vwbg+++xvbg+=wearing
a ^at++++=a
palm ^np++++=palm
on ^in++++=on
his ^pp$+pp3+++=his
head ^nn++++=head."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
she ^pp3a+pp3+++=she
never ^rb++++=never
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
real ^jj+atrb+++=real
things ^nns++++=things
and ^cc++++=and
not ^xnot++not++=not
real ^jj+atrb+++=real
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nobody ^pn++++=nobody
to ^to++++=to
look ^vbi++++=look
after ^in+ppvb+++=after
Sun ^nn++++=Sun
and ^cc++++=and
Moon ^nn++++=Moon.
. ^zz++++=EXTRAWORD
Nurse ^nn++++=Nurse
was ^vbd+bedz+aux++=was
helping ^vbg+++xvbgx+=helping
Annie ^np+++??+=Annie
alter ^vb++++=alter
Mother ^np++++=Mother's
's ^$++++=EXTRAWORD
dress ^nn++++=dress
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
much ^ap++++=much-too-long-and-tight-under-the-arms
- ^zz++++=EXTRAWORD
too ^ql++++=EXTRAWORD
- ^zz++++=EXTRAWORD
long ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
tight ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
under ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
th ^zz++++=EXTRAWORD
and ^cc++++=and
Mother ^nn++++=Mother
was ^vbd+bedz+aux++=was
running ^vbg+++xvbgx+=running
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
telephoning ^nc+++xvbg+=telephoning
Father ^npt++++=Father
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure
not ^xnot++not++=not
to ^to++++=to
forget ^vbi+vprv+++=forget
things ^nns++++=things.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
only ^rb+down+++=only
had ^vb+hv+vrb++=had
time ^nn++++=time
to ^to++++=to
say ^vbi+vpub+++=say:
: ^zz++++=EXTRAWORD
" ^zz++++="Out
out ^rp+pl+++=EXTRAWORD
of ^in++++=of
my ^pp$+pp1+++=my
way ^nn++++=way,
, ^zz++++=EXTRAWORD
children ^nns++++=children!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
kept ^vbd+++xvbnx+=kept
out ^rb+phrv+++=out
of ^in++++=of
her ^pp$+pp3+++=her
way ^nn++++=way
at ^in++++=at
any ^dti++++=any
rate ^nn++++=rate
Sun ^nn++++=Sun
did ^vbd+dod+vrb++=did.
