Translation ^nn+nom+++=Translation
by ^in++++=by
Ian ^np++++=Ian
Johnston ^np++++=Johnston
Esteemed ^np+++??+=Esteemed
Gentlemen ^nns++++=Gentlemen
of ^in++++=of
the ^ati++++=the
Academy ^nn++++=Academy!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
show ^nn++++=show
me ^pp1o+pp1+++=me
the ^ati++++=the
honour ^nn++++=honour
of ^in++++=of
calling ^xvbg+++xvbg+=calling
upon ^in++++=upon
me ^pp1o+pp1+++=me
to ^to++++=to
submit ^vbi+vpub+++=submit
a ^at++++=a
report ^vb++++=report
to ^to+vcmp+++=to
the ^ati++++=the
Academy ^nn++++=Academy
concerning ^in++++=concerning
my ^pp$+pp1+++=my
previous ^jj+atrb+++=previous
life ^nn++++=life
as ^in++++=as
an ^at++++=an
ape ^nn++++=ape.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
unfortunately ^rb+cnj+++=unfortunately,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
comply ^vb++++=comply
with ^in++++=with
your ^pp$+pp2+++=your
request ^nn++++=request.
. ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
five ^cd++++=five
years ^nns++++=years
separate ^jj++++=separate
me ^pp1o+pp1+++=me
from ^in++++=from
my ^pp$+pp1+++=my
existence ^nn+nom+++=existence
as ^in++++=as
an ^at++++=an
ape ^nn++++=ape,
, ^zz++++=EXTRAWORD
a ^at++++=a
short ^jj+atrb+++=short
time ^nn++++=time
perhaps ^rb++++=perhaps
when ^wrb+who+++=when
measured ^vpsv++by+xvbn+=measured
by ^in++++=by
the ^ati++++=the
calendar ^nn++++=calendar,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
endlessly ^rb++++=endlessly
long ^vb++++=long
to ^to+vcmp+++=to
gallop ^vb++++=gallop
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done,
, ^zz++++=EXTRAWORD
at ^rb++++=at
times ^nns++++=times
accompanied ^vwbn+++xvbn+=accompanied
by ^in++++=by
splendid ^jj+atrb+++=splendid
people ^nns++++=people,
, ^zz++++=EXTRAWORD
advice ^nn++++=advice,
, ^zz++++=EXTRAWORD
applause ^nn++++=applause,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
orchestral ^jj+atrb+++=orchestral
music ^nn++++=music,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
basically ^rb+down+++=basically
alone ^jj++++=alone,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
all ^abn++++=all
those ^dt+dem+++=those
accompanying ^jj+++xvbg+=accompanying
me ^pp1o+pp1+++=me
held ^vbd+vprv++xvbn+=held
themselves ^ppls+pp3+++=themselves
back ^jjb++++=back
a ^at++++=a
long ^jj+atrb+++=long
way ^nn++++=way
from ^in++++=from
the ^ati++++=the
barrier ^nn++++=barrier,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
preserve ^vb++++=preserve
the ^ati++++=the
image ^nn++++=image.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
achievement ^nn+nom+++=achievement
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
impossible ^jj++++=impossible
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
stubbornly ^rb++splt++=stubbornly
wished ^vprf+++xvbnx+=wished
to ^to+vcmp+++=to
hold ^vbi+vprv+++=hold
onto ^in++++=onto
my ^pp$+pp1+++=my
origin ^nn++++=origin,
, ^zz++++=EXTRAWORD
onto ^in++++=onto
the ^ati++++=the
memories ^nns++++=memories
of ^in++++=of
my ^pp$+pp1+++=my
youth ^nn++++=youth.
. ^zz++++=EXTRAWORD
Giving ^vbg+++xvbg+=Giving
up ^rb+phrv+++=up
that ^dt+dem+++=that
obstinacy ^nn+nom+++=obstinacy
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
the ^ati++++=the
highest ^jjt+atrb+++=highest
command ^nn++++=command
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
gave ^vbd+++xvbnx+=gave
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
a ^at++++=a
free ^jj+atrb+++=free
ape ^nn++++=ape,
, ^zz++++=EXTRAWORD
submitted ^j+++xvbn+=submitted
myself ^ppl+pp1+++=myself
to ^in++++=to
this ^dt+dem+++=this
yoke ^nn++++=yoke.
. ^zz++++=EXTRAWORD
In ^in++++=In
so ^ql++++=so
doing ^nvbg+++xvbg+=doing,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
memories ^nns++++=memories
for ^in++++=for
their ^pp$+pp3+++=their
part ^nn++++=part
constantly ^rb++++=constantly
closed ^vbd+++xvbn+=closed
themselves ^ppls+pp3+++=themselves
off ^rp+pl+++=off
against ^in++++=against
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
people ^nns++++=people
had ^vbd+hvd+aux++=had
wanted ^vprf+++xvbnx+=wanted
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
journey ^nn++++=journey
back ^jjb++++=back
at ^rb++++=at
first ^rb"++++=first
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
possible ^jj++++=possible
through ^in++++=through
the ^ati++++=the
entire ^jjb+atrb+++=entire
gateway ^nn++++=gateway
which ^whp+rel+obj++=which
heaven ^nn++++=heaven
builds ^vbz++++=builds
over ^in++++=over
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
my ^pp$+pp1+++=my
development ^nn+nom+++=development
was ^vbd+bedz+aux++=was
whipped ^vpsv++agls+xvbnx+=whipped
onwards ^rb+cnj+++=onwards,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gate ^nn++++=gate
simultaneously ^rb+tm+++=simultaneously
grew ^vbd+++xvbn+=grew
lower ^jjr++++=lower
and ^cc+phrs+++=and
narrower ^jjr++++=narrower
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv+tht0+xvbnx+=felt
myself ^ppl+pp1+++=myself
more ^rbr++++=more
comfortable ^jj++++=comfortable
and ^cc++++=and
more ^rbr++++=more
enclosed ^vbd+++xvbn+=enclosed
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
of ^in++++=of
human ^jj+atrb+++=human
beings ^nns++++=beings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
storm ^nn++++=storm
which ^whp+rel+subj++=which
blew ^vbd+++xvbn+=blew
me ^pp1o+pp1+++=me
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
past ^jjb++++=past
eased ^jj+++xvbn+=eased
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
a ^at++++=a
gentle ^jj+atrb+++=gentle
breeze ^nn++++=breeze
which ^whp+rel+subj++=which
cools ^vbz+++??+=cools
my ^pp$+pp1+++=my
heels ^nns++++=heels.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
distant ^jj+atrb+++=distant
hole ^nn++++=hole
through ^in++++=through
which ^whp+rel+pied++=which
it ^pp3+it+++=it
comes ^vbz++++=comes
and ^cc++++=and
through ^in++++=through
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
once ^rb+tm+++=once
came ^vbd+++xvbn+=came
has ^vbz+hvz+aux++=has
become ^vb++++=become
so ^ql+emph+++=so
small ^jj++++=small
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
sufficient ^jj+atrb+++=sufficient
power ^nn++++=power
and ^cc++++=and
will ^md+prd+++=will
to ^to++++=to
run ^vbi++++=run
back ^rp++++=back
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^md"++pmd"++=have
to ^md+nec+++=to
scrape ^vb++++=scrape
the ^ati++++=the
fur ^nn++++=fur
off ^in+pl+++=off
my ^pp$+pp1+++=my
body ^nn++++=body
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
get ^vb++++=get
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
Speaking ^vbg+++xvbg+=Speaking
frankly ^rb+cnj+++=frankly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
I ^pp1a+pp1+++=I
like ^in++++=like
choosing ^xvbg+++xvbg+=choosing
metaphors ^nns++++=metaphors
for ^in++++=for
these ^dt+dem+++=these
things ^nns++++=things
speaking ^vwbg+++xvbg+=speaking
frankly ^rb++++=frankly:
: ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
experience ^nn+nom+++=experience
as ^ql++++=as
apes ^nns+++??+=apes,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen
to ^in++++=to
the ^ati++++=the
extent ^nn++++=extent
that ^tht+rel+obj++=that
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
something ^pn++++=something
of ^in++++=of
that ^dt+dem+++=that
sort ^nn++++=sort
behind ^in+pl+++=behind
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
more ^rbr++++=more
distant ^jj+pred+++=distant
from ^in++++=from
you ^pp2+pp2+++=you
than ^in++++=than
mine ^nn++++=mine
is ^vbz+bez+vrb++=is
from ^in++++=from
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
