So ^ql++++=So
we ^pp1a+pp1+++=we
loosed ^vbd+++xvbn+=loosed
a ^at++++=a
bloomin ^nn+++??+=bloomin'
' ^zz++++=EXTRAWORD
volley ^nn++++=volley,
, ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
we ^pp1a+pp1+++=we
made ^vbd+++xvbn+=made
the ^ati++++=the
beggars ^nns++++=beggars
cut ^vbd+++xvbn+=cut,
, ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
when ^wrb+who+++=when
our ^pp$+pp1+++=our
pouch ^nn+++??+=pouch
was ^vbd+bedz+aux++=was
emptied ^vpsv++agls+xvbnx+=emptied
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
the ^ati++++=the
bloomin ^nn+++??+=bloomin'
' ^zz++++=EXTRAWORD
butt ^nn++++=butt,
, ^zz++++=EXTRAWORD
Ho ^uh++++=Ho!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My!
! ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
yer ^pp$++++=yer
come ^vprf+++xvbn+=come
anigh ^nn+++??+=anigh,
, ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Tommy ^np++++=Tommy
is ^vbz+bez+vrb++=is
a ^at++++=a
playin ^nn+++??+=playin'
' ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
baynit ^nn+++??+=baynit
and ^cc++++0=an'
the ^ati++++=the
butt ^nn++++=butt.
. ^zz++++=EXTRAWORD
_ ^zz++++=_--Barrack
-- ^--+clp+++=EXTRAWORD
barrack ^nn++++=EXTRAWORD
Room ^nn++++=Room
Ballad_ ^np+++??+=Ballad_.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
friend ^nn++++=friend
Private ^jj+atrb+++=Private
Mulvaney ^np+++??+=Mulvaney
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
the ^ati++++=the
parapet ^nn+++??+=parapet
of ^in++++=of
the ^ati++++=the
road ^nn++++=road
to ^in++++=to
Dagshai ^np+++??+=Dagshai,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
hunting ^vbg+++xvbgx+=hunting
butterflies ^nns++++=butterflies
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
theories ^nns++++=theories
about ^in++++=about
the ^ati++++=the
Army ^nn++++=Army,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
