Poor ^jj+atrb+++=POOR
Man ^np++++=MAN'S
's ^$++++=EXTRAWORD
Pudding ^nn++++=PUDDING
You ^pp2+pp2+++=YOU
see ^vb+vprv+++=see,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
poet ^nn++++=poet
Blandmour ^np+++??+=Blandmour,
, ^zz++++=EXTRAWORD
enthusiastically ^rb++++=enthusiastically
as ^ql++++=as
some ^dti++++=some
forty ^cd++++=forty
years ^nns++++=years
ago ^rb++++=ago
we ^pp1a+pp1+++=we
walked ^vbd+++xvbn+=walked
along ^in++++=along
the ^ati++++=the
road ^nn++++=road
in ^in++++=in
a ^at++++=a
soft ^jj+atrb+++=soft,
, ^zz++++=EXTRAWORD
moist ^jj+atrb+++=moist
snowfall ^nn+++??+=snowfall,
, ^zz++++=EXTRAWORD
toward ^in++++=toward
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
March ^nr++++=March
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
blessed ^jj+++xvbn+=blessed
almoner ^jjr++++=almoner,
, ^zz++++=EXTRAWORD
Nature ^nn++++=Nature,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
in ^in++++=in
all ^abn++++=all
things ^nns++++=things
beneficent ^jj++++=beneficent
; ^zz++++=;
and ^cc+cls+++=and
not ^xnot++not++=not
only ^ap+down+++=only
so ^pn++++=so,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
considerate ^jj++++=considerate
in ^in++++=in
her ^pp$+pp3+++=her
charities ^nns+nom+++=charities,
, ^zz++++=EXTRAWORD
as ^ql++++=as
any ^dti++++=any
discreet ^jj+atrb+++=discreet
human ^jj+atrb+++=human
philanthropist ^nn+nom+++=philanthropist
might ^md+pos+++=might
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seems ^vbz+seem+++=seems
so ^rb+emph+++=so
unseasonable ^jj++++=unseasonable,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
in ^in++++=in
fact ^nn++++=fact
just ^rb+emph+++=just
what ^wdt+who+++=what
a ^at++++=a
poor ^jj+atrb+++=poor
husbandman ^jj+atrb+++=husbandman
needs ^nns++++=needs.
. ^zz++++=EXTRAWORD
Rightly ^rb++++=Rightly
is ^vbz+bez+vrb++=is
this ^dt+dem+++=this
soft ^jj+atrb+++=soft
March ^nr++++=March
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
falling ^nvbg+++xvbg+=falling
just ^rb+emph+++=just
before ^in++++=before
seed ^nn++++=seed-time,
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
rightly ^rb++++=rightly
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Manure ^nn++++=Manure.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Distilling ^np+nom++??+=Distilling
from ^in++++=from
kind ^nn++++=kind
heaven ^nn++++=heaven
upon ^in++++=upon
the ^ati++++=the
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
gentle ^jj+atrb+++=gentle
penetration ^nn+nom+++=penetration
it ^pp3+it+++=it
nourishes ^vbz+++??+=nourishes
every ^at++++=every
clod ^nn+++??+=clod,
, ^zz++++=EXTRAWORD
ridge ^nn++++=ridge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
furrow ^nn+++??+=furrow.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
poor ^jj+atrb+++=poor
farmer ^nn++++=farmer
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
as ^ql++++=as
good ^jj++++=good
as ^in++++=as
the ^ati++++=the
rich ^jj+atrb+++=rich
farmer ^nn++++=farmer's
's ^$++++=EXTRAWORD
farmyard ^nn++++=farmyard
enrichments ^nns+nom+++=enrichments.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
poor ^jj+atrb+++=poor
man ^nn++++=man
has ^vbz+hvz+vrb++=has
no ^at++++=no
trouble ^nn++++=trouble
to ^to++++=to
spread ^vbi++++=spread
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
rich ^jj+atrb+++=rich
man ^nn++++=man
has ^md"++pmd"++=has
to ^md+nec+++=to
spread ^vb+++xvbn+=spread
his ^pp$+pp3+++=his."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
so ^rb+cnj+++=so,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
without ^in++++=without
equal ^jj+atrb+++=equal
enthusiasm ^nn++++=enthusiasm,
, ^zz++++=EXTRAWORD
brushing ^vbg+++xvbg+=brushing
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
damp ^jj+atrb+++=damp
flakes ^nns++++=flakes
from ^in++++=from
my ^pp$+pp1+++=my
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
as ^ql++++=as
you ^pp2+pp2+++=you
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
dear ^jj+atrb+++=dear
Blandmour ^np+++??+=Blandmour.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
tell ^vb++++=tell
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
that ^cs+sub+++=that
the ^ati++++=the
wind ^nn++++=wind
drives ^nns++++=drives
yonder ^jjb+atrb+++=yonder
drifts ^nns++++=drifts
of ^in++++=of
' ^zz++++='Poor
poor ^jj+atrb+++=EXTRAWORD
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Manure ^nn++++=Manure'
' ^zz++++=EXTRAWORD
off ^in+pl+++=off
poor ^jj+atrb+++=poor
Coulter ^np++++=Coulter's
's ^$++++=EXTRAWORD
two ^cd++++=two-acre
- ^zz++++=EXTRAWORD
acre ^nn++++=EXTRAWORD
patch ^nn++++=patch
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
piles ^nns++++=piles
it ^pp3+it+++=it
up ^rp++++=up
yonder ^jjb++++=yonder
on ^in++++=on
rich ^jj+atrb+++=rich
Squire ^nn++++=Squire
Teamster ^np+nom+++=Teamster's
's ^$++++=EXTRAWORD
twenty ^cd++++=twenty-acre
- ^zz++++=EXTRAWORD
acre ^nn++++=EXTRAWORD
field ^nn++++=field?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure
yes ^uh++++=yes
well ^rb++++=well;
; ^zz++++=EXTRAWORD
Coulter ^np++++=Coulter's
's ^$++++=EXTRAWORD
field ^nn++++=field,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose
is ^vbz+bez+vrb++=is
sufficiently ^rb++++=sufficiently
moist ^jj+pred+++=moist
without ^in++++=without
further ^jjb+atrb+++=further
moistenings ^nns+++??+=moistenings.
. ^zz++++=EXTRAWORD
Enough ^dt++++=Enough
is ^vbz+bez+vrb++=is
as ^ql++++=as
good ^jj++++=good
as ^in++++=as
a ^at++++=a
feast ^nn++++=feast,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
