Of ^in++++=Of
all ^abn++++=all
the ^ati++++=the
genuine ^jj+atrb+++=genuine
Bohemians ^np+++??+=Bohemians
who ^whp+rel+subj++=who
strayed ^vbd+++xvbn+=strayed
from ^in++++=from
time ^nn++++=time
to ^in++++=to
time ^nn++++=time
into ^in++++=into
the ^ati++++=the
would ^md+prd+++=would-be
- ^zz++++=EXTRAWORD
be ^vb+be+vrb++=EXTRAWORD
Bohemian ^jj+atrb+++=Bohemian
circle ^nn++++=circle
of ^in++++=of
the ^ati++++=the
Restaurant ^nn+nom+++=Restaurant
Nuremberg ^np++++=Nuremberg,
, ^zz++++=EXTRAWORD
Owl ^np+++??+=Owl
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
Soho ^np++++=Soho,
, ^zz++++=EXTRAWORD
none ^pn++++=none
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
interesting ^jj+pred+++=interesting
and ^cc++++=and
more ^rbr++++=more
elusive ^jj++++=elusive
than ^in++++=than
Gebhard ^np+++??+=Gebhard
Knopfschrank ^np+++??+=Knopfschrank.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
no ^at++++=no
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
treated ^vbd+++xvbnx+=treated
all ^abn++++=all
the ^ati++++=the
restaurant ^nn+nom+++=restaurant
frequenters ^nns+nom+++=frequenters
as ^ql++++=as
acquaintances ^nns+nom+++=acquaintances
he ^pp3a+pp3+++=he
never ^rb++++=never
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
wish ^vbi+vprv+++=wish
to ^to+vcmp+++=to
carry ^vbi++++=carry
the ^ati++++=the
acquaintanceship ^nn+nom+++=acquaintanceship
beyond ^in++++=beyond
the ^ati++++=the
door ^nn++++=door
that ^tht+rel+subj++=that
led ^vwbn+++xvbn+=led
into ^in++++=into
Owl ^np+++??+=Owl
Street ^nn++++=Street
and ^cc++++=and
the ^ati++++=the
outer ^jjb+atrb+++=outer
world ^nn++++=world.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dealt ^vbd+++xvbnx+=dealt
with ^in+ppvb+++=with
them ^pp3o+pp3+++=them
all ^rb++++=all
rather ^rb++++=rather
as ^in++++=as
a ^at++++=a
market ^nn++++=market
woman ^nn++++=woman
might ^md+pos+++=might
deal ^vb++++=deal
with ^in+ppvb+++=with
chance ^nn++++=chance
passers ^nns+nom+++=passers-by,
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
exhibiting ^nvbg+++xvbg+=exhibiting
her ^pp3o+pp3+++=her
wares ^nns++++=wares
and ^cc++++=and
chattering ^jj++++=chattering
about ^in++++=about
the ^ati++++=the
weather ^nn++++=weather
and ^cc++++=and
the ^ati++++=the
slackness ^nns+nom+++=slackness
of ^in++++=of
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
occasionally ^rb++++=occasionally
about ^in++++=about
rheumatism ^nn+nom+++=rheumatism,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb++++=never
showing ^vbg+vprv++xvbg+=showing
a ^at++++=a
desire ^nn++++=desire
to ^to+ncmp+++=to
penetrate ^nn+nom+++=penetrate
into ^in++++=into
their ^pp$+pp3+++=their
daily ^jj+atrb+++=daily
lives ^nns++++=lives
or ^cc++++=or
to ^in++++=to
dissect ^nn+++??+=dissect
their ^pp$+pp3+++=their
ambitions ^nns+nom+++=ambitions.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
understood ^vpsv++agls+xvbnx+=understood
to ^to+vcmp+++=to
belong ^vbi++++=belong
to ^in++++=to
a ^at++++=a
family ^nn++++=family
of ^in++++=of
peasant ^nn+nom+++=peasant
farmers ^nns+nom+++=farmers,
, ^zz++++=EXTRAWORD
somewhere ^rb++++=somewhere
in ^in++++=in
Pomerania ^np+++??+=Pomerania;
; ^zz++++=EXTRAWORD
some ^dti++++=some
two ^cd++++=two
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
abandoned ^vprf+++xvbnx+=abandoned
the ^ati++++=the
labours ^nns++++=labours
and ^cc++++=and
responsibilities ^nns+nom+++=responsibilities
of ^in++++=of
swine ^nns++++=swine
tending ^vwbg+++xvbg+=tending
and ^cc++++=and
goose ^nn++++=goose
rearing ^nn++++=rearing
to ^to++++=to
try ^vbi++++=try
his ^pp$+pp3+++=his
fortune ^nn++++=fortune
as ^ql++++=as
an ^at++++=an
artist ^nn++++=artist
in ^in++++=in
London ^np++++=London.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
London ^np++++=London
and ^cc++++=and
not ^xnot++not++=not
Paris ^np++++=Paris
or ^cc++++=or
Munich ^np++++=Munich?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
asked ^vpsv++by+xvbnx+=asked
by ^in++++=by
the ^ati++++=the
curious ^nn++++=curious.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
ship ^nn++++=ship
that ^tht+rel+subj++=that
left ^vprf+++xvbn+=left
Stolpmunde ^np+++??+=Stolpmunde
for ^in++++=for
London ^np++++=London
twice ^rb++++=twice
a ^at++++=a
month ^nn++++=month,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
carried ^vwbn+++xvbn+=carried
few ^ap++++=few
passengers ^nns+nom+++=passengers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
carried ^vwbn+++xvbn+=carried
them ^pp3o+pp3+++=them
cheaply ^rb++++=cheaply;
; ^zz++++=EXTRAWORD
the ^ati++++=the
railway ^nn++++=railway
fares ^nns++++=fares
to ^in++++=to
Munich ^np++++=Munich
or ^cc++++=or
Paris ^np++++=Paris
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
cheap ^jj++++=cheap.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^to++++=to
select ^vbi++++=select
London ^np++++=London
as ^in++++=as
the ^ati++++=the
scene ^nn++++=scene
of ^in++++=of
his ^pp$+pp3+++=his
