In ^in++++=In
giving ^xvbg+++xvbg+=giving
this ^dt+dem+++=this
brief ^jj+atrb+++=brief
account ^nn++++=account
of ^in++++=of
my ^pp$+pp1+++=my
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
to ^to++++=to
speak ^vbi++++=speak
exactly ^rb+cnj+++=exactly,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
surroundings ^nns++++=surroundings
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
affected ^vprf+++xvbnx+=affected
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
my ^pp$+pp1+++=my
work ^nn++++=work
as ^ql++++=as
a ^at++++=a
writer ^nn++++=writer,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
first ^od++++=first
thought ^vbd+++xvbn+=thought
flies ^nns++++=flies
back ^jjb++++=back
to ^in++++=to
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
taught ^vbd+vsua++xvbn+=taught
me ^pp1o+pp1+++=me
to ^to++++=to
observe ^vbi+vprv+++=observe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
know ^vbi+vprv+++=know
the ^ati++++=the
deep ^jj+atrb+++=deep
pleasures ^nns++++=pleasures
of ^in++++=of
simple ^jj+atrb+++=simple
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
be ^vbi++vrb++=be
interested ^jj+pred+++=interested
in ^in++++=in
the ^ati++++=the
lives ^nns++++=lives
of ^in++++=of
people ^nns++++=people
about ^rb++++=about
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
With ^in++++=With
its ^pp$+it+++=its
high ^jj+atrb+++=high
hills ^nns++++=hills
and ^cc++++=and
pine ^nn++++=pine
forests ^nns++++=forests,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
its ^pp$+it+++=its
ponds ^nns++++=ponds
and ^cc++++=and
brooks ^nps++++=brooks
and ^cc++++=and
distant ^jj+atrb+++=distant
mountain ^nn++++=mountain
views ^nns++++=views,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
few ^ap++++=few
such ^abl++++=such
delightful ^jj+atrb+++=delightful
country ^nn++++=country
towns ^nns++++=towns
in ^in++++=in
New ^jj+atrb+++=New
England ^np++++=England
as ^in++++=as
the ^ati++++=the
