They ^pp3a+pp3+++=They
stood ^vbd+++xvbnx+=stood
at ^rb++++=at
the ^ati++++=the
window ^nn++++=window
of ^in++++=of
her ^pp$+pp3+++=her
boudoir ^nn++++=boudoir
in ^in++++=in
the ^ati++++=the
new ^jj+atrb+++=new
house ^npl++++=house
which ^whp+rel+obj++=which
Stephen ^np++++=Stephen
Cheswardine ^np+++??+=Cheswardine
had ^vb+hv+aux++=had
recently ^rb+tm+splt++=recently
bought ^vprf+++xvbnx+=bought
at ^rb++++=at
Sneyd ^np+++??+=Sneyd.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stars ^nns++++=stars
were ^vbd+bed+aux++=were
pursuing ^vbg+++xvbgx+=pursuing
their ^pp$+pp3+++=their
orbits ^nns++++=orbits
overhead ^jjb++++=overhead
in ^in++++=in
a ^at++++=a
clear ^jj+atrb+++=clear
dark ^jj+atrb+++=dark
velvet ^nn++++=velvet
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
except ^in++++=except
to ^in++++=to
the ^ati++++=the
north ^np+pl+++=north,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
industrial ^jj+atrb+++=industrial
fires ^nns++++=fires
and ^cc++++=and
smoke ^nn++++=smoke
of ^in++++=of
the ^ati++++=the
Five ^cd++++=Five
Towns ^nns++++=Towns
had ^vb+hv+aux++=had
completely ^rb+amp+splt++=completely
put ^vprf+++xvbnx+=put
them ^pp3o+pp3+++=them
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
even ^rb++++=even
these ^dt+dem+++=these
distant ^jj+atrb+++=distant
signs ^nns++++=signs
of ^in++++=of
rude ^jj+atrb+++=rude
labour ^nn++++=labour
had ^vb+hv+vrb++=had
a ^at++++=a
romantic ^jj+atrb+++=romantic
aspect ^nn++++=aspect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
impair ^vb++++=impair
the ^ati++++=the
general ^jj+atrb+++=general
romance ^nn+nom+++=romance
of ^in++++=of
the ^ati++++=the
scene ^nn++++=scene.
. ^zz++++=EXTRAWORD
Charlie ^np++++=Charlie
had ^vbd+hvd+aux++=had
loved ^vprf+++xvbnx+=loved
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
her ^pp$+pp3+++=her
still ^rb++++=still;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
gave ^vbd+++xvbnx+=gave
him ^pp3o+pp3+++=him
odd ^jj+atrb+++=odd
minutes ^nns++++=minutes
of ^in++++=of
herself ^ppl+pp3+++=herself
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
to ^to++++=to
keep ^vbi++++=keep
him ^pp3o+pp3+++=him
alive ^jj++++=alive.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
log ^&fo++++=log
fire ^nn++++=fire
richly ^rb++++=richly
crackling ^nn+nom+++=crackling
in ^in++++=in
the ^ati++++=the
well ^rb++++=well-grate
- ^zz++++=EXTRAWORD
grate ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
boudoir ^nn++++=boudoir;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
feminineness ^nns+nom+++=feminineness
of ^in++++=of
the ^ati++++=the
boudoir ^nn++++=boudoir
( ^zz++++=(dimly
dimly ^rb++++=EXTRAWORD
lit ^rb+++xvbn+=lit),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
soft ^jj+atrb+++=soft
splendour ^nn++++=splendour
of ^in++++=of
her ^pp$+pp3+++=her
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behind ^in+pl+++=behind
all ^abn++++=all
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
pervading ^jj+++xvbg+=pervading
the ^ati++++=the
house ^nn++++=house,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gay ^jj+atrb+++=gay
rumour ^nn++++=rumour
of ^in++++=of
the ^ati++++=the
party ^nn++++=party.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
them ^pp3o+pp3+++=them
the ^ati++++=the
window ^nn++++=window-panes,
- ^zz++++=EXTRAWORD
panes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
the ^ati++++=the
window ^nn++++=window-panes
- ^zz++++=EXTRAWORD
panes ^nns++++=EXTRAWORD
the ^ati++++=the
stars ^nns++++=stars
in ^in++++=in
their ^pp$+pp3+++=their
orbits ^nns++++=orbits.
. ^zz++++=EXTRAWORD
Doubtless ^rb++++=Doubtless
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
such ^abl++++=such
influences ^nns+nom+++=influences
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
several ^ap++++=several
degrees ^nns+nom+++=degrees
of ^in++++=of
frost ^nn++++=frost
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
to ^in++++=to
Charlie ^np++++=Charlie
Woodruff ^np++++=Woodruff's
's ^$++++=EXTRAWORD
thoughts ^nns++++=thoughts
an ^at++++=an
Italian ^nn++++=Italian,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Spanish ^jj++++=Spanish,
, ^zz++++=EXTRAWORD
turn ^nn++++=turn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Stephen
stephen ^np++++=EXTRAWORD
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
this ^dt+dem+++=this
window ^nn++++=window
turned ^vbd+++xvbn+=turned
into ^in++++=into
a ^at++++=a
French ^jj+atrb+++=French
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
build ^vb++++=build
you ^pp2+pp2+++=you
a ^at++++=a
balcony ^nn++++=balcony.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
easily ^rb++++=easily
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
the ^ati++++=the
view ^nn++++=view
for ^in++++=for
a ^at++++=a
balcony ^nn++++=balcony.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
see ^vb+vprv+++=see
Sneyd ^np+++??+=Sneyd
Lake ^nn++++=Lake
from ^in++++=from
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(You
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
People ^nns++++=People
were ^vbd+bed+aux++=were
skating ^vbg+++xvbgx+=skating
on ^in++++=on
it ^pp3+it+++=it.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
add ^vb+vpub+++=add
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
Sneyd ^np+++??+=Sneyd
Golf ^nn++++=Golf
Links ^nns++++=Links
from ^in++++=from
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vice ^nn++++=vice
versa ^rb"++++=versa.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
doubt ^nn++++=doubt
if ^cs+cnd+++=if
the ^ati++++=the
idea ^nn++++=idea
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
an ^at++++=an
active ^jj+atrb+++=active
member ^nn++++=member
of ^in++++=of
the ^ati++++=the
Sneyd ^np+++??+=Sneyd
Golf ^nn++++=Golf
Club ^nn++++=Club
it ^pp3+it+++=it
would ^md+prd+++=would
certainly ^rb++++=certainly
have ^vb+hv+aux++=have
presented ^vprf+++xvbnx+=presented
itself ^ppl++++=itself
to ^in++++=to
him ^pp3o+pp3+++=him
in ^in++++=in
due ^jj+atrb+++=due
season ^nn++++=season.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
lovely ^jj+atrb+++=lovely
scheme ^nn++++=scheme!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Vera ^np++++=Vera
exclaimed ^vbd+++xvbn+=exclaimed
enthusiastically ^rb++++=enthusiastically.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appealed ^vbd+++xvbn+=appealed
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appealed ^vbd+++xvbn+=appealed
to ^in++++=to
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
romantic ^jj+pred+++=romantic
in ^in++++=in
her ^pp$+pp3+++=her
bird ^nn++++=bird-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
the ^ati++++=the
links ^nns++++=links;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
the ^ati++++=the
lake ^nn++++=lake;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
just ^rb+emph+++=just
saw ^vbd+vprv+tht0+xvbn+=saw
herself ^ppl+pp3+++=herself
in ^in++++=in
exquisite ^jj+atrb+++=exquisite
frocks ^nns++++=frocks,
, ^zz++++=EXTRAWORD
lightly ^rb++++=lightly
lounging ^vbg+++xvbg+=lounging
on ^in++++=on
the ^ati++++=the
balcony ^nn++++=balcony
in ^in++++=in
high ^jj+atrb+++=high
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dreaming ^vbg+++xvbg+=dreaming
of ^in++++=of
her ^pp$+pp3+++=her
own ^ap++++=own
beauty ^nn++++=beauty.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
striped ^jj+atrb+++=striped
awning ^nn++++=awning,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Make
make ^vb++++=EXTRAWORD
Stephen ^np++++=Stephen
do ^vb+do+vrb++=do
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment
Stephen ^np++++=Stephen
came ^vbd+++xvbn+=came
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
bald ^jj+atrb+++=bald
head ^nn++++=head
and ^cc++++=and
his ^pp$+pp3+++=his
forty ^cd++++=forty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
say ^vb+vpub+++=say!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
up ^rp++++=up
to ^to++++=to?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
were ^vbd+bed+aux++=were
just ^rb+emph+splt++=just
watching ^vbg+++xvbgx+=watching
the ^ati++++=the
skaters ^nns+nom+++=skaters,"
, ^zz++++=EXTRAWORD
