A ^rb++++=A
little ^rb"++++=little
thing ^nn++++=thing
clouded ^vbd+++xvbn+=clouded
the ^ati++++=the
brow ^nn++++=brow
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
very ^ql+amp+++=very
little ^ap++++=little
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
how ^wrb+who+whcl++=how
wide ^jj++++=wide
the ^ati++++=the
shadows ^nps++++=shadows
were ^vbd+bed+aux++=were
often ^rb++splt++=often
diffused ^vpsv++agls+xvbnx+=diffused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
darkly ^rb++++=darkly
they ^pp3a+pp3+++=they
fell ^vbd+++xvbnx+=fell,
, ^zz++++=EXTRAWORD
at ^rb++++=at
times ^nns++++=times,
, ^zz++++=EXTRAWORD
on ^in++++=on
some ^dti++++=some
hearts ^nns++++=hearts,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
striven ^vprf+++xvbn+=striven
more ^rbr++++=more
earnestly ^rb+cnj+++=earnestly,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
may ^md+pos+++=may
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
sky ^nn++++=sky
of ^in++++=of
her ^pp$+pp3+++=her
spirit ^nn++++=spirit
undimmed ^vbd+++xvbn+=undimmed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+vrb++=be
uninstructive ^jj+pred+++=uninstructive
to ^to++++=to
note ^vbi+vprv+++=note
the ^ati++++=the
incidents ^nns++++=incidents,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
day ^nn++++=day,
, ^zz++++=EXTRAWORD
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie's
's ^$++++=EXTRAWORD
life ^nn++++=life--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
mark ^vbi++++=mark
the ^ati++++=the
early ^jj+atrb+++=early
cloud ^nn++++=cloud
upon ^in++++=upon
her ^pp$+pp3+++=her
brow ^nn++++=brow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
to ^in++++=to
glance ^nn++++=glance
at ^in++++=at
the ^ati++++=the
darkly ^rb++++=darkly
falling ^vbg+nom++xvbg+=falling
shadows ^nps++++=shadows.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
of ^in++++=of
sensitive ^jj+atrb+++=sensitive
feelings ^nns+nom+++=feelings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
striven ^vprf+++xvbn+=striven
for ^in++++=for
many ^ap++++=many
years ^nns++++=years
to ^to++++=to
overcome ^vbi++++=overcome
his ^pp$+pp3+++=his
sensitiveness ^nns+nom+++=sensitiveness,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
more ^rbr++++=more
able ^jj++++=able
to ^to+jcmp+++=to
change ^vb++++=change
this ^dt+dem+++=this
hereditary ^jj+atrb+++=hereditary
weakness ^nns+nom+++=weakness
than ^in++++=than
the ^ati++++=the
leopard ^nn++++=leopard
his ^pp$+pp3+++=his
spots ^nns++++=spots
or ^cc++++=or
the ^ati++++=the
Ethiopian ^np+++??+=Ethiopian
his ^pp$+pp3+++=his
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
At ^rb++++=At
home ^nr++++=home,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lightest ^jjt+atrb+++=lightest
jar ^nn++++=jar
of ^in++++=of
discord ^nn++++=discord
disturbed ^vbd+++xvbn+=disturbed
him ^pp3o+pp3+++=him
painfully ^rb+cnj+++=painfully,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
low ^jj+atrb+++=low
vibration ^nn+nom+++=vibration
ceased ^vbd+++xvbn+=ceased
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
for ^in++++=for
many ^ap++++=many
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clouded ^jj+atrb++xvbn+=clouded
brow ^nn++++=brow
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife
ever ^rb++++=ever
threw ^vbd+++xvbn+=threw
his ^pp$+pp3+++=his
heart ^nn++++=heart
into ^in++++=into
shadow ^nn++++=shadow;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dusky ^nn+++??+=dusky
vail ^nn+++??+=vail
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
removed ^vpsv++agls+xvbnx+=removed,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
sunlight ^nn++++=sunlight
radiated ^vbd+++xvbn+=radiated
again ^rb+tm+++=again
from ^in++++=from
her ^pp$+pp3+++=her
countenance ^nn+nom+++=countenance.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
all ^abn++++=all
in ^rb++++=in
vain ^rb"++++=vain
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
be ^vbi++vrb++=be
indifferent ^jj+pred+++=indifferent
to ^in++++=to
these ^dt+dem+++=these
changeful ^nn+nom+++=changeful
moods ^nns++++=moods--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
keep ^vbi++++=keep
his ^pp$+pp3+++=his
spirits ^nns++++=spirits
above ^rb++++=above
their ^pp$+pp3+++=their
influence ^nn+nom+++=influence:
: ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
very ^ap+amp+++=very
effort ^nn++++=effort
at ^in++++=at
disenthralment ^nn+nom+++=disenthralment
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
more ^rbr++splt++=more
firmly ^rb++++=firmly
bound ^vbd+++xvbn+=bound.
. ^zz++++=EXTRAWORD
From ^in++++=From
some ^dti++++=some
cause ^nn++++=cause,
, ^zz++++=EXTRAWORD
unknown ^jj++++=unknown
to ^in++++=to
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
cloud ^nn++++=cloud
on ^in++++=on
the ^ati++++=the
brow ^nn++++=brow
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie
one ^cd1++++=one
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
her ^pp$+pp3+++=her
place ^nn++++=place
at ^in++++=at
the ^ati++++=the
breakfast ^nn++++=breakfast-table.
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Abercrombie ^np++++=Abercrombie
was ^vbd+bedz+aux++=was
