In ^in++++=IN
The ^ati++++=THE
very ^ql+amp+++=very
olden ^jj+atrb+++=olden
time ^nn++++=time,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
lived ^vprf+++xvbn+=lived
a ^at++++=a
semi ^nn+++??+=semi-barbaric
- ^zz++++=EXTRAWORD
barbaric ^jj+atrb+++=EXTRAWORD
king ^nn++++=king,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
somewhat ^rb+down+++=somewhat
polished ^jj++++=polished
and ^cc+phrs+++=and
sharpened ^jj+++xvbn+=sharpened
by ^in++++=by
the ^ati++++=the
progressiveness ^nns+nom+++=progressiveness
of ^in++++=of
distant ^jj+atrb+++=distant
Latin ^jj+atrb+++=Latin
neighbors ^nns++++=neighbors,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
still ^rb+atrb+++=still
large ^jj+pred+++=large,
, ^zz++++=EXTRAWORD
florid ^jj++++=florid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
untrammelled ^jj++++=untrammelled,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
became ^vbd+++xvbn+=became
the ^ati++++=the
half ^nn++++=half
of ^in++++=of
him ^pp3o+pp3+++=him
which ^whp+who+++=which
was ^vbd+bedz+vrb++=was
barbaric ^jj+pred+++=barbaric.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
of ^in++++=of
exuberant ^jj+atrb+++=exuberant
fancy ^nn++++=fancy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
withal ^rb+cnj+++=withal,
, ^zz++++=EXTRAWORD
of ^in++++=of
an ^at++++=an
authority ^nn+nom+++=authority
so ^rb+emph+++=so
irresistible ^jj++++=irresistible
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
at ^in++++=at
his ^pp$+pp3+++=his
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
his ^pp$+pp3+++=his
varied ^jj+atrb++xvbn+=varied
fancies ^nns++++=fancies
into ^in++++=into
facts ^nns++++=facts.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
greatly ^rb+amp+splt++=greatly
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
self ^nn++++=self-communing;
- ^zz++++=EXTRAWORD
communing ^jj+++xvbg+=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
and ^cc++++=and
himself ^ppl+pp3+++=himself
agreed ^vbd+vpub++xvbn+=agreed
upon ^in++++=upon
any ^dti++++=any
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
thing ^nn++++=thing
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
every ^at++++=every
member ^nn++++=member
of ^in++++=of
his ^pp$+pp3+++=his
domestic ^jj+atrb+++=domestic
and ^cc+phrs+++=and
political ^jj+atrb+++=political
systems ^nns++++=systems
moved ^vbd+++xvbn+=moved
smoothly ^rb++++=smoothly
in ^in++++=in
its ^pp$+it+++=its
appointed ^vbd+++xvbn+=appointed
course ^nn++++=course,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
nature ^nn++++=nature
was ^vbd+bedz+vrb++=was
bland ^jj+pred+++=bland
and ^cc+phrs+++=and
genial ^jj++++=genial;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
whenever ^nn+nom+++=whenever
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
hitch ^nn++++=hitch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
orbs ^vbz+++??+=orbs
got ^vprf+++xvbn+=got
out ^rb+phrv+++=out
of ^in++++=of
their ^pp$+pp3+++=their
orbits ^nns++++=orbits,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
blander ^jjr+pred+++=blander
and ^cc++++=and
more ^rbr++++=more
genial ^jj++++=genial
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
for ^in++++=for
nothing ^pn++++=nothing
pleased ^vbd+++xvbn+=pleased
him ^pp3o+pp3+++=him
so ^ql++++=so
much ^ap++++=much
as ^in++++=as
to ^in"++++=to
make ^vb++++=make
the ^ati++++=the
crooked ^jj++++=crooked
straight ^jj++++=straight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crush ^vb++++=crush
down ^in++++=down
uneven ^jj+atrb+++=uneven
places ^nns++++=places.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
borrowed ^jj+atrb++xvbn+=borrowed
notions ^nns+nom+++=notions
by ^in++++=by
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
barbarism ^nn+nom+++=barbarism
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
semified ^vbd+++xvbn+=semified
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
public ^jj+atrb+++=public
arena ^nn++++=arena,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
by ^in++++=by
exhibitions ^nns+nom+++=exhibitions
of ^in++++=of
manly ^jj+atrb+++=manly
and ^cc+phrs+++=and
beastly ^jj+atrb+++=beastly
valor ^np++++=valor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
minds ^nns++++=minds
of ^in++++=of
his ^pp$+pp3+++=his
