Within ^in++++=Within
a ^at++++=a
week ^nn++++=week
a ^at++++=a
suitable ^jj++++=suitable
building ^jj+++xvbg+=building
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
secured ^vpsv++agls+xvbnx+=secured
in ^in++++=in
the ^ati++++=the
Calle ^np+++??+=Calle
Grande ^&fw++++=Grande,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemstetter ^np+nom+++=Hemstetter's
's ^$++++=EXTRAWORD
stock ^nn++++=stock
of ^in++++=of
shoes ^nns++++=shoes
arranged ^vwbn+vsua++xvbn+=arranged
upon ^in++++=upon
their ^pp$+pp3+++=their
shelves ^nns++++=shelves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rent ^nn++++=rent
of ^in++++=of
the ^ati++++=the
store ^nn++++=store
was ^vbd+bedz+vrb++=was
moderate ^jj+pred+++=moderate;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stock ^nn++++=stock
made ^vbd+++xvbn+=made
a ^at++++=a
fine ^nn++++=fine
showing ^vwbg+vprv++xvbg+=showing
of ^in++++=of
neat ^jj+atrb+++=neat
white ^jj+atrb+++=white
boxes ^nns++++=boxes,
, ^zz++++=EXTRAWORD
attractively ^rb++++=attractively
displayed ^vbd+++xvbn+=displayed.
. ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
friends ^nns++++=friends
stood ^vwbn+++xvbn+=stood
by ^in++++=by
him ^pp3o+pp3+++=him
loyally ^rb++++=loyally.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
first ^rb++++=first
day ^nn++++=day
Keogh ^np+++??+=Keogh
strolled ^vbd+++xvbn+=strolled
into ^in++++=into
the ^ati++++=the
store ^nn++++=store
in ^in++++=in
a ^at++++=a
casual ^nn++++=casual
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
way ^nn++++=way
about ^in++++=about
once ^rb+tm+++=once
every ^at++++=every
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bought ^vbd+++xvbn+=bought
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
purchased ^vprf+++xvbnx+=purchased
a ^at++++=a
pair ^nn++++=pair
each ^dt++++=each
of ^in++++=of
extension ^nn++++=extension
soles ^nns++++=soles,
, ^zz++++=EXTRAWORD
congress ^nns+nom+++=congress
gaiters ^nns+nom+++=gaiters,
, ^zz++++=EXTRAWORD
button ^nn++++=button
kids ^nns++++=kids,
, ^zz++++=EXTRAWORD
low ^jj++++=low-quartered
- ^zz++++=EXTRAWORD
quartered ^vprf+++xvbn+=EXTRAWORD
calfs ^nns+++??+=calfs,
, ^zz++++=EXTRAWORD
dancing ^vbg+++xvbg+=dancing
pumps ^nns++++=pumps,
, ^zz++++=EXTRAWORD
rubber ^nn++++=rubber
