Being ^vbg+beg++xvbg+=Being
A ^at++++=A
Modern ^jj++++=Modern-Antique
- ^zz++++=EXTRAWORD
antique ^jj+atrb+++=EXTRAWORD
Realistic ^jj+atrb+++=Realistic
Romance ^nn+nom+++=Romance
( ^zz++++=(Compiled
compiled ^vbd+++xvbn+=EXTRAWORD
from ^in++++=from
several ^ap++++=several
eminent ^jj+atrb+++=eminent
sources ^nns++++=sources)
) ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemeth ^vbz+seem+++=seemeth
but ^cc++++=but
fair ^jj++++=fair
that ^dt+dem+++=that
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
John ^np++++=John
Longbowe ^np+++??+=Longbowe,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
set ^vbd+++xvbn+=set
down ^rb+phrv+++=down
this ^dt+dem+++=this
account ^nn++++=account
of ^in++++=of
such ^abl++++=such
hap ^nn+++??+=hap
and ^cc++++=and
adventure ^nn++++=adventure
as ^ql++++=as
hath ^vbz+hvz+aux++=hath
befallen ^vprf+++xvbn+=befallen
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
without ^in++++=without
flourish ^nn++++=flourish,
, ^zz++++=EXTRAWORD
vaporing ^jj+++xvbg+=vaporing,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
cozening ^nvbg+++xvbg+=cozening
of ^in++++=of
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
becometh ^vbz++++=becometh
one ^cd1++++=one
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
being ^vbg+beg++xvbg+=being
a ^at++++=a
ready ^jj+atrb+++=ready
writer ^nn++++=writer,
, ^zz++++=EXTRAWORD
goeth ^vbz++++=goeth
straight ^rb++++=straight
to ^in++++=to
the ^ati++++=the
matter ^nn++++=matter
in ^in++++=in
hand ^nn++++=hand
in ^in++++=in
few ^ap++++=few
words ^nns++++=words.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
offend ^vb++++=offend
some ^dti++++=some,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
yet ^rb++splt++=yet
convince ^vb++++=convince
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
the ^ati++++=the
which ^whp+who+++=which
lieth ^vbz++++=lieth
closer ^rbr++++=closer
to ^in++++=to
my ^pp$+pp1+++=my
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
year ^nn++++=year
1560 ^cd++++=1560,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
1650 ^cd+date+++=1650,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
mayhap ^nn+++??+=mayhap
1710 ^cd+date+++=1710--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
memory ^nn++++=memory
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
what ^wdt+who+++=what
it ^pp3+it+++=it
hath ^vbz+hvz+aux++=hath
been ^vprf+ben+vrb+xvbnx+=been
and ^cc++++=and
I ^pp1a+pp1+++=I
ever ^rb++++=ever
cared ^vprf+++xvbn+=cared
little ^ap++++=little
for ^in++++=for
monkish ^jj+atrb+++=monkish
calendars ^nns++++=calendars
or ^cc++++=or
such ^abl++++=such
dry ^jj++++=dry-as-dust
- ^zz++++=EXTRAWORD
as ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dust ^nn++++=EXTRAWORD
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
