A ^at++++=A
train ^nn++++=train
of ^in++++=of
circus ^npl++++=circus-wagons,
- ^zz++++=EXTRAWORD
wagons ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
strung ^xvbn+++xvbn+=strung
along ^rb+phrv+++=along
a ^at++++=a
dusty ^jj+atrb+++=dusty
road ^nn++++=road,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Santa ^&fw++++=Santa
Clara ^np++++=Clara
Valley ^nn++++=Valley,
, ^zz++++=EXTRAWORD
crept ^j+++xvbn+=crept
slowly ^rb++++=slowly
under ^in++++=under
the ^ati++++=the
beating ^jj+atrb++xvbg+=beating
heat ^nn++++=heat
of ^in++++=of
a ^at++++=a
July ^nr++++=July
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dust ^nn++++=dust
rolled ^vbd+++xvbn+=rolled
in ^in++++=in
clouds ^nns++++=clouds
over ^in++++=over
the ^ati++++=the
gaudy ^jj+atrb+++=gaudy
wagons ^nns++++=wagons
of ^in++++=of
the ^ati++++=the
menagerie ^nn++++=menagerie.
. ^zz++++=EXTRAWORD
The ^ati++++=The
outer ^jjb+atrb+++=outer
doors ^nns++++=doors
of ^in++++=of
the ^ati++++=the
cages ^nns++++=cages
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
opened ^vpsv++agls+xvbnx+=opened
to ^to++++=to
give ^vbi++++=give
access ^nn++++=access
of ^in++++=of
air ^nn++++=air
to ^in++++=to
the ^ati++++=the
panting ^jj+atrb++xvbg+=panting
animals ^nns+nom+++=animals,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
the ^ati++++=the
air ^nn++++=air
came ^vbd+++xvbn+=came
the ^ati++++=the
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dust ^nn++++=dust
annoyed ^jj+atrb+++=annoyed
Romulus ^np+++??+=Romulus
greatly ^rb+amp+++=greatly.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
before ^cs+sub+++=before
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
longed ^vbd+++xvbnx+=longed
for ^in++++=for
freedom ^nn+nom+++=freedom
so ^rb++++=so
intensely ^rb+amp+++=intensely.
. ^zz++++=EXTRAWORD
Ever ^rb++++=Ever
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
could ^md+pos+++=could
remember ^nn+nom+++=remember
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
a ^at++++=a
cage ^nn++++=cage
like ^in++++=like
this ^dt+pdem+++=this;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
so ^ql++++=so
all ^abn++++=all
through ^in++++=through
his ^pp$+pp3+++=his
childhood ^nn+nom+++=childhood
and ^cc++++=and
youth ^nn++++=youth.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
trace ^nn++++=trace
in ^in++++=in
his ^pp$+pp3+++=his
memory ^nn++++=memory
of ^in++++=of
days ^nns++++=days
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
of ^in++++=of
a ^at++++=a
time ^nn++++=time
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
free ^jj++++=free.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
the ^ati++++=the
faintest ^jjt+atrb+++=faintest
recollection ^nn+nom+++=recollection
existed ^vbd+++xvbn+=existed
of ^in++++=of
the ^ati++++=the
time ^nn++++=time
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
swung ^vprf+++xvbnx+=swung
in ^in++++=in
the ^ati++++=the
branches ^nns++++=branches
of ^in++++=of
equatorial ^jj+atrb+++=equatorial
forests ^nns++++=forests.
. ^zz++++=EXTRAWORD
To ^in++++=To
him ^pp3o+pp3+++=him
life ^nn++++=life
was ^vbd+bedz+vrb++=was
a ^at++++=a
desolation ^nn+nom+++=desolation
and ^cc++++=and
a ^at++++=a
despair ^nn++++=despair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
poignancy ^nn+++??+=poignancy
of ^in++++=of
it ^pp3+it+++=it
all ^rb++++=all
was ^vbd+bedz+aux++=was
sharpened ^vpsv++by+xvbnx+=sharpened
by ^in++++=by
the ^ati++++=the
clouds ^nns++++=clouds
of ^in++++=of
dust ^nn++++=dust
which ^whp+rel+subj++=which
rolled ^vbd+++xvbn+=rolled
through ^in++++=through
the ^ati++++=the
grated ^jj+atrb++xvbn+=grated
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Romulus ^np+++??+=Romulus,
, ^zz++++=EXTRAWORD
thereupon ^rb+cnj+++=thereupon,
, ^zz++++=EXTRAWORD
sought ^jj+atrb++xvbn+=sought
means ^nns++++=means
of ^in++++=of
escape ^nn++++=escape.
. ^zz++++=EXTRAWORD
Nimble ^np+++??+=Nimble,
, ^zz++++=EXTRAWORD
deft ^jj++++=deft,
, ^zz++++=EXTRAWORD
sharp ^jj++++=sharp-sighted,
- ^zz++++=EXTRAWORD
sighted ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
weak ^jj+atrb+++=weak
place ^nn++++=place
in ^in++++=in
his ^pp$+pp3+++=his
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
worked ^j+++xvbn+=worked
it ^pp3+it+++=it
open ^jj++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaped ^vbd+++xvbn+=leaped
forth ^rp++++=forth
upon ^in++++=upon
the ^ati++++=the
highway ^nn++++=highway
a ^at++++=a
free ^jj+atrb+++=free
anthropoid ^nn+++??+=anthropoid
ape ^nn++++=ape.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
the ^ati++++=the
sleepy ^jj+atrb+++=sleepy,
, ^zz++++=EXTRAWORD
weary ^jj+atrb+++=weary
drivers ^nns+nom+++=drivers
noticed ^vbd+vprv+tht0+xvbn+=noticed
his ^pp$+pp3+++=his
escape ^nn++++=escape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
proper ^jj+atrb+++=proper
sense ^nn++++=sense
of ^in++++=of
caution ^nn+nom+++=caution
caused ^vbd+++xvbn+=caused
him ^pp3o+pp3+++=him
to ^to++++=to
seek ^vbi++++=seek
security ^nn+nom+++=security
under ^in++++=under
a ^at++++=a
way ^nn++++=way-side
- ^zz++++=EXTRAWORD
side ^nn++++=EXTRAWORD
shrub ^nn++++=shrub
until ^cs+sub+++=until
the ^ati++++=the
procession ^nn++++=procession
had ^vb+hv+aux++=had
safely ^rb++splt++=safely
passed ^vprf+++xvbnx+=passed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
whole ^jj+atrb+++=whole
world ^nn++++=world
lay ^vbd+++xvbn+=lay
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
freedom ^nn+nom+++=freedom
was ^vbd+bedz+vrb++=was
large ^jj+pred+++=large
and ^cc++++=and
sweet ^nn++++=sweet,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
perplexing ^jj++++=perplexing.
. ^zz++++=EXTRAWORD
An ^at++++=An
almost ^rb+hdg+++=almost
instinctive ^jj+atrb+++=instinctive
leap ^nn++++=leap
to ^to++++=to
catch ^vbi++++=catch
the ^ati++++=the
trapeze ^nn++++=trapeze-bar
- ^zz++++=EXTRAWORD
bar ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
hung ^vprf+++xvbnx+=hung
in ^in++++=in
his ^pp$+pp3+++=his
cage ^nn++++=cage
brought ^vbd+++xvbn+=brought
his ^pp$+pp3+++=his
hands ^nns++++=hands
in ^in++++=in
contact ^in"++++=contact
with ^in"++++=with
only ^rb+down+++=only
