Human ^jj+atrb+++=Human
Odds ^nns++++=Odds
and ^cc++++=and
Ends ^nns++++=Ends:
: ^zz++++=EXTRAWORD
Stories ^nns++++=Stories
and ^cc++++=and
Sketches ^nns++++=Sketches
( ^zz++++=(1898)
1898 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
The ^ati++++=The
ordinary ^jj+atrb+++=ordinary
West ^nr+pl+++=West-End
- ^zz++++=EXTRAWORD
end ^nn++++=EXTRAWORD
Londoner ^nn+nom+++=Londoner--who
-- ^--+clp+++=EXTRAWORD
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
a ^at++++=a
citizen ^nn++++=citizen
of ^in++++=of
no ^at++++=no
city ^nn++++=city
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
dwells ^vbz++++=dwells
amid ^in++++=amid
a ^at++++=a
mere ^jjb+atrb+++=mere
conglomerate ^nn+nom+++=conglomerate
of ^in++++=of
houses ^nns++++=houses
at ^in++++=at
a ^at++++=a
certain ^jj+atrb+++=certain
distance ^nn+nom+++=distance
from ^in++++=from
Charing ^np++++=Charing
Cross ^jj++++=Cross--has
-- ^--+clp+++=EXTRAWORD
has ^vbz+hvz+aux++=EXTRAWORD
known ^vprf+++xvbnx+=known
a ^at++++=a
fleeting ^jj+atrb+++=fleeting
surprise ^nn++++=surprise
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
by ^in++++=by
rare ^jj+atrb+++=rare
chance ^nn++++=chance,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eye ^nn++++=eye
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
some ^dti++++=some
such ^abl++++=such
newspaper ^nn+nom+++=newspaper
as ^in++++=as
the ^ati++++=the
Battersea ^np++++=Battersea
Times ^nns++++=Times,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Camberwell ^np+++??+=Camberwell
Mercury ^np++++=Mercury,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
Islington ^np+++??+=Islington
Gazette ^nn+nom+++=Gazette.
. ^zz++++=EXTRAWORD
To ^in++++=To
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
and ^cc++++=and
the ^ati++++=the
like ^in++++=like
districts ^nns++++=districts
are ^vb+ber+vrb++=are
nothing ^pn++++=nothing
more ^rbr++++=more
than ^in++++=than
compass ^nn++++=compass
points ^nns++++=points
of ^in++++=of
the ^ati++++=the
huge ^jj+atrb+++=huge
metropolis ^nn++++=metropolis.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
be ^vb+be+vrb++=be
in ^in++++=in
practice ^nn++++=practice
acquainted ^vwbn+++xvbn+=acquainted
with ^in++++=with
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
historically ^rb++++=historically
inclined ^vbd+++xvbn+=inclined,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
may ^md+pos+++=may
think ^vb+vprv+++=think
of ^in++++=of
them ^pp3o+pp3+++=them
as ^in++++=as
old ^jj++++=old-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
villages ^nns+nom+++=villages
swallowed ^vbd+++xvbn+=swallowed
up ^rp++++=up
by ^in++++=by
insatiable ^jj+atrb+++=insatiable
London ^np++++=London;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
grasped ^vprf+++xvbnx+=grasped
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
in ^in++++=in
Battersea ^np++++=Battersea,
, ^zz++++=EXTRAWORD
Camberwell ^np+++??+=Camberwell,
, ^zz++++=EXTRAWORD
Islington ^np+++??+=Islington,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
people ^nns++++=people
living ^vwbg+++xvbg+=living
who ^whp+who+++=who
name ^nn++++=name
these ^dt+dem+++=these
places ^nns++++=places
as ^ql++++=as
their ^pp$+pp3+++=their
home ^nr++++=home;
; ^zz++++=EXTRAWORD
who ^whp+who+whq++=who
are ^vb+ber+aux++=are
born ^vpsv++agls+xvbnx+=born,
, ^zz++++=EXTRAWORD
subsist ^nn+nom+++=subsist,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
die ^vb++++=die
there ^rn+pl+++=there
as ^cs+sub+++=as
though ^cs+sub+++=though
in ^in++++=in
a ^at++++=a
distinct ^jj+atrb+++=distinct
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
practically ^rb+down+++=practically
without ^in++++=without
consciousness ^nns+nom+++=consciousness
of ^in++++=of
its ^pp$+it+++=its
obliteration ^nn+nom+++=obliteration
in ^in++++=in
the ^ati++++=the
map ^nn++++=map
of ^in++++=of
a ^at++++=a
world ^nn++++=world
capital ^nn++++=capital.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stable ^jj+atrb+++=stable
element ^nn+nom+++=element
of ^in++++=of
this ^dt+dem+++=this
population ^nn+nom+++=population
consists ^nns+nom+++=consists
of ^in++++=of
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^vwbn+++xvbn+=EXTRAWORD
people ^nns++++=people.
. ^zz++++=EXTRAWORD
Round ^in++++=Round
about ^rb++++=about
them ^pp3o+pp3+++=them
is ^vbz+bez+vrb++=is
the ^ati++++=the
ceaseless ^jj++++=ceaseless
coming ^jj+++xvbg+=coming
and ^cc+phrs+++=and
going ^jj+++xvbg+=going
of ^in++++=of
nomads ^nns++++=nomads
who ^whp+rel+subj++=who
keep ^vb++++=keep
abreast ^rb++++=abreast
with ^in++++=with
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
take ^vb++++=take
their ^pp$+pp3+++=their
lodgings ^nns++++=lodgings
by ^in++++=by
the ^ati++++=the
week ^nn++++=week,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
houses ^nns++++=houses
by ^in++++=by
the ^ati++++=the
month ^nn++++=month;
; ^zz++++=EXTRAWORD
who ^whp+who+++=who
camp ^nn++++=camp
indifferently ^rb++++=indifferently
in ^in++++=in
regions ^nns++++=regions
old ^jj++++=old
and ^cc+phrs+++=and
new ^jj++++=new,
, ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning
their ^pp$+pp3+++=their
geography ^nn++++=geography
in ^in++++=in
train ^nn++++=train
and ^cc++++=and
tram ^nn+++??+=tram-car.
- ^zz++++=EXTRAWORD
car ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Abiding ^jj+atrb+++=Abiding
parishioners ^nns+nom+++=parishioners
are ^vb+ber+vrb++=are
wont ^nn++++=wont
to ^to++++=to
be ^vbi++vrb++=be
either ^dtx++++=either
very ^ql+amp+++=very
poor ^jj++++=poor
or ^cc+phrs+++=or
established ^jj+++xvbn+=established
in ^in++++=in
a ^at++++=a
moderate ^jj+atrb+++=moderate
prosperity ^nn+nom+++=prosperity;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
lack ^vb++++=lack
enterprise ^nn++++=enterprise,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
for ^in++++=for
good ^jj++++=good
or ^cc+phrs+++=or
ill ^jj++++=ill:
: ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
comfortably ^rb++++=comfortably
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
owe ^vb++++=owe
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
rule ^nn++++=rule,
, ^zz++++=EXTRAWORD
to ^in++++=to
some ^dti++++=some
predecessor ^nn++++=predecessor's
's ^$++++=EXTRAWORD
exertion ^nn+nom+++=exertion.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
for ^in++++=for
the ^ati++++=the
most ^ap+emph+++=most
part ^nn++++=part,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
little ^ap++++=little
enough ^qlp++++=enough
endowed ^vwbn+++xvbn+=endowed
with ^in++++=with
the ^ati++++=the
civic ^jj+atrb+++=civic
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
abundantly ^rb++++=abundantly
pride ^np++++=pride
themselves ^ppls+pp3+++=themselves
on ^in++++=on
their ^pp$+pp3+++=their
local ^jj+atrb+++=local
permanence ^nn+nom+++=permanence.
. ^zz++++=EXTRAWORD
Representative ^nn++++=Representative
of ^in++++=of
this ^dt+dem+++=this
class ^nn++++=class
was ^vbd+bedz+vrb++=was
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Archibald ^np++++=Archibald
Jordan ^np++++=Jordan,
, ^zz++++=EXTRAWORD
a ^at++++=a
native ^nn++++=native
of ^in++++=of
Islington ^np+++??+=Islington,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
five ^cd++++=five-and-forty,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
forty ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
faithful ^jj++++=faithful
to ^in++++=to
the ^ati++++=the
streets ^nns++++=streets
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
trodden ^vprf+++xvbn+=trodden
as ^ql++++=as
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^npt++++=father
started ^vbd+++xvbn+=started
a ^at++++=a
small ^jj+atrb+++=small
grocery ^nn+nom+++=grocery
business ^nns+nom+++=business
in ^in++++=in
Upper ^jjb+atrb+++=Upper
Street ^nn++++=Street;
; ^zz++++=EXTRAWORD
Archibald ^np++++=Archibald
succeeded ^vbd+++xvbn+=succeeded
to ^in++++=to
the ^ati++++=the
shop ^nn++++=shop,
, ^zz++++=EXTRAWORD
advanced ^j+++xvbn+=advanced
soberly ^jj++++=soberly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
length ^rb"++++=length
admitted ^vbd+vpub++xvbn+=admitted
a ^at++++=a
partner ^nn++++=partner,
, ^zz++++=EXTRAWORD
by ^in++++=by
whose ^whp+rel+pied++=whose
capital ^nn++++=capital
and ^cc++++=and
energy ^nn++++=energy
the ^ati++++=the
business ^nns+nom+++=business
was ^vbd+bedz+vrb++=was
much ^ap++++=much
increased ^jj+++xvbn+=increased.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
his ^pp$+pp3+++=his
thirtieth ^vbz++++=thirtieth
year ^nn++++=year
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jordan ^np++++=Jordan
ceased ^vbd+++xvbn+=ceased
to ^to++++=to
stand ^vbi++++=stand
behind ^in+pl+++=behind
the ^ati++++=the
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
no ^at++++=no
very ^ql+amp+++=very
active ^jj+atrb+++=active
disposition ^nn+nom+++=disposition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
but ^cc++++=but
moderately ^rb++++=moderately
set ^vbd+++xvbn+=set
on ^in++++=on
gain ^vb++++=gain,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
pleasant ^jj++++=pleasant
to ^to+jcmp+++=to
spend ^vbi++++=spend
a ^ap++++=a
few ^ap"++++=few
hours ^nns++++=hours
daily ^jj++++=daily
over ^in++++=over
the ^ati++++=the
books ^nns++++=books
and ^cc++++=and
the ^ati++++=the
correspondence ^nn+nom+++=correspondence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
his ^pp$+pp3+++=his
time ^nn++++=time
to ^to++++=to
enjoy ^vbi++++=enjoy
a ^at++++=a
gossipy ^nn+++??+=gossipy
leisure ^nn++++=leisure,
, ^zz++++=EXTRAWORD
straying ^jj+++xvbg+=straying
among ^in++++=among
the ^ati++++=the
acquaintances ^nns+nom+++=acquaintances
of ^in++++=of
a ^at++++=a
lifetime ^nn++++=lifetime,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
making ^vbg+++xvbg+=making
new ^jj++++=new
in ^in++++=in
the ^ati++++=the
decorous ^jj+atrb+++=decorous
bar ^nn++++=bar-parlours,
- ^zz++++=EXTRAWORD
parlours ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
billiard ^nn++++=billiard-rooms,
