There ^ex+pex+++=THERE
was ^vbd+bedz+vrb++=was
no ^at++++=no
hope ^nn++++=hope
for ^in++++=for
him ^pp3o+pp3+++=him
this ^dt+dem+++=this
time ^nn++++=time:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
third ^nn++++=third
stroke ^nn++++=stroke.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
after ^cs+sub+++=after
night ^nn++++=night
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
the ^ati++++=the
house ^nn++++=house
( ^zz++++=(it
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
vacation ^nn+nom+++=vacation
time ^nn++++=time)
) ^zz++++=EXTRAWORD
and ^cc++++=and
studied ^vbd+++xvbn+=studied
the ^ati++++=the
lighted ^jj+++xvbn+=lighted
square ^npl++++=square
of ^in++++=of
window ^nn++++=window:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
night ^nn++++=night
after ^cs+sub+++=after
night ^nn++++=night
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
found ^vprf++tht0+xvbnx+=found
it ^pp3+it+++=it
lighted ^vbd+++xvbn+=lighted
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way,
, ^zz++++=EXTRAWORD
faintly ^rb++++=faintly
and ^cc+phrs+++=and
evenly ^rb++++=evenly.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
see ^vb+vprv+++=see
the ^ati++++=the
reflection ^nn+nom+++=reflection
of ^in++++=of
candles ^nns++++=candles
on ^in++++=on
the ^ati++++=the
darkened ^jj+++xvbn+=darkened
blind ^jj++++=blind
for ^in++++=for
I ^pp1a+pp1+++=I
