Half ^abn++++=Half
an ^at++++=an
hour ^nn++++=hour
passed ^vbd+++xvbn+=passed
after ^in++++=after
the ^ati++++=the
execution ^nn+nom+++=execution
of ^in++++=of
the ^ati++++=the
missionary ^nn+nom+++=missionary
before ^cs+sub+++=before
the ^ati++++=the
chiefs ^npt++++=chiefs
commenced ^vwbn+++xvbn+=commenced
their ^pp$+pp3+++=their
proceedings ^nns++++=proceedings
with ^in++++=with
the ^ati++++=the
corporal ^nn+nom+++=corporal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
delay ^nn++++=delay
was ^vbd+bedz+vrb++=was
owing ^in+cmpx+++=owing
to ^in"++++=to
a ^at++++=a
consultation ^nn+nom+++=consultation,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
The ^ati++++=The
Weasel ^nn++++=Weasel
had ^vbd+hvd+aux++=had
proposed ^vprf+++xvbnx+=proposed
despatching ^vbg+++xvbg+=despatching
a ^at++++=a
party ^nn++++=party
to ^in++++=to
the ^ati++++=the
castle ^nn++++=castle,
, ^zz++++=EXTRAWORD
to ^to++++=to
bring ^vbi++++=bring
in ^rb+phrv+++=in
the ^ati++++=the
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
make ^vb++++=make
a ^at++++=a
common ^jj+atrb+++=common
destruction ^nn+nom+++=destruction
of ^in++++=of
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
pale ^jj++++=pale-faces
- ^zz++++=EXTRAWORD
faces ^vbz++++=EXTRAWORD
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
be ^vbi++vrb++=be
in ^cs+sub+++=in
that ^cs"++++=that
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
Openings ^nns++++=Openings.
. ^zz++++=EXTRAWORD
Peter ^np++++=Peter
did ^vbd+dod+aux++=did
not ^xnot++not++=not
dare ^vb++++=dare
to ^to+vcmp+++=to
oppose ^vbi++++=oppose
this ^dt+dem+++=this
scheme ^nn++++=scheme,
, ^zz++++=EXTRAWORD
himself ^ppl+pp3+++=himself;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
so ^ql+emph+++=so
managed ^jj+++xvbn+=managed
as ^in++++=as
to ^in"++++=to
get ^vb++++=get
Crowsfeather ^np+nom++??+=Crowsfeather
to ^to++++=to
do ^vbi++++=do
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
without ^in++++=without
bringing ^xvbg+++xvbg+=bringing
himself ^ppl+pp3+++=himself
into ^in++++=into
the ^ati++++=the
foreground ^nn++++=foreground.
. ^zz++++=EXTRAWORD
The ^ati++++=The
influence ^nn+nom+++=influence
of ^in++++=of
the ^ati++++=the
Pottawattamie ^np+++??+=Pottawattamie
prevailed ^vbd+++xvbn+=prevailed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
decided ^vpsv++agls+xvbnx+=decided
to ^to+vcmp+++=to
torture ^vb++++=torture
this ^dt+dem+++=this
one ^cd1++++=one
captive ^nn++++=captive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
