Many ^ap++++=Many
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
way ^nn++++=way
from ^in++++=from
Hongkong ^np++++=Hongkong
to ^in++++=to
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
passed ^vbd+++xvbnx+=passed
a ^at++++=a
week ^nn++++=week
in ^in++++=in
San ^np++++=San
Francisco ^np++++=Francisco.
. ^zz++++=EXTRAWORD
A ^at++++=A
long ^jj+atrb+++=long
time ^nn++++=time
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
by ^in++++=by
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^cs+sub+++=in
that ^cs"++++=that
city ^nn++++=city,
, ^zz++++=EXTRAWORD
during ^in++++=during
which ^whp+rel+pied++=which
my ^pp$+pp1+++=my
ventures ^nns++++=ventures
in ^in++++=in
the ^ati++++=the
Orient ^np++++=Orient
had ^vbd+hvd+aux++=had
prospered ^vprf+++xvbnx+=prospered
beyond ^in++++=beyond
my ^pp$+pp1+++=my
hope ^nn++++=hope;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
rich ^jj+pred+++=rich
and ^cc++++=and
could ^md+pos+++=could
afford ^vb++++=afford
to ^to+vcmp+++=to
revisit ^vbi++++=revisit
my ^pp$+pp1+++=my
own ^ap++++=own
country ^nn++++=country
to ^to++++=to
renew ^vbi++++=renew
my ^pp$+pp1+++=my
friendship ^nn+nom+++=friendship
with ^in++++=with
such ^abl++++=such
of ^in++++=of
the ^ati++++=the
companions ^nns++++=companions
of ^in++++=of
my ^pp$+pp1+++=my
youth ^nn++++=youth
as ^cs+sub+++=as
still ^rb++++=still
lived ^vbd+++xvbn+=lived
and ^cc+phrs+++=and
remembered ^vbd+vprv++xvbn+=remembered
me ^pp1o+pp1+++=me
with ^in++++=with
the ^ati++++=the
old ^jj+atrb+++=old
affection ^nn+nom+++=affection.
. ^zz++++=EXTRAWORD
Chief ^jjb++++=Chief
of ^in++++=of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hoped ^vbd+vprv++xvbnx+=hoped,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Mohun ^np+++??+=Mohun
Dampier ^np+++??+=Dampier,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
schoolmate ^nn+nom+++=schoolmate
with ^in++++=with
