When ^wrb+who+++=When
Major ^jj+atrb+++=Major
Pendleton ^np++++=Pendleton
Talbot ^np++++=Talbot,
, ^zz++++=EXTRAWORD
of ^in++++=of
Mobile ^jj++++=Mobile,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Lydia ^np++++=Lydia
Talbot ^np++++=Talbot,
, ^zz++++=EXTRAWORD
came ^j+++xvbn+=came
to ^in++++=to
Washington ^np++++=Washington
to ^to++++=to
reside ^vbi++++=reside,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
selected ^vbd+++xvbnx+=selected
for ^in++++=for
a ^at++++=a
boarding ^nn++++=boarding
place ^nn++++=place
a ^at++++=a
house ^npl++++=house
that ^tht+rel+subj++=that
stood ^vbd+++xvbn+=stood
fifty ^cd++++=fifty
yards ^nns++++=yards
back ^jjb++++=back
from ^in++++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
quietest ^jjt+atrb+++=quietest
avenues ^nns++++=avenues.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^jj+atrb++xvbn+=EXTRAWORD
brick ^nn++++=brick
building ^vwbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
portico ^nn+++??+=portico
upheld ^nn+++??+=upheld
by ^in++++=by
tall ^jj+atrb+++=tall
white ^jj+atrb+++=white
pillars ^nns++++=pillars.
. ^zz++++=EXTRAWORD
The ^ati++++=The
yard ^nn++++=yard
was ^vbd+bedz+aux++=was
shaded ^vpsv++by+xvbnx+=shaded
by ^in++++=by
stately ^jj+atrb+++=stately
locusts ^nns+++??+=locusts
and ^cc++++=and
elms ^nns++++=elms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
catalpa ^nn+++??+=catalpa
tree ^nn++++=tree
in ^in++++=in
season ^nn++++=season
rained ^vbd+++xvbn+=rained
its ^pp$+it+++=its
pink ^nn++++=pink
and ^cc++++=and
white ^jj+atrb+++=white
blossoms ^nns+++??+=blossoms
upon ^in++++=upon
the ^ati++++=the
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
Rows ^nns++++=Rows
of ^in++++=of
high ^jj+atrb+++=high
box ^nn++++=box
bushes ^nns++++=bushes
lined ^vbd+++xvbn+=lined
the ^ati++++=the
fence ^nn++++=fence
and ^cc++++=and
walks ^nns++++=walks.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
