A ^at++++=A
world ^nn++++=world
had ^vbd+hvd+aux++=had
collapsed ^vprf+++xvbnx+=collapsed
around ^rp++++=around
this ^dt+dem+++=this
man ^nn++++=man
a ^at++++=a
world ^nn++++=world
that ^tht+rel+subj++=that
would ^md+prd+++=would
never ^rb++splt++=never
shout ^vb++++=shout
his ^pp$+pp3+++=his
praises ^nns++++=praises
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
burned ^jj+++xvbn+=burned-out
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
cities ^nns++++=cities
were ^vbd+bed+vrb++=were
still ^rb++++=still
and ^cc++++=and
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
twisted ^jj+atrb++xvbn+=twisted
bodies ^nns++++=bodies
and ^cc++++=and
twisted ^xvbn+++xvbn+=twisted
souls ^nns++++=souls
giving ^vwbg+++xvbg+=giving
him ^pp3o+pp3+++=him
their ^pp$+pp3+++=their
last ^rb++++=last
salute ^vb++++=salute
in ^in++++=in
death ^nn++++=death.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
alone ^jj++++=alone
surrounded ^vpsv++by+xvbn+=surrounded
by ^in++++=by
memories ^nns++++=memories,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
and ^cc++++=and
waiting ^nvbg+++xvbg+=waiting
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=THERE
were ^vbd+bed+vrb++=were
four ^cd++++=four
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
lifeboat ^nn++++=lifeboat
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
down ^rp++++=down
from ^in++++=from
the ^ati++++=the
space ^nn++++=space-cruiser.
- ^zz++++=EXTRAWORD
cruiser ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
still ^rb++++=still
in ^in++++=in
the ^ati++++=the
uniform ^nn++++=uniform
of ^in++++=of
the ^ati++++=the
Galactic ^np+++??+=Galactic
Guards ^nns++++=Guards.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fourth ^od++++=fourth
sat ^vbd+++xvbn+=sat
in ^in++++=in
the ^ati++++=the
prow ^nn++++=prow
of ^in++++=of
the ^ati++++=the
small ^jj+atrb+++=small
craft ^nn++++=craft
looking ^vwbg+++xvbg+=looking
down ^rp++++=down
at ^rb++++=at
their ^pp$+pp3+++=their
goal ^nn++++=goal,
, ^zz++++=EXTRAWORD
hunched ^j+++xvbn+=hunched
and ^cc+phrs+++=and
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
bundled ^j+++xvbn+=bundled
up ^rp++++=up
in ^in++++=in
a ^at++++=a
greatcoat ^nn+++??+=greatcoat
against ^in++++=against
the ^ati++++=the
coolness ^nns+nom+++=coolness
of ^in++++=of
space ^nn++++=space
a ^at++++=a
greatcoat ^nn+++??+=greatcoat
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
would ^md+prd+++=would
never ^rb++splt++=never
need ^vb++++=need
again ^rb+tm+++=again
after ^in++++=after
this ^dt+dem+++=this
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
brim ^nn++++=brim
of ^in++++=of
his ^pp$+pp3+++=his
hat ^nn++++=hat
was ^vbd+bedz+aux++=was
pulled ^vpsv++agls+xvbnx+=pulled
down ^rb+phrv+++=down
far ^rb+pl+++=far
over ^in++++=over
his ^pp$+pp3+++=his
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
studied ^vbd+++xvbnx+=studied
the ^ati++++=the
nearing ^jj+atrb++xvbg+=nearing
shore ^nn++++=shore
through ^in++++=through
dark ^jj++++=dark-lensed
- ^zz++++=EXTRAWORD
lensed ^jj+atrb++xvbn+=EXTRAWORD
glasses ^nns++++=glasses.
. ^zz++++=EXTRAWORD
Bandages ^nns+nom+++=Bandages,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
for ^in++++=for
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
jaw ^nn++++=jaw,
, ^zz++++=EXTRAWORD
covered ^j+++xvbn+=covered
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
lower ^jjr+atrb+++=lower
part ^nn++++=part
of ^in++++=of
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
realized ^vbd+vprv++xvbnx+=realized
suddenly ^rb++++=suddenly
that ^cs+sub+++=that
the ^ati++++=the
dark ^jj+atrb+++=dark
glasses ^nns++++=glasses,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
the ^ati++++=the
cruiser ^nn++++=cruiser,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
unnecessary ^jj+pred+++=unnecessary.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
slipped ^vbd+++xvbnx+=slipped
them ^pp3o+pp3+++=them
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
cinematographic ^jj+atrb+++=cinematographic
grays ^nns+++??+=grays
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
through ^rb+phrv+++=through
these ^dt+dem+++=these
lenses ^nns++++=lenses
for ^in++++=for
so ^ql++++=so
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
the ^ati++++=the
brilliance ^nn+nom+++=brilliance
of ^in++++=of
the ^ati++++=the
color ^nn++++=color
below ^rb++++=below
him ^pp3o+pp3+++=him
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
like ^in++++=like
a ^at++++=a
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
blinked ^vbd+++xvbnx+=blinked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
rapidly ^rb++splt++=rapidly
settling ^nvbg+++xvbg+=settling
toward ^in++++=toward
a ^at++++=a
shoreline ^nn+++??+=shoreline,
, ^zz++++=EXTRAWORD
a ^at++++=a
beach ^nn++++=beach.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sand ^nn++++=sand
was ^vbd+bedz+vrb++=was
a ^at++++=a
dazzling ^nvbg+++xvbg+=dazzling,
, ^zz++++=EXTRAWORD
unbelievable ^jj++++=unbelievable
white ^jj++++=white
such ^abl++++=such
as ^ql++++=as
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
his ^pp$+pp3+++=his
home ^nr++++=home
planet ^nn++++=planet.
. ^zz++++=EXTRAWORD
Blue ^jj++++=Blue
the ^ati++++=the
sky ^nn++++=sky
and ^cc++++=and
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
green ^nn++++=green
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
fantastic ^jj+atrb+++=fantastic
jungle ^nn++++=jungle.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
flash ^nn++++=flash
of ^in++++=of
red ^nn++++=red
in ^in++++=in
the ^ati++++=the
green ^nn++++=green,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
still ^jj+pred+++=still
closer ^rbr++++=closer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
realized ^vbd+vprv++xvbnx+=realized
suddenly ^rb++++=suddenly
that ^cs+sub+++=that
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
a ^at++++=a
marigee ^nn++++=marigee,
, ^zz++++=EXTRAWORD
the ^ati++++=the
semi ^nn+++??+=semi-intelligent
- ^zz++++=EXTRAWORD
intelligent ^jj+atrb+++=EXTRAWORD
Venusian ^np+++??+=Venusian
parrot ^nn++++=parrot
once ^rb+tm+++=once
so ^ql+emph+++=so
popular ^jj++++=popular
as ^ql++++=as
pets ^nns++++=pets
throughout ^in++++=throughout
the ^ati++++=the
solar ^jj+atrb+++=solar
system ^nn++++=system.
. ^zz++++=EXTRAWORD
Throughout ^in++++=Throughout
the ^ati++++=the
system ^nn++++=system
blood ^nn++++=blood
and ^cc++++=and
steel ^nn++++=steel
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
from ^in++++=from
the ^ati++++=the
sky ^nn++++=sky
and ^cc++++=and
ravished ^vbd+++xvbn+=ravished
the ^ati++++=the
planets ^nns++++=planets,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now
it ^pp3+it+++=it
fell ^vbd+++xvbn+=fell
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
in ^in++++=in
this ^dt+dem+++=this
forgotten ^jj+atrb++xvbn+=forgotten
portion ^nn+nom+++=portion
of ^in++++=of
an ^at++++=an
almost ^rb+hdg+++=almost
completely ^rb+amp+++=completely
destroyed ^vbd+++xvbn+=destroyed
world ^nn++++=world
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
fallen ^vprf+++xvbn+=fallen
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
in ^in++++=in
some ^dti++++=some
place ^nn++++=place
like ^in++++=like
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
safety ^nn++++=safety
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Elsewhere ^rb++++=Elsewhere
anywhere ^rb++++=anywhere
imprisonment ^nn+nom+++=imprisonment
or ^cc++++=or,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
likely ^jj++++=likely,
, ^zz++++=EXTRAWORD
death ^nn++++=death.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
danger ^nn++++=danger,
, ^zz++++=EXTRAWORD
even ^rb++++=even
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
of ^in++++=of
the ^ati++++=the
crew ^nn++++=crew
of ^in++++=of
the ^ati++++=the
space ^nn++++=space-cruiser
- ^zz++++=EXTRAWORD
cruiser ^nn++++=EXTRAWORD
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
Perhaps ^rb+cnj+++=Perhaps,
, ^zz++++=EXTRAWORD
someday ^rb+cnj+++=someday,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
would ^md+prd+++=would
talk ^vb++++=talk.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
would ^md+prd+++=would
come ^vb++++=come
for ^in+ppvb+++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
even ^rb++++=even
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
was ^vbd+bedz+vrb++=was
a ^at++++=a
chance ^nn++++=chance
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
avoid ^vb++++=avoid.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
were ^vbd+bed+vrb++=were
the ^ati++++=the
odds ^nns++++=odds
bad ^jj++++=bad,
, ^zz++++=EXTRAWORD
for ^in++++=for
three ^cd++++=three
people ^nns++++=people
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
whole ^jj+atrb+++=whole
solar ^jj+atrb+++=solar
system ^nn++++=system
knew ^vbd+vprv++xvbn+=knew
where ^wrb+who+whcl++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
those ^dt+dem+++=those
three ^cd++++=three
were ^vbd+bed+vrb++=were
loyal ^jj+atrb+++=loyal
fools ^nns++++=fools.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lifeboat ^nn++++=lifeboat
came ^vbd+++xvbn+=came
gently ^rb++++=gently
to ^in++++=to
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hatch ^nn++++=hatch
swung ^vbd+++xvbn+=swung
open ^jj++++=open
and ^cc++++=and
he ^pp3a+pp3+++=he
stepped ^vbd+++xvbnx+=stepped
out ^rp+pl+++=out
and ^cc++++=and
walked ^vbd+++xvbn+=walked
a ^ap++++=a
few ^ap"++++=few
paces ^nns++++=paces
up ^rp++++=up
the ^ati++++=the
beach ^nn++++=beach.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
waited ^vbd+++xvbn+=waited
while ^cs+sub+++=while
the ^ati++++=the
two ^cd++++=two
spacemen ^vprf+++xvbn+=spacemen
