All ^abn++++=ALL
over ^in++++=over
the ^ati++++=the
pavement ^nn+nom+++=pavement
of ^in++++=of
the ^ati++++=the
church ^npl++++=church
spread ^vbd+++xvbn+=spread
the ^ati++++=the
exaggerated ^jj+++xvbn+=exaggerated
cross ^jj++++=cross-hatching
- ^zz++++=EXTRAWORD
hatching ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
pews ^nns++++=pews'
' ^zz++++=EXTRAWORD
oak ^nn++++=oak,
, ^zz++++=EXTRAWORD
a ^at++++=a
Smithfield ^np++++=Smithfield
market ^nn++++=market
of ^in++++=of
intersecting ^jj+atrb+++=intersecting
lines ^nns++++=lines
such ^abl++++=such
as ^ql++++=as
children ^nns++++=children
made ^vbd+++xvbn+=made
with ^in++++=with
cards ^nns++++=cards
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
days ^nns++++=days
when ^wrb+who+++=when
kings ^nns++++=kings
and ^cc++++=and
knaves ^nns++++=knaves
had ^vb+hv+vrb++=had
fat ^nn++++=fat
legs ^nns++++=legs
bulging ^vwbg+++xvbg+=bulging
above ^rb++++=above
their ^pp$+pp3+++=their
serviceable ^jj+atrb+++=serviceable
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
queens ^npt++++=queens
had ^vb+hv+vrb++=had
skirts ^nns++++=skirts
to ^in++++=to
their ^pp$+pp3+++=their
gowns ^nns++++=gowns
and ^cc++++=and
were ^vbd+bed+aux++=were
not ^xnot++not++=not
cut ^vb+++xvbn+=cut
across ^in+ppvb+++=across
their ^pp$+pp3+++=their
royal ^jj+atrb+++=royal
middles ^nns+++??+=middles
by ^in++++=by
mirrors ^nns++++=mirrors
reflecting ^vwbg+vprv++xvbg+=reflecting
only ^rb+down+++=only
the ^ati++++=the
bedizened ^jj+atrb+++=bedizened
torso ^nn++++=torso
of ^in++++=of
them ^pp3o+pp3+++=them
and ^cc++++=and
the ^ati++++=the
charge ^nn++++=charge
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
trefoil ^nn+++??+=trefoil,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
like ^in++++=like
in ^in++++=in
the ^ati++++=the
right ^jj++++=right-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
top ^jjb+atrb+++=top
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
oblong ^jj++++=oblong
that ^cs+sub+++=that
framed ^jj+++xvbn+=framed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pew ^nn+++??+=pew
had ^vb+hv+vrb++=had
qualities ^nns+nom+++=qualities:
: ^zz++++=EXTRAWORD
tall ^jj+atrb+++=tall
fat ^nn++++=fat
hassocks ^nns+++??+=hassocks,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
cushions ^nns++++=cushions,
, ^zz++++=EXTRAWORD
a ^at++++=a
comparative ^jj+atrb+++=comparative
seclusion ^nn++++=seclusion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
the ^ati++++=the
affluent ^jj+atrb+++=affluent,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
curtains ^nns++++=curtains
drawn ^vwbn+++xvbn+=drawn
at ^rb++++=at
sermon ^nn++++=sermon-time.
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
wearied ^vprf+++xvbn+=wearied
by ^in++++=by
the ^ati++++=the
spectacle ^nn++++=spectacle
of ^in++++=of
a ^at++++=a
plump ^jj++++=plump
divine ^jj++++=divine,
, ^zz++++=EXTRAWORD
in ^in++++=in
black ^jj+atrb+++=black
gown ^nn++++=gown
and ^cc++++=and
Geneva ^np++++=Geneva
bands ^nns++++=bands,
, ^zz++++=EXTRAWORD
thumping ^vbg+++xvbg+=thumping
the ^ati++++=the
pulpit ^nn++++=pulpit-cushions
- ^zz++++=EXTRAWORD
cushions ^nns++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
madness ^nns+nom+++=madness
of ^in++++=of
incomprehensible ^jj+atrb+++=incomprehensible
oratory ^nn++++=oratory,
, ^zz++++=EXTRAWORD
surrendered ^j+++xvbn+=surrendered
his ^pp$+pp3+++=his
ears ^nns++++=ears
to ^in++++=to
the ^ati++++=the
noise ^nn++++=noise
of ^in++++=of
intonations ^nns+nom+++=intonations
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
treble ^nn++++=treble,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
earned ^vprf+++xvbnx+=earned
the ^ati++++=the
reprimand ^nn+++??+=reprimand,
, ^zz++++=EXTRAWORD
' ^zz++++='Naughty
naughty ^jj+atrb+++=EXTRAWORD
temper ^nn++++=temper.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
through ^in++++=through
some ^dti++++=some
oversight ^nn++++=oversight
of ^in++++=of
the ^ati++++=the
gods ^nns++++=gods
of ^in++++=of
his ^pp$+pp3+++=his
universe ^nn++++=universe,
, ^zz++++=EXTRAWORD
still ^rb++++=still
his ^pp$+pp3+++=his
