Than ^in++++=Than
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
above ^jjb++++=above
named ^jj+++xvbn+=named,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
nobody ^pn++++=nobody,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
whole ^jj+atrb+++=whole
circle ^nn++++=circle
of ^in++++=of
my ^pp$+pp1+++=my
acquaintance ^nn+nom+++=acquaintance,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
more ^rbr++++=more
attentively ^jj++++=attentively
studied ^jj+++xvbn+=studied,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
of ^in++++=of
whom ^whp+rel+pied++=whom
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
less ^rbr++++=less
real ^jj+atrb+++=real
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
surface ^nn++++=surface
which ^whp+rel+obj++=which
it ^pp3+it+++=it
pleases ^vbz++++=pleases
him ^pp3o+pp3+++=him
to ^in++++=to
present ^nn++++=present.
. ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
anxious ^jj++++=anxious
to ^to+jcmp+++=to
discover ^nn+nom+++=discover
who ^whp+who+++=who
and ^cc+cls+++=and
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
really ^rb+emph+++=really
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
connected ^jj+++xvbn+=connected
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+whq++=what
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
results ^nns++++=results
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
to ^in++++=to
myself ^ppl+pp1+++=myself
of ^in++++=of
the ^ati++++=the
joint ^jjb+atrb+++=joint
interest ^nn++++=interest
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
without ^in++++=without
any ^dti++++=any
choice ^nn++++=choice
on ^in++++=on
my ^pp$+pp1+++=my
part ^nn++++=part,
, ^zz++++=EXTRAWORD
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
permanently ^rb++splt++=permanently
established ^vpsv++agls+xvbnx+=established
between ^in++++=between
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
incited ^jj+++xvbn+=incited,
, ^zz++++=EXTRAWORD
furthermore ^rb+cnj+++=furthermore,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
propensities ^nns+nom+++=propensities
of ^in++++=of
a ^at++++=a
student ^nn++++=student
of ^in++++=of
human ^jj+atrb+++=human
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
doubtful ^jj++++=doubtful
whether ^cs+who+++=whether
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
have ^vb+hv+aux++=have
aught ^vprf+++xvbnx+=aught
of ^in++++=of
humanity ^nn+nom+++=humanity
but ^cc++++=but
the ^ati++++=the
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
determined ^jj+++xvbnx+=determined
to ^to+jcmp+++=to
place ^vbi++++=place
a ^ap++++=a
few ^ap"++++=few
of ^in++++=of
his ^pp$+pp3+++=his
remarkable ^jj+atrb+++=remarkable
points ^nns++++=points
before ^in++++=before
the ^ati++++=the
public ^nn++++=public,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv++xvbg+=hoping
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
favored ^vpsv++agls+xvbnx+=favored
with ^in++++=with
some ^dti++++=some
clew ^nn+++??+=clew
to ^in++++=to
the ^ati++++=the
explanation ^nn+nom+++=explanation
of ^in++++=of
his ^pp$+pp3+++=his
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
let ^vb+++xvbn+=let
the ^ati++++=the
reader ^nn++++=reader
condemn ^vb++++=condemn
any ^dti++++=any
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
narrative ^nn++++=narrative
as ^in++++=as
frivolous ^jj++++=frivolous,
, ^zz++++=EXTRAWORD
since ^in++++=since
a ^at++++=a
subject ^nn++++=subject
of ^in++++=of
such ^abl++++=such
grave ^jj+atrb+++=grave
reflection ^nn+nom+++=reflection
diffuses ^nns+++??+=diffuses
its ^pp$+it+++=its
importance ^nn+nom+++=importance
through ^in++++=through
the ^ati++++=the
minutest ^jjt+atrb+++=minutest
particulars ^nns++++=particulars;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
judging ^jj+++xvbg+=judging
beforehand ^rb++++=beforehand
what ^wdt+who+++=what
odd ^jj+atrb+++=odd
little ^jj+atrb+++=little
circumstance ^nn+nom+++=circumstance
may ^md+pos+++=may
do ^vb+do+vrb++=do
the ^ati++++=the
office ^nn++++=office
of ^in++++=of
a ^at++++=a
blind ^jj+atrb+++=blind
man ^nn++++=man's
's ^$++++=EXTRAWORD
dog ^nn++++=dog
among ^in++++=among
the ^ati++++=the
perplexities ^nns+nom+++=perplexities
of ^in++++=of
this ^dt+dem+++=this
dark ^jj+atrb+++=dark
investigation ^nn+nom+++=investigation;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
however ^rb+cnj+++=however
extraordinary ^jj++++=extraordinary,
, ^zz++++=EXTRAWORD
marvellous ^jj++++=marvellous,
, ^zz++++=EXTRAWORD
preternatural ^jj++++=preternatural,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
utterly ^rb+amp+++=utterly
incredible ^jj++++=incredible
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
meditated ^jj+atrb++xvbn+=meditated
disclosures ^nns+++??+=disclosures
may ^md+pos+++=may
appear ^vb+seem+++=appear,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pledge ^nn++++=pledge
my ^pp$+pp1+++=my
honor ^nn++++=honor
to ^to++++=to
maintain ^vbi+vpub+++=maintain
as ^ql++++=as
sacred ^jj++++=sacred
a ^at++++=a
regard ^nn++++=regard
to ^in++++=to
fact ^nn++++=fact
as ^cs+sub+++=as
if ^cs+cnd+++=if
my ^pp$+pp1+++=my
testimony ^nn++++=testimony
were ^vbd+bed+aux++=were
given ^vpsv++agls+xvbnx+=given
on ^in++++=on
oath ^nn++++=oath
and ^cc++++=and
involved ^vbd+++xvbn+=involved
the ^ati++++=the
dearest ^jjt+atrb+++=dearest
interests ^nns++++=interests
of ^in++++=of
the ^ati++++=the
personage ^nn+nom+++=personage
in ^in++++=in
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^dt+dem+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
matter ^nn++++=matter
for ^in++++=for
a ^at++++=a
criminal ^jj+atrb+++=criminal
accusation ^nn+nom+++=accusation
against ^in++++=against
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I
the ^ati++++=the
man ^nn++++=man
to ^to++++=to
bring ^vbi++++=bring
it ^pp3+it+++=it
forward ^rb++++=forward
if ^cs+cnd+++=if
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chief ^jjb++++=chief
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
complain ^vb+vpub+++=complain
of ^in++++=of
is ^vbz+bez+vrb++=is
his ^pp$+pp3+++=his
impenetrable ^jj+atrb+++=impenetrable
mystery ^nn+nom+++=mystery,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
no ^at++++=no
better ^nn++++=better
than ^in++++=than
nonsense ^nn++++=nonsense
if ^cs+cnd+++=if
it ^pp3+it+++=it
conceal ^vb++++=conceal
anything ^pn++++=anything
good ^jj++++=good,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
much ^ap++++=much
worse ^jjr++++=worse
in ^in++++=in
the ^ati++++=the
contrary ^jj+atrb+++=contrary
case ^nn++++=case.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
undue ^jj+atrb+++=undue
partialities ^nns+nom+++=partialities
could ^md+pos+++=could
be ^vb+be+aux++=be
supposed ^vpsv++agls+xvbnx+=supposed
to ^to+vcmp+++=to
influence ^nn+nom+++=influence
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
might ^md+pos+++=might
hope ^vb++++=hope
to ^to+vcmp+++=to
profit ^vb++++=profit
rather ^rb++++=rather
than ^in++++=than
to ^to++++=to
suffer ^vbi++++=suffer
by ^in++++=by
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
the ^ati++++=the
whole ^nn++++=whole
of ^in++++=of
our ^pp$+pp1+++=our
long ^rb++++=long
intercourse ^nn+++??+=intercourse
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
seldom ^rb++++=seldom
had ^vb+hv+vrb++=had
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
disagreement ^nn+nom+++=disagreement;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
moreover ^nn+nom+++=moreover,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
reasons ^nns++++=reasons
for ^in++++=for
supposing ^xvbg+++xvbg+=supposing
him ^pp3o+pp3+++=him
a ^at++++=a
near ^in+pl+++=near
relative ^nn++++=relative
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consequently ^rb+cnj+++=consequently
entitled ^vbd+++xvbn+=entitled
to ^in++++=to
the ^ati++++=the
best ^jjt+atrb+++=best
word ^nn++++=word
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
give ^vb++++=give
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
bears ^nns++++=bears
indisputably ^jj++++=indisputably
a ^at++++=a
strong ^jj+atrb+++=strong
personal ^jj+atrb+++=personal
resemblance ^nn+nom+++=resemblance
to ^in++++=to
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
generally ^rb+down+++=generally
puts ^vbz++++=puts
on ^rb+phrv+++=on
mourning ^xvbg+++xvbg+=mourning
at ^rb++++=at
the ^ati++++=the
funerals ^nns+nom+++=funerals
of ^in++++=of
the ^ati++++=the
family ^nn++++=family.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
name ^nn++++=name
would ^md+prd+++=would
indicate ^nn+nom+++=indicate
a ^at++++=a
French ^jj+atrb+++=French
descent ^nn++++=descent;
; ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
case ^nn++++=case,
, ^zz++++=EXTRAWORD
infinitely ^rb++++=infinitely
preferring ^vbg+++xvbg+=preferring
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
blood ^nn++++=blood
should ^md+nec+++=should
flow ^vb++++=flow
from ^in++++=from
a ^at++++=a
bold ^jj++++=bold
British ^jj++++=British
and ^cc+phrs+++=and
pure ^jj+atrb+++=pure
Puritan ^jj+atrb+++=Puritan
source ^nn++++=source,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
leave ^vb++++=leave
to ^in++++=to
disclaim ^nn+++??+=disclaim
all ^abn++++=all
kindred ^nn++++=kindred
with ^in++++=with
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
genealogists ^nns+nom+++=genealogists
trace ^nn++++=trace
his ^pp$+pp3+++=his
origin ^nn++++=origin
to ^in++++=to
Spain ^np++++=Spain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dub ^nn+++??+=dub
him ^pp3o+pp3+++=him
a ^at++++=a
knight ^nn++++=knight
of ^in++++=of
the ^ati++++=the
order ^nn++++=order
of ^in++++=of
the ^ati++++=the
Caballeros ^np+++??+=Caballeros
de ^&fw++++=de
los ^&fw++++=los
Espejoz ^np+++??+=Espejoz,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
whom ^whp+rel+pied++=whom
was ^vbd+bedz+aux++=was
overthrown ^vpsv++by+xvbnx+=overthrown
by ^in++++=by
Don ^np++++=Don
Quixote ^np++++=Quixote.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what
says ^vbz+vpub+++=says
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
himself ^ppl+pp3+++=himself
of ^in++++=of
his ^pp$+pp3+++=his
paternity ^nn+nom+++=paternity
and ^cc++++=and
his ^pp$+pp3+++=his
fatherland ^nn+++??+=fatherland?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
word ^nn++++=word
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
ever ^rb++++=ever
say ^vb+vpub+++=say
about ^in++++=about
the ^ati++++=the
matter ^nn++++=matter;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
herein ^rb+cnj+++=herein,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
lies ^vbz++++=lies
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
most ^ap+emph+++=most
especial ^jj+atrb+++=especial
reasons ^nns++++=reasons
for ^in++++=for
maintaining ^xvbg+++xvbg+=maintaining
such ^abl++++=such
a ^at++++=a
vexatious ^jj+atrb+++=vexatious
mystery ^nn+nom+++=mystery,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
lacks ^vbz++++=lacks
the ^ati++++=the
faculty ^nn++++=faculty
of ^in++++=of
speech ^nn++++=speech
to ^to++++=to
expound ^vbi++++=expound
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
lips ^nns++++=lips
are ^vb+ber+aux++=are
sometimes ^rb++splt++=sometimes
seen ^vpsv++agls+xvbnx+=seen
to ^to+vcmp+++=to
move ^vbi++++=move;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
and ^cc++++=and
countenance ^nn+nom+++=countenance
are ^vb+ber+vrb++=are
alive ^jj+pred+++=alive
with ^in++++=with
shifting ^xvbg+++xvbg+=shifting
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
corresponding ^jj+++xvbg+=corresponding
by ^in++++=by
visible ^jj+atrb+++=visible
hieroglyphics ^nns++++=hieroglyphics
to ^in++++=to
his ^pp$+pp3+++=his
modulated ^vbd+++xvbn+=modulated
breath ^nn++++=breath;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anon ^nn+++??+=anon
he ^pp3a+pp3+++=he
will ^md+prd+++=will
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
pause ^vbi++++=pause
with ^in++++=with
as ^cs+sub+++=as
satisfied ^vbd+++xvbn+=satisfied
an ^at++++=an
air ^nn++++=air
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
talking ^vbg+++xvbgx+=talking
excellent ^jj+atrb+++=excellent
sense ^nn++++=sense.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
sense ^nn++++=sense
or ^cc++++=or
bad ^jj++++=bad,
, ^zz++++=EXTRAWORD
Monsieur ^npt++++=Monsieur
du ^&fw++++=du
Miroir ^np+++??+=Miroir
is ^vbz+bez+vrb++=is
the ^ati++++=the
sole ^jjb+atrb+++=sole
judge ^nn++++=judge
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
conversational ^jj+atrb+++=conversational
powers ^nns++++=powers,
, ^zz++++=EXTRAWORD
never ^rb++++=never
having ^xvbg+++xvbg+=having
whispered ^vbd+vpub++xvbn+=whispered
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
syllable ^nn++++=syllable
that ^tht+rel+subj++=that
reached ^vprf+++xvbn+=reached
the ^ati++++=the
ears ^nns++++=ears
of ^in++++=of
any ^dti++++=any
other ^ap++++=other
auditor ^nn++++=auditor.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
he ^pp3a+pp3+++=he
really ^rb+emph+++=really
dumb ^jj++++=dumb?
? ^zz++++=EXTRAWORD
or ^cc+cls+++=or
is ^vbz+bez+vrb++=is
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world
deaf ^jj++++=deaf?
? ^zz++++=EXTRAWORD
or ^cc+cls+++=or
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
merely ^rb+down+++=merely
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
my ^pp$+pp1+++=my
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
