Towards ^in++++=Towards
mid ^jjb++++=mid-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
the ^ati++++=the
three ^cd++++=three
pursuers ^nns+nom+++=pursuers
came ^vbd+++xvbn+=came
abruptly ^rb++++=abruptly
round ^in++++=round
a ^at++++=a
bend ^nn++++=bend
in ^in++++=in
the ^ati++++=the
torrent ^nn++++=torrent
bed ^nn++++=bed
upon ^in++++=upon
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
broad ^jj+atrb+++=broad
and ^cc+phrs+++=and
spacious ^jj+atrb+++=spacious
valley ^nn++++=valley.
. ^zz++++=EXTRAWORD
The ^ati++++=The
difficult ^jj+atrb+++=difficult
and ^cc+phrs+++=and
winding ^jj+atrb++xvbg+=winding
trench ^nn++++=trench
of ^in++++=of
pebbles ^nns++++=pebbles
along ^in++++=along
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
tracked ^vprf+++xvbnx+=tracked
the ^ati++++=the
fugitives ^nns++++=fugitives
for ^in++++=for
so ^ql++++=so
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
expanded ^j+++xvbn+=expanded
to ^in++++=to
a ^at++++=a
broad ^jj+atrb+++=broad
slope ^nn++++=slope,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
common ^jj+atrb+++=common
impulse ^nn++++=impulse
the ^ati++++=the
three ^cd++++=three
men ^nns++++=men
left ^vbd+++xvbn+=left
the ^ati++++=the
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rode ^vpsv++agls+xvbn+=rode
to ^in++++=to
a ^rb++++=a
little ^rb"++++=little
eminence ^nn+nom+++=eminence
set ^vbd+++xvbn+=set
with ^in++++=with
olive ^nn++++=olive-dun
- ^zz++++=EXTRAWORD
dun ^jj+atrb+++=EXTRAWORD
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
halted ^jj+++xvbn+=halted,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
others ^aps++++=others,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
became ^vbd+++xvbn+=became
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
behind ^in+pl+++=behind
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
silver ^nn++++=silver-studded
- ^zz++++=EXTRAWORD
studded ^vwbn+++xvbn+=EXTRAWORD
bridle ^nn++++=bridle.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
space ^nn++++=space
they ^pp3a+pp3+++=they
scanned ^vbd+++xvbnx+=scanned
the ^ati++++=the
great ^jj+atrb+++=great
expanse ^nn++++=expanse
below ^rb++++=below
them ^pp3o+pp3+++=them
with ^in++++=with
eager ^jj+atrb+++=eager
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
spread ^vbd+++xvbn+=spread
remoter ^jjr++++=remoter
and ^cc+phrs+++=and
remoter ^jjr++++=remoter,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
a ^ap++++=a
few ^ap"++++=few
clusters ^nns+nom+++=clusters
of ^in++++=of
sere ^nn+++??+=sere
thorn ^nn++++=thorn
bushes ^nns++++=bushes
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dim ^jj+atrb+++=dim
suggestions ^nns+nom+++=suggestions
of ^in++++=of
some ^dti++++=some
now ^rn+tm+++=now
waterless ^jj+atrb+++=waterless
ravine ^nn++++=ravine,
, ^zz++++=EXTRAWORD
to ^to++++=to
break ^vbi++++=break
its ^pp$+it+++=its
desolation ^nn+nom+++=desolation
of ^in++++=of
yellow ^jj+atrb+++=yellow
grass ^nn++++=grass.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
purple ^jj+atrb+++=purple
distances ^nns+nom+++=distances
melted ^vbd+++xvbn+=melted
at ^rb++++=at
last ^rb"++++=last
into ^in++++=into
the ^ati++++=the
bluish ^jj+atrb+++=bluish
slopes ^nns++++=slopes
of ^in++++=of
the ^ati++++=the
further ^rbr++++=further
hills ^nns++++=hills-hills
- ^zz++++=EXTRAWORD
hills ^nns++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
of ^in++++=of
a ^at++++=a
greener ^jjr+atrb+++=greener
kind ^nn++++=kind--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
above ^rb++++=above
them ^pp3o+pp3+++=them
invisibly ^jj++++=invisibly
supported ^jj+++xvbn+=supported,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seeming ^vbg+seem++xvbg+=seeming
indeed ^rb++++=indeed
to ^to++++=to
hang ^vbi++++=hang
in ^in++++=in
the ^ati++++=the
blue ^nn++++=blue,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
the ^ati++++=the
snowclad ^nn+++??+=snowclad
summits ^nns+++??+=summits
of ^in++++=of
mountains ^npl++++=mountains
that ^tht+rel+subj++=that
grew ^vbd+++xvbn+=grew
larger ^jjr++++=larger
and ^cc+phrs+++=and
bolder ^jjr++++=bolder
to ^in++++=to
the ^ati++++=the
north ^nr+pl+++=north-westward
- ^zz++++=EXTRAWORD
westward ^rb++++=EXTRAWORD
as ^ql++++=as
the ^ati++++=the
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
valley ^nn++++=valley
drew ^vbd+++xvbn+=drew
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
westward ^rb++++=westward
the ^ati++++=the
valley ^npl++++=valley
opened ^vbd+++xvbn+=opened
until ^cs+sub+++=until
a ^at++++=a
distant ^jj+atrb+++=distant
darkness ^nns+nom+++=darkness
under ^in++++=under
the ^ati++++=the
sky ^nn++++=sky
told ^vbd+vpub++xvbn+=told
where ^wrb+who+whcl++=where
the ^ati++++=the
forests ^nns++++=forests
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
three ^cd++++=three
men ^nns++++=men
looked ^vbd+++xvbn+=looked
neither ^dt++neg++=neither
east ^np+pl+++=east
nor ^cc++neg++=nor
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
steadfastly ^rb++++=steadfastly
across ^in+pl+++=across
the ^ati++++=the
valley ^nn++++=valley.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gaunt ^jj+atrb+++=gaunt
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
scarred ^jj+atrb++xvbn+=scarred
lip ^nn++++=lip
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
speak ^vbi++++=speak.
. ^zz++++=EXTRAWORD
" ^zz++++="Nowhere,"
nowhere ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sigh ^nn++++=sigh
of ^in++++=of
disappointment ^nn+nom+++=disappointment
in ^in++++=in
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
a ^at++++=a
full ^jj+atrb+++=full
day ^nn++++=day's
's ^$++++=EXTRAWORD
start ^nn++++=start."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+tht0++=know
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
after ^in++++=after
them ^pp3o+pp3+++=them,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man
on ^in++++=on
the ^ati++++=the
white ^jj+atrb+++=white
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
would ^md+prd+++=would
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
leader ^nn++++=leader
bitterly ^rb+cnj+++=bitterly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
speaking ^nvbg+++xvbg+=speaking
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="Even
even ^rb++++=EXTRAWORD
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
fast ^nn++++=fast.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
no ^at++++=no
beast ^nn++++=beast
but ^cc++++=but
the ^ati++++=the
mule ^nn++++=mule,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
today ^nr+tm+++=to-day
the ^ati++++=the
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
foot ^nn++++=foot
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
bleeding ^vbg+++xvbgx+=bleeding---"
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
silver ^nn++++=silver
bridle ^nn++++=bridle
flashed ^vbd+++xvbn+=flashed
a ^at++++=a
quick ^jj+atrb+++=quick
intensity ^nn+nom+++=intensity
of ^in++++=of
rage ^nn++++=rage
on ^rp++++=on
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
seen ^vbd+vprv+tht0+xvbn+=seen
that ^tht+vcmp+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
snarled ^vbd+++xvbnx+=snarled.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
helps ^vbz++++=helps,
, ^zz++++=EXTRAWORD
anyhow ^rb+cnj+++=anyhow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gaunt ^jj+atrb+++=gaunt
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
scarred ^jj+atrb++xvbn+=scarred
lip ^nn++++=lip
stared ^vbd+++xvbn+=stared
impassively ^jj++++=impassively.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
over ^in++++=over
the ^ati++++=the
valley ^nn++++=valley,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
we ^pp1a+pp1+++=we
ride ^nn++++=ride
hard ^jj++++=hard--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
the ^ati++++=the
white ^jj+atrb+++=white
horse ^nn++++=horse
and ^cc++++=and
paused ^vbd+++xvbn+=paused.
. ^zz++++=EXTRAWORD
" ^zz++++="Curse
curse ^vb++++=EXTRAWORD
all ^abn++++=all
white ^jj+atrb+++=white
horses ^nns++++=horses!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
silver ^nn++++=silver
bridle ^nn++++=bridle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vpsv++agls+xvbn+=turned
to ^in++++=to
scan ^jj++++=scan
the ^ati++++=the
beast ^nn++++=beast
his ^pp$+pp3+++=his
curse ^vb++++=curse
included ^vbd+++xvbn+=included.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
man ^nn++++=man
looked ^vbd+++xvbn+=looked
down ^rp++++=down
between ^in++++=between
the ^ati++++=the
mclancholy ^jj+atrb+++=mclancholy
ears ^nns++++=ears
of ^in++++=of
