An ^at++++=An
hour ^nn++++=hour
before ^in++++=before
daybreak ^nn+++??+=daybreak
one ^cd1++++=one
Christmas ^np++++=Christmas
morning ^nn++++=morning
in ^in++++=in
the ^ati++++=the
Cherokee ^np+nom+++=Cherokee
Strip ^nn++++=Strip,
, ^zz++++=EXTRAWORD
six ^cd++++=six
hundred ^cd++++=hundred
horses ^nns++++=horses
were ^vbd+bed+vrb++=were
under ^in++++=under
saddle ^nn++++=saddle
awaiting ^vwbg+++xvbg+=awaiting
the ^ati++++=the
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
clear ^jj++++=clear,
, ^zz++++=EXTRAWORD
frosty ^nn+++??+=frosty
morning ^nn++++=morning
that ^tht+rel+++=that
bespoke ^nn+++??+=bespoke
an ^at++++=an
equally ^rb++++=equally
clear ^jj+atrb+++=clear
day ^nn++++=day
for ^in++++=for
the ^ati++++=the
wolf ^nn++++=wolf
rodeo ^nn+++??+=rodeo.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
cow ^nn++++=cow-camp
- ^zz++++=EXTRAWORD
camp ^nn++++=EXTRAWORD
within ^in++++=within
striking ^xvbg+++xvbg+=striking
distance ^nn+nom+++=distance
of ^in++++=of
the ^ati++++=the
Walnut ^nn++++=Walnut
Grove ^np++++=Grove,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
Salt ^jj+atrb+++=Salt
Fork ^nn++++=Fork
of ^in++++=of
the ^ati++++=the
Cimarron ^np+++??+=Cimarron,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
scene ^nn++++=scene
of ^in++++=of
activity ^nn+nom+++=activity,
, ^zz++++=EXTRAWORD
taxing ^jj+++xvbg+=taxing
to ^in++++=to
the ^ati++++=the
utmost ^jjb++++=utmost
its ^pp$+it+++=its
hospitality ^nn+nom+++=hospitality
to ^in++++=to
man ^nn++++=man
and ^cc++++=and
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
hearty ^jj+atrb+++=hearty
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
invitation ^nn+nom+++=invitation
to ^to+ncmp+++=to
attend ^vbi++++=attend
the ^ati++++=the
circle ^nn++++=circle
drive ^nn++++=drive-hunt
- ^zz++++=EXTRAWORD
hunt ^np++++=EXTRAWORD
of ^in++++=of
this ^dt+dem+++=this
well ^rb++++=well-known
- ^zz++++=EXTRAWORD
known ^vbn+vprv++xvbn+=EXTRAWORD
shelter ^nn++++=shelter
of ^in++++=of
several ^ap++++=several
bands ^nns++++=bands
of ^in++++=of
gray ^np++++=gray
wolves ^nps++++=wolves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cowmen ^nns++++=cowmen
had ^vbd+hvd+aux++=had
suffered ^vprf+++xvbnx+=suffered
so ^ql++++=so
severely ^rb++++=severely
in ^in++++=in
time ^nn++++=time
past ^jjb++++=past
from ^in++++=from
this ^dt+dem+++=this
enemy ^nn++++=enemy
of ^in++++=of
cattle ^nns++++=cattle
that ^tht+rel+obj++=that
the ^ati++++=the
Cherokee ^np+nom+++=Cherokee
Strip ^nn++++=Strip
Cattle ^nns++++=Cattle
Association ^nn+nom+++=Association
had ^vb+hv+vrb++=had
that ^dt+dem+++=that
year ^nn++++=year
offered ^vbd+++xvbn+=offered
a ^at++++=a
bounty ^nn++++=bounty
of ^in++++=of
twenty ^cd++++=twenty
dollars ^nns++++=dollars
for ^in++++=for
wolf ^nn++++=wolf
scalps ^nns+++??+=scalps.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lay ^nn++++=lay
of ^in++++=of
the ^ati++++=the
land ^nn++++=land
was ^vbd+bedz+vrb++=was
extremely ^rb+amp+++=extremely
favorable ^&fw++++=favorable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Walnut ^nn++++=Walnut
Grove ^np++++=Grove
was ^vbd+bedz+vrb++=was
a ^at++++=a
thickety ^nn+++??+=thickety
covert ^nn+++??+=covert
on ^in++++=on
the ^ati++++=the
north ^nr+pl+++=north
first ^rb++++=first
bottom ^jjb++++=bottom
of ^in++++=of
the ^ati++++=the
Cimarron ^np+++??+=Cimarron,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possibly ^rb++++=possibly
two ^cd++++=two
miles ^nns++++=miles
wide ^jj++++=wide
by ^in++++=by
three ^cd++++=three
long ^jj++++=long.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
extending ^vbg+++xvbg+=extending
several ^ap++++=several
miles ^nns++++=miles
above ^jjb++++=above
and ^cc++++=and
below ^in+pl+++=below
this ^dt+dem+++=this
grove ^np++++=grove,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
salt ^nn++++=salt
plain ^jj++++=plain--an
-- ^--+clp+++=EXTRAWORD
an ^at++++=EXTRAWORD
alkali ^nn++++=alkali
desert ^nn++++=desert
which ^whp+rel+obj++=which
no ^at++++=no
wild ^jj+atrb+++=wild
animal ^nn++++=animal,
, ^zz++++=EXTRAWORD
ruminant ^nn+nom+++=ruminant
or ^cc++++=or
carnivorous ^jj++++=carnivorous,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
attempt ^vb++++=attempt
to ^to+vcmp+++=to
cross ^vbi++++=cross,
, ^zz++++=EXTRAWORD
instinct ^nn++++=instinct
having ^xvbg+++xvbg+=having
warned ^vprf+++xvbn+=warned
it ^pp3+it+++=it
