A ^at++++=A
short ^jj+atrb+++=short
time ^nn++++=time
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
favored ^vpsv++agls+xvbnx+=favored
with ^in++++=with
a ^at++++=a
flying ^nn++++=flying
visit ^vb++++=visit
from ^in++++=from
my ^pp$+pp1+++=my
young ^jj+atrb+++=young
friend ^nn++++=friend
Eustace ^np++++=Eustace
Bright ^jj++++=Bright,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
not ^xnot++not++=not
before ^in++++=before
met ^nn++++=met
with ^in++++=with
since ^in++++=since
quitting ^xvbg+++xvbg+=quitting
the ^ati++++=the
breezy ^jj+atrb+++=breezy
mountains ^nns++++=mountains
of ^in++++=of
Berkshire ^np+++??+=Berkshire.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
being ^vbg+beg++xvbg+=being
the ^ati++++=the
winter ^nn++++=winter
vacation ^nn+nom+++=vacation
at ^in++++=at
his ^pp$+pp3+++=his
college ^nn++++=college,
, ^zz++++=EXTRAWORD
Eustace ^np++++=Eustace
was ^vbd+bedz+aux++=was
allowing ^vbg+++xvbgx+=allowing
himself ^ppl+pp3+++=himself
a ^rb++++=a
little ^rb"++++=little
relaxation ^nn+nom+++=relaxation,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
hope ^nn++++=hope,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
of ^in++++=of
repairing ^xvbg+++xvbg+=repairing
the ^ati++++=the
inroads ^nns++++=inroads
which ^whp+rel+obj++=which
severe ^jj+atrb+++=severe
application ^nn+nom+++=application
to ^in++++=to
study ^nn++++=study
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
upon ^in++++=upon
his ^pp$+pp3+++=his
health ^nn++++=health;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
happy ^jj+pred+++=happy
to ^to+jcmp+++=to
conclude ^vbi+vprv+++=conclude,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
excellent ^jj+atrb+++=excellent
physical ^jj+atrb+++=physical
condition ^nn+nom+++=condition
in ^in++++=in
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
remedy ^vb++++=remedy
had ^vb+hv+aux++=had
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
attended ^vpsv++agls+xvbnx+=attended
with ^in++++=with
very ^ql+amp+++=very
desirable ^jj+atrb+++=desirable
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
now ^rn+tm+splt++=now
run ^vprf+++xvbnx+=run
up ^rp++++=up
from ^in++++=from
Boston ^np++++=Boston
by ^in++++=by
the ^ati++++=the
noon ^nn++++=noon
train ^nn++++=train,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
impelled ^vpsv++by+xvbn+=impelled
by ^in++++=by
the ^ati++++=the
friendly ^jj+atrb+++=friendly
regard ^nn++++=regard
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
pleased ^jj++agls+xvbnx+=pleased
to ^to+jcmp+++=to
honor ^vb++++=honor
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
partly ^rb+cnj+++=partly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
soon ^rb+tm+++=soon
found ^vbd+vprv++xvbn+=found,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
literary ^jj+atrb+++=literary
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
delighted ^vbd+++xvbn+=delighted
me ^pp1o+pp1+++=me
to ^to++++=to
receive ^vbi++++=receive
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bright ^np++++=Bright,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time,
, ^zz++++=EXTRAWORD
under ^in++++=under
a ^at++++=a
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
a ^at++++=a
very ^ql+amp+++=very
humble ^jj+atrb+++=humble
one ^pn++++=one,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
could ^md+pos+++=could
really ^rb+emph+splt++=really
call ^vb++++=call
my ^pp$+pp1+++=my
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
did ^vbd+dod+aux++=did
I ^pp1a+pp1+++=I
fail ^vb++++=fail
( ^zz++++=(as
as ^ql++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
custom ^nn++++=custom
of ^in++++=of
landed ^jj+atrb++xvbn+=landed
proprietors ^nns++++=proprietors
all ^abn++++=all
about ^in++++=about
the ^ati++++=the
world ^nn++++=world)
) ^zz++++=EXTRAWORD
to ^in++++=to
parade ^nn++++=parade
the ^ati++++=the
poor ^jj++++=poor
fellow ^jjb++++=fellow
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
over ^in++++=over
my ^pp$+pp1+++=my
half ^nn++++=half
a ^at++++=a
dozen ^cd++++=dozen
acres ^nns++++=acres;
; ^zz++++=EXTRAWORD
secretly ^rb++++=secretly
rejoicing ^nvbg+++xvbg+=rejoicing,
, ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
disarray ^nn++++=disarray
of ^in++++=of
the ^ati++++=the
inclement ^nn+nom+++=inclement
season ^nn++++=season,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
particularly ^rb++++=particularly
the ^ati++++=the
six ^cd++++=six
inches ^nns++++=inches
of ^in++++=of
snow ^nn++++=snow
then ^rn+tm+++=then
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
prevented ^j+++xvbn+=prevented
him ^pp3o+pp3+++=him
from ^in++++=from
observing ^xvbg+++xvbg+=observing
the ^ati++++=the
ragged ^jj+atrb+++=ragged
neglect ^nn++++=neglect
of ^in++++=of
soil ^nn++++=soil
and ^cc++++=and
shrubbery ^nn+nom+++=shrubbery
into ^in++++=into
which ^whp+rel+pied++=which
the ^ati++++=the
place ^nn++++=place
had ^vbd+hvd+aux++=had
lapsed ^vprf+++xvbnx+=lapsed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
idle ^jj+pred+++=idle,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
to ^to++++=to
imagine ^vbi+vprv+++=imagine
that ^tht+vcmp+++=that
an ^at++++=an
airy ^jj+atrb+++=airy
guest ^nn++++=guest
from ^in++++=from
Monument ^nn+nom+++=Monument
Mountain ^nn++++=Mountain,
, ^zz++++=EXTRAWORD
Bald ^jj+atrb+++=Bald
Summit ^nn++++=Summit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
Graylock ^np+++??+=Graylock,
, ^zz++++=EXTRAWORD
shaggy ^jj++++=shaggy
with ^in++++=with
primeval ^jj+atrb+++=primeval
forests ^nns++++=forests,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
see ^vb+vprv+++=see
anything ^pn++++=anything
to ^to++++=to
admire ^vbi++++=admire
in ^in++++=in
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
hillside ^nn++++=hillside,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
growth ^nn++++=growth
of ^in++++=of
frail ^jj++++=frail
and ^cc++++=and
insect ^nn++++=insect-eaten
- ^zz++++=EXTRAWORD
eaten ^vbd+++xvbn+=EXTRAWORD
locust ^nn+++??+=locust
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Eustace ^np++++=Eustace
very ^ql+amp+++=very
frankly ^rb++++=frankly
called ^vbd+++xvbn+=called
the ^ati++++=the
view ^nn++++=view
from ^in++++=from
my ^pp$+pp1+++=my
hill ^npl++++=hill
top ^jjb++++=top
tame ^jj++++=tame;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
after ^in++++=after
rough ^jj++++=rough,
, ^zz++++=EXTRAWORD
broken ^j+++xvbn+=broken,
, ^zz++++=EXTRAWORD
rugged ^jj+atrb+++=rugged,
, ^zz++++=EXTRAWORD
headlong ^jjb++++=headlong
Berkshire ^np+++??+=Berkshire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
especially ^rb++++=especially
the ^ati++++=the
northern ^jj+atrb+++=northern
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
county ^nn++++=county,
, ^zz++++=EXTRAWORD
with ^in++++=with
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
college ^nn++++=college
residence ^nn+nom+++=residence
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
him ^pp3o+pp3+++=him
familiar ^jj++++=familiar.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
to ^in++++=to
me ^pp1o+pp1+++=me
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
peculiar ^jj++++=peculiar,
, ^zz++++=EXTRAWORD
quiet ^nn++++=quiet
charm ^nn++++=charm
in ^in++++=in
these ^dt+dem+++=these
broad ^jj+atrb+++=broad
meadows ^nns++++=meadows
and ^cc++++=and
gentle ^jj+atrb+++=gentle
eminences ^nns+nom+++=eminences.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
