Philo ^np+++??+=Philo
Gubb ^np+++??+=Gubb,
, ^zz++++=EXTRAWORD
with ^in++++=with
three ^cd++++=three
rolls ^nns++++=rolls
of ^in++++=of
wall ^nn++++=wall-paper
- ^zz++++=EXTRAWORD
paper ^nn++++=EXTRAWORD
under ^in++++=under
his ^pp$+pp3+++=his
arm ^nn++++=arm
and ^cc++++=and
a ^at++++=a
pail ^nn++++=pail
of ^in++++=of
mixed ^jj+atrb++xvbn+=mixed
paste ^nn++++=paste
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
walked ^j+++xvbn+=walked
along ^in++++=along
Cherry ^np++++=Cherry
Street ^nn++++=Street
near ^in+pl+++=near
the ^ati++++=the
brick ^nn++++=brick-yard.
- ^zz++++=EXTRAWORD
yard ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
On ^in++++=On
this ^dt+dem+++=this
occasion ^nn++++=occasion
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
reasonably ^rb++++=reasonably
contented ^jj+atrb+++=contented
frame ^nn++++=frame
of ^in++++=of
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
received ^vprf+++xvbnx+=received
his ^pp$+pp3+++=his
share ^nn++++=share
of ^in++++=of
the ^ati++++=the
reward ^nn++++=reward
for ^in++++=for
capturing ^xvbg+++xvbg+=capturing
the ^ati++++=the
dynamiters ^nns+nom+++=dynamiters
and ^cc++++=and
had ^vb+hv+vrb++=had
this ^dt+dem+++=this
very ^ap+amp+++=very
morning ^nn++++=morning
paid ^vbd+++xvbn+=paid
the ^ati++++=the
full ^jj+atrb+++=full
amount ^nn++++=amount
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
but ^cc++++=but
eleven ^cd++++=eleven
thousand ^cd++++=thousand
six ^cd++++=six
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
dollars ^nns++++=dollars
still ^rb++++=still
to ^to++++=to
be ^vbi+vbi+aux++=be
paid ^vpsv++agls+xvbnx+=paid
that ^dt+dem+++=that
gentleman ^nn+nom+++=gentleman
for ^in++++=for
the ^ati++++=the
Utterly ^rb+amp+++=Utterly
