Many ^ap++++=Many
visitors ^nns++++=visitors
to ^in++++=to
the ^ati++++=the
State ^nn++++=State-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
made ^vbd+++xvbn+=made
the ^ati++++=the
mistake ^nn++++=mistake
of ^in++++=of
looking ^nn++++=looking
upon ^in++++=upon
the ^ati++++=the
Governor ^npt++++=Governor
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
personage ^nn+nom+++=personage
in ^in++++=in
the ^ati++++=the
building ^nvbg+++xvbg+=building.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
walk ^vb++++=walk
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
corridors ^nns++++=corridors,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv++xvbg+=hoping
for ^in++++=for
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
leading ^jj+atrb++xvbg+=leading
officials ^nns+nom+++=officials,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
all ^rb++++=all
the ^ati++++=the
while ^cs+sub+++=while
Freckles ^np+++??+=Freckles
Mcgrath ^np+++??+=McGrath,
, ^zz++++=EXTRAWORD
the ^ati++++=the
real ^jj+atrb+++=real
character ^nn+nom+++=character
of ^in++++=of
the ^ati++++=the
Capitol ^np++++=Capitol,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
all ^abn++++=all
odds ^nns++++=odds
the ^ati++++=the
most ^ql+emph+++=most
illustrious ^jj+atrb+++=illustrious
person ^nn++++=person
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
at ^rb++++=at
once ^rb"+tm+++=once
accessible ^jj++++=accessible
and ^cc+phrs+++=and
affable ^jj++++=affable.
. ^zz++++=EXTRAWORD
Freckles ^np+++??+=Freckles
Mcgrath ^np+++??+=McGrath
was ^vbd+bedz+vrb++=was
the ^ati++++=the
elevator ^nn++++=elevator
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
official ^jj+atrb+++=official
register ^nn+nom+++=register
his ^pp$+pp3+++=his
name ^nn++++=name
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
down ^rp++++=down
as ^ql++++=as
William ^np++++=William,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
was ^vbd+bedz+vrb++=was
a ^at++++=a
mere ^jjb+atrb+++=mere
concession ^nn++++=concession
to ^in++++=to
the ^ati++++=the
constituents ^nns++++=constituents
to ^to++++=to
whom ^whp+wpor+++=whom
the ^ati++++=the
official ^jj+atrb+++=official
register ^nn+nom+++=register
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
newspapers ^nns+nom+++=newspapers--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
he ^pp3a+pp3+++=he
appeared ^vbd+seem++xvbnx+=appeared
with ^in++++=with
frequency ^nn++++=frequency
in ^in++++=in
the ^ati++++=the
newspapers ^nns+nom+++=newspapers--he
-- ^--+clp+++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
always ^rb++++=always
" ^zz++++="Freckles,"
freckles ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
every ^at++++=every
one ^pn++++=one
from ^in++++=from
the ^ati++++=the
Governor ^nn++++=Governor
down ^in++++=down
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
title ^nn++++=title,
, ^zz++++=EXTRAWORD
the ^ati++++=the
appropriateness ^nns+nom+++=appropriateness
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+aux++=was
stamped ^vpsv++agls+xvbnx+=stamped
a ^at++++=a
hundred ^cd++++=hundred
fold ^nn++++=fold
upon ^in++++=upon
his ^pp$+pp3+++=his
shrewd ^jj++++=shrewd,
, ^zz++++=EXTRAWORD
jolly ^jj+atrb+++=jolly
Irish ^jj+atrb+++=Irish
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
every ^at++++=every
one ^cd1++++=one
else ^rb+cnj+++=else
on ^in++++=on
the ^ati++++=the
State ^nn++++=State
pay ^vb++++=pay-roll,
- ^zz++++=EXTRAWORD
roll ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Freckles ^np+++??+=Freckles
was ^vbd+bedz+aux++=was
keyed ^vpsv++agls+xvbnx+=keyed
high ^jj++++=high
during ^in++++=during
this ^dt+dem+++=this
first ^od++++=first
week ^nn++++=week
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
session ^nn++++=session.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
reform ^nn++++=reform
Legislature ^nn++++=Legislature,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
imbued ^jj+++xvbn+=imbued
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
reforming ^jj++++=reforming
that ^dt+dem+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
grave ^jj+atrb+++=grave
danger ^nn++++=danger
of ^in++++=of
its ^pp$+it+++=its
forcing ^vbg+++xvbg+=forcing
reformation ^nn+nom+++=reformation
upon ^in++++=upon
everything ^pn++++=everything
in ^in++++=in
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
happened ^vbd+++xvbn+=happened
that ^dt+dem+++=that
the ^ati++++=the
Governor ^nn++++=Governor
was ^vbd+bedz+vrb++=was
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
faction ^nn+nom+++=faction
of ^in++++=of
the ^ati++++=the
party ^nn++++=party
as ^ql++++=as
that ^cs+sub+++=that
dominant ^jj++++=dominant
in ^in++++=in
the ^ati++++=the
Legislature ^nn++++=Legislature;
; ^zz++++=EXTRAWORD
reform ^nn++++=reform
breathed ^vbd+++xvbn+=breathed
through ^in++++=through
every ^at++++=every
nook ^nn++++=nook
and ^cc++++=and
crevice ^&fw++++=crevice
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
building ^nvbg+++xvbg+=building.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
high ^jj++++=high
above ^jjb++++=above
all ^rb++++=all
else ^rb+cnj+++=else
in ^in++++=in
importance ^nn+nom+++=importance
towered ^vbd+++xvbn+=towered
the ^ati++++=the
Kelley ^np+++??+=Kelley
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
very ^ql+amp+++=very
opening ^jj+++xvbg+=opening
of ^in++++=of
the ^ati++++=the
session ^nn++++=session
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
a ^at++++=a
day ^nn++++=day
when ^wrb+who+++=when
some ^dti++++=some
of ^in++++=of
Freckles ^np+++??+=Freckles'
' ^zz++++=EXTRAWORD
passengers ^nns+nom+++=passengers
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
in ^in++++=in
hushed ^jj+atrb+++=hushed
whispers ^nns+nom+++=whispers
mention ^nn+nom+++=mention
the ^ati++++=the
Kelley ^np+++??+=Kelley
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
From ^in++++=From
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
could ^md+pos+++=could
pick ^vb++++=pick
up ^rp++++=up
about ^in++++=about
the ^ati++++=the
building ^nvbg+++xvbg+=building,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
read ^vbd+vprv++xvbnx+=read
in ^in++++=in
the ^ati++++=the
newspapers ^nns+nom+++=newspapers,
, ^zz++++=EXTRAWORD
Freckles ^np+++??+=Freckles
put ^vbd+++xvbn+=put
together ^rb+phrv+++=together
a ^ap++++=a
few ^ap"++++=few
ideas ^nns++++=ideas
as ^in++++=as
to ^in"++++=to
what ^wdt+who+++=what
the ^ati++++=the
Kelley ^np+++??+=Kelley
Bill ^nn++++=Bill
really ^rb+emph+++=really
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
reform ^nn++++=reform
measure ^nn++++=measure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
show ^vb+vprv+++=show
the ^ati++++=the
railroads ^nns+++??+=railroads
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
own ^ap++++=own
the ^ati++++=the
State ^nn++++=State.
. ^zz++++=EXTRAWORD
The ^ati++++=The
railroads ^nns+++??+=railroads
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
have ^vbi++pmd"++=have
to ^md+nec+++=to
pay ^vb++++=pay
more ^ql++++=more
taxes ^nns++++=taxes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
making ^vbg+++xvbgx+=making
an ^at++++=an
awful ^jj+atrb+++=awful
fuss ^nn++++=fuss
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
the ^ati++++=the
Kelley ^np+++??+=Kelley
Bill ^nn++++=Bill
could ^md+pos+++=could
be ^vb+be+aux++=be
put ^vpsv++agls+xvbnx+=put
through ^rb+phrv+++=through
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
great ^jj+atrb+++=great
victory ^nn++++=victory
for ^in++++=for
reform ^nn++++=reform,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
make ^vb++++=make
the ^ati++++=the
Governor ^nn++++=Governor
" ^zz++++="solid"
solid ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
State ^nn++++=State.
. ^zz++++=EXTRAWORD
Freckles ^np+++??+=Freckles
Mcgrath ^np+++??+=McGrath
was ^vbd+bedz+vrb++=was
strong ^jj+pred+++=strong
for ^in++++=for
reform ^nn++++=reform.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
partly ^rb+down+++=partly
because ^cs+cos+++=because
the ^ati++++=the
snatches ^nns++++=snatches
of ^in++++=of
speeches ^nns++++=speeches
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
in ^in++++=in
the ^ati++++=the
Legislature ^nn++++=Legislature
were ^vbd+bed+vrb++=were
more ^rbr++++=more
thrilling ^jj+pred+++=thrilling
when ^wrb+who+++=when
for ^in++++=for
reform ^nn++++=reform
than ^in++++=than
when ^wrb+who+++=when
against ^in++++=against
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
partly ^rb+down+++=partly
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
adored ^vbd+++xvbnx+=adored
the ^ati++++=the
Governor ^nn++++=Governor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
no ^at++++=no
small ^jj+atrb+++=small
part ^nn++++=part
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
despised ^vbd+++xvbnx+=despised
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ludlow ^np++++=Ludlow.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ludlow ^np++++=Ludlow
was ^vbd+bedz+vrb++=was
a ^at++++=a
lobbyist ^nn+nom+++=lobbyist.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
Legislature ^nn++++=Legislature
were ^vbd+bed+vrb++=were
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ludlow ^np++++=Ludlow's
's ^$++++=EXTRAWORD
property ^nn++++=property--or
-- ^--+clp+++=EXTRAWORD
or ^cc+cls+++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
so ^ql++++=so
Freckles ^np+++??+=Freckles
inferred ^vbd+++xvbn+=inferred
from ^in++++=from
conversation ^nn+nom+++=conversation
overheard ^vprf+++xvbn+=overheard
at ^rb++++=at
his ^pp$+pp3+++=his
post ^nn++++=post.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
talk ^nn++++=talk
that ^tht+rel+++=that
session ^nn++++=session
about ^in++++=about
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ludlow ^np++++=Ludlow's
's ^$++++=EXTRAWORD
methods ^nns++++=methods.
. ^zz++++=EXTRAWORD
Freckles ^np+++??+=Freckles
himself ^ppl+pp3+++=himself
was ^vbd+bedz+vrb++=was
no ^at++++=no
snob ^nn+++??+=snob.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ludlow ^np++++=Ludlow
called ^vbd+++xvbn+=called
disgraceful ^jj++++=disgraceful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
although ^cs+con+++=although
he ^pp3a+pp3+++=he
firmly ^rb++++=firmly
believed ^vbd+vprv+tht0+xvbn+=believed
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
disgraceful ^jj+pred+++=disgraceful,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
consider ^nn+nom+++=consider
that ^tht+vcmp+++=that
any ^dti++++=any
reason ^nn++++=reason
for ^in++++=for
not ^xnot++not++=not
speaking ^nvbg+++xvbg+=speaking
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
when ^wrb+who+++=when
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
