As ^ql++++=As
you ^pp2+pp2+++=you
leave ^vb++++=leave
the ^ati++++=the
Port ^nn++++=Port
of ^in++++=of
Vecchio ^np+++??+=Vecchio,
, ^zz++++=EXTRAWORD
heading ^nvbg+++xvbg+=heading
inland ^jjb++++=inland
in ^in++++=in
a ^at++++=a
northwesterly ^jj+atrb+++=northwesterly
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ground ^nn++++=ground
rises ^nns++++=rises
fairly ^rb++++=fairly
steeply ^rb++++=steeply
and ^cc++++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
three ^cd++++=three-hour
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
journey ^nn++++=journey
along ^in++++=along
winding ^xvbg+++xvbg+=winding
paths ^nns++++=paths
obstructed ^vwbn+++xvbn+=obstructed
by ^in++++=by
great ^jj+atrb+++=great
masses ^nns++++=masses
of ^in++++=of
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
broken ^vpsv++by+xvbn+=broken
by ^in++++=by
ravines ^nns+++??+=ravines,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
extensive ^jj+atrb+++=extensive
maquis ^nn++++=maquis.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
home ^nr++++=home
of ^in++++=of
the ^ati++++=the
Corsican ^nn+nom+++=Corsican
shepherds ^nns++++=shepherds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
fallen ^vprf+++xvbn+=fallen
foul ^nn++++=foul
of ^in++++=of
the ^ati++++=the
law ^nn++++=law.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
explain ^vb+vpub+tht0++=explain
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
save ^vb++++=save
themselves ^ppls+pp3+++=themselves
the ^ati++++=the
trouble ^nn++++=trouble
of ^in++++=of
manuring ^nn++++=manuring
their ^pp$+pp3+++=their
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
Corsican ^nn+nom+++=Corsican
farmers ^nns+nom+++=farmers
set ^vbd+++xvbn+=set
fire ^nn++++=fire
to ^in++++=to
an ^at++++=an
area ^nn++++=area
of ^in++++=of
woodland ^nn++++=woodland.
. ^zz++++=EXTRAWORD
Too ^ql++++=Too
bad ^jj++++=bad
if ^cs+cnd+++=if
the ^ati++++=the
flames ^nns++++=flames
spread ^vbd+++xvbn+=spread
further ^jjb++++=further
than ^in++++=than
intended ^vbd+vsua++xvbn+=intended;
; ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
what ^wdt+who+++=what
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
can ^md+pos+++=can
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
of ^in++++=of
a ^at++++=a
good ^jj+atrb+++=good
crop ^nn++++=crop
if ^cs+cnd+++=if
one ^cd1++++=one
sows ^nns+++??+=sows
seeds ^nns++++=seeds
on ^in++++=on
this ^dt+dem+++=this
land ^nn++++=land
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
fertilized ^vwbn+++xvbn+=fertilized
by ^in++++=by
the ^ati++++=the
ash ^nn++++=ash
from ^in++++=from
the ^ati++++=the
trees ^nns++++=trees
that ^tht+rel+subj++=that
grew ^vbd+++xvbn+=grew
on ^in+ppvb+++=on
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
ears ^nns++++=ears
of ^in++++=of
grain ^nn++++=grain
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
harvested ^vwbn+++xvbn+=harvested
( ^zz++++=(they
they ^pp3a+pp3+++=EXTRAWORD
leave ^vb++++=leave
the ^ati++++=the
straw ^nn++++=straw,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
would ^md+prd+++=would
be ^vb+be+vrb++=be
troublesome ^jj+pred+++=troublesome
to ^to++++=to
gather ^vbi+vprv+++=gather),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
tree ^nn++++=tree-roots
- ^zz++++=EXTRAWORD
roots ^nns++++=EXTRAWORD
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
remained ^vprf+++xvbnx+=remained
in ^in++++=in
the ^ati++++=the
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
untouched ^jj++++=untouched
by ^in++++=by
the ^ati++++=the
flames ^nns++++=flames,
, ^zz++++=EXTRAWORD
sprout ^vb++++=sprout
thick ^jj+atrb+++=thick
clumps ^nns++++=clumps
of ^in++++=of
shoots ^nns++++=shoots
the ^ati++++=the
following ^nn++++=following
spring ^vb++++=spring,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
within ^in++++=within
a ^ap++++=a
few ^ap"++++=few
years ^nns++++=years
grow ^vb++++=grow
to ^in++++=to
a ^at++++=a
height ^nn++++=height
of ^in++++=of
seven ^cd++++=seven
or ^cc++++=or
eight ^cd++++=eight
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
kind ^rb++++=kind
of ^rb"++++=of
dense ^jj+atrb+++=dense
brushwood ^nn+++??+=brushwood
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
maquis ^nn++++=maquis.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
up ^rp++++=up
of ^in++++=of
various ^jj+atrb+++=various
species ^nn++++=species
of ^in++++=of
tree ^nn++++=tree
and ^cc++++=and
shrub ^nn++++=shrub,
, ^zz++++=EXTRAWORD
tangled ^jj++++=tangled
and ^cc+phrs+++=and
intertwined ^jj+++xvbn+=intertwined
at ^in++++=at
Nature ^np++++=Nature's
's ^$++++=EXTRAWORD
whim ^nn+++??+=whim.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
would ^md+prd+++=would
need ^vb++++=need
an ^at++++=an
axe ^nn++++=axe
to ^in++++=to
force ^nn++++=force
a ^at++++=a
way ^nn++++=way
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
the ^ati++++=the
maquis ^nn++++=maquis
can ^md+pos+++=can
be ^vb+be+vrb++=be
so ^ql+emph+++=so
dense ^jj++++=dense
and ^cc++++=and
overgrown ^xvbn+++xvbn+=overgrown
that ^dt+dem+++=that
even ^rb++++=even
the ^ati++++=the
wild ^jj+atrb+++=wild
sheep ^nns++++=sheep
cannot ^md+pos+not++=cannot
penetrate ^nn+nom+++=penetrate
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
killed ^vprf+++xvbnx+=killed
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
maquis ^nn++++=maquis
above ^jjb++++=above
Porto ^np+++??+=Porto-Vecchio,
- ^zz++++=EXTRAWORD
vecchio ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
live ^vb++++=live
in ^in++++=in
safety ^nn++++=safety
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
good ^jj+atrb+++=good
rifle ^nn++++=rifle,
, ^zz++++=EXTRAWORD
gunpowder ^nn+nom+++=gunpowder
and ^cc++++=and
